City/Town,Ward,Pct,"David Biele","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,15,1,0,0,1
Boston,6,1,"4,197",63,963,"5,223"
Boston,6,2,863,11,198,"1,072"
Boston,6,3,"1,293",20,282,"1,595"
Boston,6,4,"1,234",25,262,"1,521"
Boston,6,5,"1,257",17,282,"1,556"
Boston,6,6,"1,011",16,239,"1,266"
Boston,6,7,"1,170",18,235,"1,423"
Boston,6,8,"1,013",14,250,"1,277"
Boston,6,9,984,13,264,"1,261"
Boston,7,1,901,14,229,"1,144"
Boston,7,2,"1,211",18,249,"1,478"
Boston,7,3,"1,237",17,265,"1,519"
Boston,7,4,"1,038",18,264,"1,320"
Boston,7,5,916,17,168,"1,101"
Boston,7,6,839,17,197,"1,053"
Boston,7,7,631,10,126,767
Boston,7,8,860,18,197,"1,075"
Boston,13,3,719,22,174,915
TOTALS,,,"21,375",348,"4,844","26,567"
