City/Town,Ward,Pct,"John H. Rogers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Norwood,-,1,"1,619",31,583,"2,233"
Norwood,-,2,"1,462",14,448,"1,924"
Norwood,-,3,"1,501",24,479,"2,004"
Norwood,-,4,"1,509",25,608,"2,142"
Norwood,-,5,"1,210",15,330,"1,555"
Norwood,-,6,"1,134",15,371,"1,520"
Norwood,-,7,"1,493",32,509,"2,034"
Norwood,-,8,"1,500",24,527,"2,051"
Norwood,-,9,"1,495",26,558,"2,079"
Walpole,-,1,"1,455",13,493,"1,961"
Walpole,-,2,"1,535",15,682,"2,232"
Walpole,-,6,"1,459",15,626,"2,100"
Walpole,-,7,"1,465",8,621,"2,094"
TOTALS,,,"18,837",257,"6,835","25,929"
