City/Town,Ward,Pct,"Carole A. Fiola","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",5,B,433,5,129,567
"Fall River",5,B1,95,0,30,125
"Fall River",5,C,645,0,197,842
"Fall River",6,C,879,3,303,"1,185"
"Fall River",6,C1,26,0,5,31
"Fall River",7,A,907,13,325,"1,245"
"Fall River",7,B,738,5,254,997
"Fall River",7,C,964,0,266,"1,230"
"Fall River",8,A,837,0,273,"1,110"
"Fall River",8,B,"1,168",1,426,"1,595"
"Fall River",8,C,"1,292",6,480,"1,778"
"Fall River",9,A,"1,481",15,612,"2,108"
"Fall River",9,B,987,5,372,"1,364"
"Fall River",9,C,"1,233",0,415,"1,648"
Freetown,-,1,"1,243",64,527,"1,834"
TOTALS,,,"12,928",117,"4,614","17,659"
