City/Town,Ward,Pct,"Mindy Domb","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1,932,6,101,"1,039"
Amherst,-,2,"1,217",10,199,"1,426"
Amherst,-,3,467,4,63,534
Amherst,-,4,440,5,50,495
Amherst,-,5,989,6,154,"1,149"
Amherst,-,6,"1,546",10,210,"1,766"
Amherst,-,7,"1,518",13,209,"1,740"
Amherst,-,8,"1,710",7,216,"1,933"
Amherst,-,9,"1,090",5,163,"1,258"
Amherst,-,10,517,5,51,573
Granby,-,1,"1,388",0,679,"2,067"
Pelham,-,1,818,4,108,930
TOTALS,,,"12,632",75,"2,203","14,910"
