City/Town,Ward,Pct,"Daniel M. Donahue","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,5,1,982,27,209,"1,218"
Worcester,5,2,"1,306",39,389,"1,734"
Worcester,5,4,"1,386",40,381,"1,807"
Worcester,5,5,"1,282",56,442,"1,780"
Worcester,6,1,691,18,132,841
Worcester,6,2,920,29,231,"1,180"
Worcester,6,3,961,32,205,"1,198"
Worcester,6,4,453,16,109,578
Worcester,6,5,"1,176",42,357,"1,575"
Worcester,8,1,679,13,162,854
Worcester,8,5,812,26,189,"1,027"
TOTALS,,,"10,648",338,"2,806","13,792"
