City/Town,Ward,Pct,"Danillo A. Sena","Catherine J. Clark","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acton,-,3,624,89,10,1,724
Acton,-,4,597,84,4,3,688
Acton,-,5,484,52,1,0,537
Ayer,-,2,223,103,0,1,327
Boxborough,-,1,757,231,3,0,991
Harvard,-,1,791,196,1,2,990
Lunenburg,-,A,180,185,1,0,366
Lunenburg,-,C,116,134,3,0,253
Lunenburg,-,D,157,164,0,2,323
Shirley,-,1,317,236,5,0,558
TOTALS,,,"4,246","1,474",28,9,"5,757"
