City/Town,Ward,Pct,"Aaron M. Michlewitz","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,3,1,"1,962",39,436,"2,437"
Boston,3,2,998,13,244,"1,255"
Boston,3,3,"1,112",17,235,"1,364"
Boston,3,4,"1,330",19,260,"1,609"
Boston,3,6,"2,638",54,775,"3,467"
Boston,3,7,"2,315",29,483,"2,827"
Boston,3,8,"3,156",41,"1,037","4,234"
Boston,4,1,"1,233",19,263,"1,515"
Boston,4,3,875,9,174,"1,058"
Boston,5,1,"2,335",46,718,"3,099"
TOTALS,,,"17,954",286,"4,625","22,865"
