City/Town,Ward,Pct,"James Arciero","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelmsford,-,5,"1,726",11,786,"2,523"
Chelmsford,-,7,"1,779",27,814,"2,620"
Chelmsford,-,8,"1,744",7,712,"2,463"
Littleton,-,1,"1,784",52,599,"2,435"
Littleton,-,2,"1,581",33,585,"2,199"
Littleton,-,3,"1,546",28,514,"2,088"
Westford,-,1,"1,931",41,675,"2,647"
Westford,-,2,"2,039",52,584,"2,675"
Westford,-,3,"1,898",41,580,"2,519"
Westford,-,4,"2,090",36,553,"2,679"
Westford,-,5,"1,876",30,572,"2,478"
Westford,-,6,"1,768",57,560,"2,385"
TOTALS,,,"21,762",415,"7,534","29,711"
