City/Town,Ward,Pct,"Peter L. Capano","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,4,3,845,45,206,"1,096"
Lynn,5,1,"1,112",22,229,"1,363"
Lynn,5,4,"1,151",35,294,"1,480"
Lynn,6,1,790,23,156,969
Lynn,6,2,585,21,105,711
Lynn,6,3,824,33,168,"1,025"
Lynn,6,4,761,23,154,938
Lynn,7,1,"1,484",37,383,"1,904"
Lynn,7,2,"1,265",26,272,"1,563"
Lynn,7,3,915,34,165,"1,114"
Lynn,7,4,"1,088",28,203,"1,319"
Nahant,-,1,"1,853",37,643,"2,533"
TOTALS,,,"12,673",364,"2,978","16,015"
