City/Town,Ward,Pct,"Carol A. Doherty","Kelly A. Dooner","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Easton,-,6,124,95,0,0,219
Taunton,1,A,156,94,0,0,250
Taunton,1,B,254,213,0,0,467
Taunton,2,A,122,51,0,1,174
Taunton,2,B,154,76,0,0,230
Taunton,3,A,190,111,0,6,307
Taunton,5,A,119,86,0,0,205
Taunton,5,B,162,73,0,0,235
Taunton,7,A,237,171,0,1,409
Taunton,7,B,184,247,0,1,432
Taunton,8,A,240,191,0,0,431
Taunton,8,B,253,238,0,0,491
TOTALS,,,"2,195","1,646",0,9,"3,850"
