City/Town,Ward,Pct,"Joseph F. Wagner","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,1,A,"1,175",30,318,"1,523"
Chicopee,1,B,"1,446",29,374,"1,849"
Chicopee,2,B,"1,313",30,368,"1,711"
Chicopee,3,B,913,35,204,"1,152"
Chicopee,4,B,"1,019",34,228,"1,281"
Chicopee,5,B,"1,051",23,273,"1,347"
Chicopee,6,AN,314,8,74,396
Chicopee,6,AS,646,14,237,897
Chicopee,7,A,866,33,187,"1,086"
Chicopee,7,B,"1,051",21,210,"1,282"
Chicopee,8,A,"1,188",28,335,"1,551"
Chicopee,8,B,"1,064",29,287,"1,380"
Chicopee,9,A,"1,172",30,327,"1,529"
Chicopee,9,B,"1,407",46,389,"1,842"
TOTALS,,,"14,625",390,"3,811","18,826"
