City/Town,Ward,Pct,"William J. Driscoll, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Milton,-,3,"1,392",8,540,"1,940"
Milton,-,4,"1,419",20,413,"1,852"
Milton,-,5,"1,059",16,457,"1,532"
Milton,-,6,"1,357",8,551,"1,916"
Milton,-,7,"1,222",8,459,"1,689"
Milton,-,8,"1,435",25,461,"1,921"
Milton,-,9,"1,368",16,622,"2,006"
Milton,-,10,"1,004",7,261,"1,272"
Randolph,-,1,"1,101",13,313,"1,427"
Randolph,-,2,996,16,246,"1,258"
Randolph,-,3,"1,167",19,282,"1,468"
Randolph,-,7,"1,106",16,330,"1,452"
Randolph,-,8,"1,121",11,311,"1,443"
Randolph,-,9,"1,139",11,285,"1,435"
Randolph,-,10,"1,184",16,302,"1,502"
TOTALS,,,"18,070",210,"5,833","24,113"
