City/Town,Ward,Pct,"Denise C. Garlick","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dover,-,1,"2,799",58,"1,207","4,064"
Medfield,-,1,"1,697",0,492,"2,189"
Medfield,-,2,"1,597",0,510,"2,107"
Needham,-,A,"1,417",24,375,"1,816"
Needham,-,B,"1,583",30,433,"2,046"
Needham,-,C,"1,515",13,392,"1,920"
Needham,-,D,"1,514",24,475,"2,013"
Needham,-,E,"1,644",34,434,"2,112"
Needham,-,F,"1,553",18,380,"1,951"
Needham,-,G,"1,532",16,416,"1,964"
Needham,-,H,"1,691",28,450,"2,169"
Needham,-,I,"1,702",19,342,"2,063"
Needham,-,J,"1,736",27,446,"2,209"
TOTALS,,,"21,980",291,"6,352","28,623"
