City/Town,Ward,Pct,"Edward J. Markey","Kevin J. O'Connor","Shiva Ayyadurai","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican
Abington,-,1,"1,077",727,10,0,46,"1,860"
Abington,-,2,980,820,11,2,37,"1,850"
Abington,-,3,978,808,15,3,49,"1,853"
Abington,-,4,"1,111",898,16,1,62,"2,088"
Abington,-,5,"1,158",865,14,0,47,"2,084"
Acton,-,1,"1,718",499,15,2,33,"2,267"
Acton,-,2,"1,809",558,9,1,52,"2,429"
Acton,-,3,"1,765",497,6,4,29,"2,301"
Acton,-,4,"1,985",479,29,3,48,"2,544"
Acton,-,5,"1,856",472,11,2,47,"2,388"
Acton,-,6,"1,598",436,14,4,37,"2,089"
Acushnet,-,1,869,842,15,1,64,"1,791"
Acushnet,-,2,989,"1,064",24,0,88,"2,165"
Acushnet,-,3,"1,012","1,059",23,2,74,"2,170"
Adams,-,1,539,237,6,0,23,805
Adams,-,2,595,269,12,0,23,899
Adams,-,3,613,313,8,0,23,957
Adams,-,4,521,255,11,0,18,805
Adams,-,5,680,284,20,0,18,"1,002"
Agawam,-,1,799,892,43,9,41,"1,784"
Agawam,-,2,979,"1,116",36,0,84,"2,215"
Agawam,-,3,995,"1,001",35,0,81,"2,112"
Agawam,-,4,811,817,35,2,63,"1,728"
Agawam,-,5,"1,077","1,051",23,1,98,"2,250"
Agawam,-,6,869,965,22,5,82,"1,943"
Agawam,-,7,886,"1,046",25,0,85,"2,042"
Agawam,-,8,"1,039","1,036",17,15,81,"2,188"
Alford,-,1,265,56,2,7,0,330
Amesbury,-,1,"1,197",670,6,3,32,"1,908"
Amesbury,-,2,"1,175",509,12,2,28,"1,726"
Amesbury,-,3,"1,190",527,6,3,33,"1,759"
Amesbury,-,4,969,483,5,1,47,"1,505"
Amesbury,-,5,"1,147",777,10,1,45,"1,980"
Amesbury,-,6,"1,091",446,10,0,37,"1,584"
Amherst,-,1,956,69,2,1,11,"1,039"
Amherst,-,2,"1,274",126,9,0,17,"1,426"
Amherst,-,3,472,53,0,0,9,534
Amherst,-,4,442,39,0,1,13,495
Amherst,-,5,"1,029",90,7,3,20,"1,149"
Amherst,-,6,"1,592",146,13,0,15,"1,766"
Amherst,-,7,"1,566",149,9,5,11,"1,740"
Amherst,-,8,"1,769",137,10,0,17,"1,933"
Amherst,-,9,"1,157",82,4,3,12,"1,258"
Amherst,-,10,530,38,1,1,3,573
Andover,-,1,"1,289",568,6,6,29,"1,898"
Andover,-,2,"1,642",908,20,17,42,"2,629"
Andover,-,3,"1,611",728,9,6,40,"2,394"
