City/Town,Ward,Pct,"Andrea Joy Campbell","James R. McMahon, III","All Others",Blanks,"Total Votes Cast"
Beverly,2,2,"1,104",386,2,28,"1,520"
Beverly,3,1,647,235,0,22,904
Beverly,3,2,863,483,0,24,"1,370"
Beverly,4,1,563,274,0,28,865
Beverly,4,2,"1,452",493,2,48,"1,995"
Beverly,5,1,972,584,0,47,"1,603"
Beverly,5,2,849,537,1,37,"1,424"
Beverly,6,1,"1,198",588,1,29,"1,816"
Beverly,6,2,"1,118",753,1,45,"1,917"
Billerica,-,1,658,462,1,20,"1,141"
Billerica,-,2,793,683,0,56,"1,532"
Billerica,-,3,726,706,0,26,"1,458"
Billerica,-,4,660,618,2,33,"1,313"
Billerica,-,5,884,891,0,41,"1,816"
Billerica,-,6,687,623,2,30,"1,342"
Billerica,-,7,813,550,2,21,"1,386"
Billerica,-,8,702,692,0,25,"1,419"
Billerica,-,9,727,808,1,40,"1,576"
Billerica,-,10,801,848,0,42,"1,691"
Billerica,-,11,615,616,1,22,"1,254"
Billerica,-,12,751,627,1,36,"1,415"
Blackstone,-,1,455,510,0,17,982
Blackstone,-,2,519,585,0,25,"1,129"
Blackstone,-,3,506,722,0,28,"1,256"
Blandford,,,238,375,0,5,618
Bolton,,,"1,856",962,0,68,"2,886"
Boston,1,1,566,155,2,16,739
Boston,1,2,371,102,2,19,494
Boston,1,3,"1,136",229,1,32,"1,398"
Boston,1,4,405,85,1,15,506
Boston,1,5,470,127,0,20,617
Boston,1,6,390,87,1,12,490
Boston,1,7,424,89,1,16,530
Boston,1,8,487,113,2,35,637
Boston,1,9,376,93,1,13,483
Boston,1,10,213,74,1,8,296
Boston,1,11,489,195,2,23,709
Boston,1,12,400,255,3,22,680
Boston,1,13,537,264,2,35,838
Boston,1,14,262,132,1,15,410
Boston,1,15,0,0,0,0,0
Boston,2,1,770,301,1,37,"1,109"
Boston,2,2,732,279,1,25,"1,037"
Boston,2,3,871,324,4,33,"1,232"
Boston,2,4,813,229,2,32,"1,076"
Boston,2,5,836,261,2,31,"1,130"
Boston,2,6,684,240,2,25,951
Boston,2,7,473,133,2,19,627
Boston,2,8,347,88,2,27,464
Boston,3,1,646,270,3,32,951
Boston,3,2,669,294,3,26,992
Boston,3,3,431,164,2,13,610
Boston,3,4,439,179,3,26,647
Boston,3,5,685,181,5,21,892
Boston,3,6,400,140,0,15,555
Boston,3,7,763,119,0,24,906
Boston,3,8,528,111,0,17,656
Boston,3,9,468,144,0,18,630
Boston,3,10,727,207,2,14,950
Boston,3,11,587,206,0,24,817
Boston,3,12,750,201,1,32,984
Boston,3,13,420,167,0,12,599
Boston,3,13A,0,0,0,0,0
Boston,3,14,586,116,2,79,783
Boston,3,15,537,85,1,14,637
Boston,3,16,969,133,1,22,"1,125"
Boston,3,17,533,111,2,17,663
Boston,4,1,716,117,2,26,861
Boston,4,2,549,144,1,19,713
Boston,4,3,853,133,0,23,"1,009"
Boston,4,4,893,163,0,23,"1,079"
Boston,4,5,702,125,1,18,846
Boston,4,6,529,134,0,23,686
Boston,4,7,451,79,1,10,541
Boston,4,8,405,84,2,23,514
Boston,4,9,110,10,0,6,126
Boston,4,10,118,12,0,4,134
Boston,4,10A,0,0,0,0,0
Boston,4,11,32,3,0,0,35
Boston,4,12,145,15,0,2,162
Boston,5,1,401,56,1,23,481
Boston,5,2,522,70,0,16,608
Boston,5,3,876,247,1,23,"1,147"
Boston,5,4,475,85,3,13,576
Boston,5,5,629,196,1,24,850
Boston,5,6,676,221,3,38,938
Boston,5,7,870,237,0,26,"1,133"
Boston,5,8,750,241,2,30,"1,023"
Boston,5,9,748,216,1,25,990
Boston,5,10,350,72,1,13,436
Boston,5,11,335,70,1,5,411
Boston,5,12,379,51,0,8,438
Boston,5,13,631,176,0,40,847
Boston,5,14,654,114,0,14,782
Boston,5,15,423,114,1,6,544
Boston,6,1,788,206,2,30,"1,026"
Boston,6,2,391,175,2,14,582
Boston,6,3,531,235,0,26,792
Boston,6,4,381,172,1,27,581
Boston,6,5,541,255,2,28,826
Boston,6,6,501,340,4,34,879
Boston,6,7,479,319,2,22,822
Boston,6,8,549,381,1,36,967
Boston,6,9,514,410,0,44,968
Boston,6,10,456,206,0,15,677
Boston,6,11,614,172,0,22,808
Boston,6,12,784,412,0,27,"1,223"
Boston,6,12A,0,0,0,0,0
Boston,7,1,367,304,3,30,704
Boston,7,2,540,344,2,21,907
Boston,7,3,582,331,3,35,951
Boston,7,4,443,246,1,35,725
Boston,7,5,463,182,3,26,674
Boston,7,6,409,145,0,22,576
Boston,7,7,217,58,0,8,283
Boston,7,8,446,166,0,17,629
Boston,7,9,331,108,0,12,451
Boston,7,10,337,44,0,9,390
Boston,8,1,687,98,1,33,819
Boston,8,2,629,72,0,15,716
Boston,8,3,461,23,5,8,497
Boston,8,4,337,28,3,9,377
Boston,8,5,500,47,1,13,561
Boston,8,6,121,24,0,1,146
Boston,8,6A,0,0,0,0,0
Boston,9,1,731,87,0,21,839
Boston,9,2,697,76,0,15,788
Boston,9,3,492,44,5,15,556
Boston,9,4,481,30,1,16,528
Boston,9,5,562,27,2,20,611
Boston,9,6,614,52,0,18,684
Boston,9,7,137,17,0,2,156
Boston,10,1,335,47,2,9,393
Boston,10,2,243,30,0,6,279
Boston,10,3,248,33,1,4,286
Boston,10,4,504,83,0,26,613
Boston,10,5,380,55,2,4,441
Boston,10,6,407,48,1,14,470
Boston,10,7,490,32,2,15,539
Boston,10,8,801,92,0,34,927
Boston,10,9,992,77,4,22,"1,095"
Boston,10,9A,0,0,0,0,0
Boston,11,1,371,21,0,4,396
Boston,11,2,547,27,0,12,586
Boston,11,3,372,22,0,17,411
Boston,11,4,749,54,0,16,819
Boston,11,5,589,64,4,25,682
Boston,11,6,642,37,0,9,688
Boston,11,7,829,51,0,16,896
Boston,11,8,"1,159",67,0,15,"1,241"
Boston,11,9,607,29,0,13,649
Boston,11,10,730,31,4,10,775
Boston,12,1,514,31,0,19,564
Boston,12,2,620,23,1,11,655
Boston,12,3,286,22,0,2,310
Boston,12,4,348,22,0,9,379
Boston,12,5,242,14,0,11,267
Boston,12,6,327,17,0,6,350
Boston,12,7,596,39,3,21,659
Boston,12,8,223,20,0,2,245
Boston,12,9,313,18,0,10,341
Boston,13,1,369,20,1,7,397
Boston,13,2,164,15,0,5,184
Boston,13,3,353,61,0,12,426
Boston,13,4,306,29,1,6,342
Boston,13,5,321,30,0,14,365
Boston,13,6,437,61,0,16,514
Boston,13,7,427,160,2,20,609
Boston,13,8,386,112,0,20,518
Boston,13,9,495,101,0,11,607
Boston,13,10,686,265,3,36,990
Boston,14,1,566,37,3,10,616
Boston,14,2,630,38,1,10,679
Boston,14,3,307,10,3,5,325
Boston,14,4,399,20,0,6,425
Boston,14,5,282,8,0,4,294
Boston,14,6,309,14,1,7,331
Boston,14,7,300,12,1,6,319
Boston,14,8,445,18,1,13,477
Boston,14,9,275,24,0,8,307
Boston,14,10,342,30,1,6,379
Boston,14,11,324,25,1,5,355
Boston,14,12,211,6,0,4,221
Boston,14,13,339,17,0,9,365
Boston,14,14,358,11,1,5,375
Boston,15,1,422,26,1,6,455
Boston,15,2,262,18,1,4,285
Boston,15,3,160,14,2,3,179
Boston,15,4,410,75,3,14,502
Boston,15,5,328,27,1,6,362
Boston,15,6,240,112,1,9,362
Boston,15,7,300,29,0,6,335
Boston,15,8,238,79,2,5,324
Boston,15,9,245,81,1,9,336
Boston,16,1,289,79,1,6,375
Boston,16,2,299,134,1,9,443
Boston,16,3,445,88,1,8,542
Boston,16,4,402,100,0,14,516
Boston,16,5,467,144,0,11,622
Boston,16,6,596,156,1,19,772
Boston,16,7,410,248,0,33,691
Boston,16,8,766,298,2,26,"1,092"
Boston,16,9,454,400,0,41,895
Boston,16,10,378,277,3,23,681
Boston,16,11,320,167,0,8,495
Boston,16,12,394,403,2,38,837
Boston,17,1,349,23,1,7,380
Boston,17,2,261,25,0,4,290
Boston,17,3,638,46,1,15,700
Boston,17,4,776,107,2,18,903
Boston,17,5,234,18,0,9,261
Boston,17,6,489,45,0,8,542
Boston,17,7,260,14,1,6,281
Boston,17,8,406,20,0,7,433
Boston,17,9,450,34,1,5,490
Boston,17,10,499,30,0,10,539
Boston,17,11,218,19,0,6,243
Boston,17,12,388,32,0,4,424
Boston,17,13,545,114,2,14,675
Boston,17,14,613,88,1,13,715
Boston,18,1,791,39,1,14,845
Boston,18,2,522,25,2,12,561
Boston,18,3,601,24,0,6,631
Boston,18,4,627,26,1,9,663
Boston,18,5,681,39,1,12,733
Boston,18,6,861,43,2,12,918
Boston,18,7,583,92,2,12,689
Boston,18,8,982,108,0,30,"1,120"
Boston,18,9,682,119,2,19,822
Boston,18,10,"1,077",171,0,31,"1,279"
Boston,18,11,487,60,0,11,558
Boston,18,12,613,128,1,18,760
Boston,18,13,374,43,0,8,425
Boston,18,14,369,45,0,11,425
Boston,18,15,581,53,1,16,651
Boston,18,16,657,251,0,29,937
Boston,18,17,529,143,4,15,691
Boston,18,18,658,152,3,28,841
Boston,18,19,921,211,2,29,"1,163"
Boston,18,20,680,350,3,44,"1,077"
Boston,18,21,742,40,0,21,803
Boston,18,22,731,251,1,21,"1,004"
Boston,18,23,379,39,0,10,428
Boston,19,1,781,35,2,9,827
Boston,19,2,887,181,0,27,"1,095"
Boston,19,3,508,54,0,8,570
Boston,19,4,"1,088",33,2,26,"1,149"
Boston,19,5,769,48,1,11,829
Boston,19,6,"1,134",63,0,28,"1,225"
Boston,19,7,840,57,3,12,912
Boston,19,8,718,54,0,7,779
Boston,19,9,509,30,0,7,546
Boston,19,10,866,109,0,16,991
Boston,19,11,518,59,1,12,590
Boston,19,12,673,74,0,14,761
Boston,19,13,474,55,0,11,540
Boston,20,1,759,186,2,19,966
Boston,20,2,752,169,1,12,934
Boston,20,3,512,247,0,21,780
Boston,20,4,791,85,0,13,889
Boston,20,5,595,359,2,31,987
Boston,20,6,816,310,1,29,"1,156"
Boston,20,7,504,146,2,18,670
Boston,20,8,605,154,0,19,778
Boston,20,9,619,170,2,20,811
Boston,20,10,789,411,2,31,"1,233"
Boston,20,11,409,156,2,17,584
Boston,20,12,498,233,3,22,756
Boston,20,13,398,235,1,25,659
Boston,20,14,428,217,0,23,668
Boston,20,15,675,381,2,20,"1,078"
Boston,20,16,689,437,0,27,"1,153"
Boston,20,17,815,464,2,29,"1,310"
Boston,20,18,482,179,0,17,678
Boston,20,19,464,219,0,23,706
Boston,20,20,750,278,1,25,"1,054"
Boston,20,21,57,23,2,2,84
Boston,21,1,604,74,1,13,692
Boston,21,2,142,18,1,4,165
Boston,21,3,309,28,0,5,342
Boston,21,4,304,27,2,9,342
Boston,21,5,508,52,1,12,573
Boston,21,6,442,51,1,7,501
Boston,21,7,446,61,3,15,525
Boston,21,8,682,63,1,13,759
Boston,21,9,674,88,2,17,781
Boston,21,10,522,74,1,9,606
Boston,21,11,669,90,2,16,777
Boston,21,12,544,122,0,24,690
Boston,21,13,690,201,1,31,923
Boston,21,14,406,58,0,7,471
Boston,21,15,500,69,1,8,578
Boston,21,16,647,137,1,14,799
Boston,22,1,676,117,1,18,812
Boston,22,2,827,135,8,29,999
Boston,22,3,678,171,0,16,865
Boston,22,4,601,110,1,15,727
Boston,22,5,461,83,1,19,564
Boston,22,6,444,89,2,12,547
Boston,22,7,617,129,0,16,762
Boston,22,8,428,136,1,17,582
Boston,22,9,482,156,3,15,656
Boston,22,10,628,115,2,23,768
Boston,22,11,368,118,0,11,497
Boston,22,12,366,107,0,11,484
Boston,22,13,346,88,0,5,439
Bourne,-,1,555,855,1,24,"1,435"
Bourne,-,2,641,815,0,22,"1,478"
Bourne,-,3,270,400,0,5,675
Bourne,-,4,814,829,0,26,"1,669"
Bourne,-,5,618,662,0,24,"1,304"
Bourne,-,5A,105,140,0,3,248
Bourne,-,6,631,551,0,26,"1,208"
Bourne,-,7,561,595,1,14,"1,171"
Boxborough,,,"1,705",714,0,51,"2,470"
Boxford,-,1,679,629,1,22,"1,331"
Boxford,-,2,791,652,0,21,"1,464"
Boxford,-,3,708,636,2,26,"1,372"
Boylston,,,"1,389","1,183",0,61,"2,633"
Braintree,-,1A,672,612,1,30,"1,315"
Braintree,-,1B,556,565,1,36,"1,158"
Braintree,-,2A,727,562,2,48,"1,339"
Braintree,-,2B,663,596,1,32,"1,292"
Braintree,-,3A,582,462,1,22,"1,067"
Braintree,-,3B,653,472,2,28,"1,155"
Braintree,-,4A,611,522,1,35,"1,169"
Braintree,-,4B,607,412,1,33,"1,053"
Braintree,-,5A,646,556,1,46,"1,249"
Braintree,-,5B,708,591,1,49,"1,349"
Braintree,-,6A,737,705,1,44,"1,487"
Braintree,-,6B,722,651,2,51,"1,426"
Brewster,-,1,"1,321",794,0,25,"2,140"
Brewster,-,2,"1,221",644,0,37,"1,902"
Brewster,-,3,"1,181",742,0,31,"1,954"
Bridgewater,-,1,606,786,0,32,"1,424"
Bridgewater,-,2,644,743,0,36,"1,423"
Bridgewater,-,3,775,917,0,42,"1,734"
Bridgewater,-,4,348,416,1,21,786
Bridgewater,-,5,100,40,0,2,142
Bridgewater,-,6,430,462,0,21,913
Bridgewater,-,7,605,640,1,24,"1,270"
Bridgewater,-,8,611,459,0,20,"1,090"
Bridgewater,-,9,640,713,0,40,"1,393"
Brimfield,,,726,995,0,21,"1,742"
Brockton,1,A,466,101,0,13,580
Brockton,1,B,669,246,0,27,942
Brockton,1,C,500,241,0,14,755
Brockton,1,D,739,459,0,38,"1,236"
Brockton,2,A,325,43,0,11,379
Brockton,2,B,389,68,0,26,483
Brockton,2,C,262,41,0,20,323
Brockton,2,D,470,163,1,25,659
Brockton,3,A,495,146,0,26,667
Brockton,3,B,400,86,0,19,505
Brockton,3,C,698,381,0,24,"1,103"
Brockton,3,D,689,397,0,25,"1,111"
Brockton,4,A,239,52,0,8,299
Brockton,4,B,491,157,0,20,668
Brockton,4,C,575,300,0,23,898
Brockton,4,D,583,282,2,21,888
Brockton,5,A,355,79,0,8,442
Brockton,5,B,633,247,0,15,895
Brockton,5,C,447,138,0,15,600
Brockton,5,D,656,331,0,29,"1,016"
Brockton,6,A,454,191,0,9,654
Brockton,6,B,622,345,0,25,992
Brockton,6,C,555,234,0,23,812
Brockton,6,D,732,429,0,29,"1,190"
Brockton,7,A,407,83,1,12,503
Brockton,7,B,550,167,1,31,749
Brockton,7,C,582,123,0,22,727
Brockton,7,D,580,222,0,19,821
Brookfield,,,668,783,1,29,"1,481"
Brookline,-,1,964,142,2,22,"1,130"
Brookline,-,2,593,103,1,5,702
Brookline,-,3,"1,112",147,1,14,"1,274"
Brookline,-,4,809,157,2,24,992
Brookline,-,5,542,89,1,18,650
Brookline,-,5A,588,80,0,20,688
Brookline,-,6,"1,275",126,2,39,"1,442"
Brookline,-,7,"1,028",145,3,26,"1,202"
Brookline,-,8,"1,155",98,0,20,"1,273"
Brookline,-,9,"1,174",141,1,28,"1,344"
Brookline,-,10,"1,162",133,3,27,"1,325"
Brookline,-,11,"1,202",150,0,35,"1,387"
Brookline,-,12,"1,244",203,0,41,"1,488"
Brookline,-,13,"1,016",150,0,28,"1,194"
Brookline,-,13A,174,37,0,2,213
Brookline,-,14,941,242,0,40,"1,223"
Brookline,-,14A,258,58,0,10,326
Brookline,-,15,"1,133",358,1,39,"1,531"
Brookline,-,16,"1,079",253,0,37,"1,369"
Brookline,-,17,973,147,1,29,"1,150"
Buckland,,,671,234,0,13,918
Burlington,-,1,964,811,2,48,"1,825"
Burlington,-,2,630,404,0,13,"1,047"
Burlington,-,3,919,617,2,31,"1,569"
Burlington,-,4,710,515,0,33,"1,258"
Burlington,-,5,"1,056",773,2,62,"1,893"
Burlington,-,6,969,748,0,52,"1,769"
Burlington,-,7,921,527,1,35,"1,484"
Cambridge,1,1,537,74,1,16,628
Cambridge,1,2,253,41,1,7,302
Cambridge,1,2A,22,4,0,1,27
Cambridge,1,3,926,139,2,23,"1,090"
Cambridge,2,1,999,134,2,23,"1,158"
Cambridge,2,2,886,164,2,35,"1,087"
Cambridge,2,3,813,107,1,23,944
Cambridge,2,3A,79,15,0,3,97
Cambridge,3,1,738,73,0,31,842
Cambridge,3,2,"1,018",90,0,18,"1,126"
Cambridge,3,3,660,47,1,19,727
Cambridge,3,3A,379,31,0,7,417
Cambridge,4,1,"1,295",110,1,30,"1,436"
Cambridge,4,2,"1,046",66,2,22,"1,136"
Cambridge,4,2A,168,17,0,2,187
Cambridge,4,3,"1,185",72,1,26,"1,284"
Cambridge,5,1,"1,079",83,1,27,"1,190"
Cambridge,5,2,153,7,0,4,164
Cambridge,5,3,"1,066",78,1,26,"1,171"
Cambridge,6,1,"1,020",56,1,17,"1,094"
Cambridge,6,1A,320,19,0,9,348
Cambridge,6,2,689,52,0,17,758
Cambridge,6,3,"1,354",118,2,36,"1,510"
Cambridge,7,1,"1,210",81,2,23,"1,316"
Cambridge,7,2,797,81,0,17,895
Cambridge,7,2A,32,2,0,0,34
Cambridge,7,3,302,29,0,7,338
Cambridge,8,1,"1,084",73,2,23,"1,182"
Cambridge,8,2,"1,098",81,5,25,"1,209"
Cambridge,8,3,276,21,0,6,303
Cambridge,9,1,"1,806",150,1,37,"1,994"
Cambridge,9,2,"1,316",153,1,17,"1,487"
Cambridge,9,3,"1,294",163,2,20,"1,479"
Cambridge,10,1,958,75,1,17,"1,051"
Cambridge,10,1A,600,53,0,16,669
Cambridge,10,2,"1,604",99,1,29,"1,733"
Cambridge,10,3,"1,095",112,0,18,"1,225"
Cambridge,11,1,391,35,0,10,436
Cambridge,11,1A,445,64,0,12,521
Cambridge,11,2,720,83,1,17,821
Cambridge,11,3,"1,181",132,0,24,"1,337"
Cambridge,11,3A,139,4,0,1,144
Canton,-,1,788,499,1,29,"1,317"
Canton,-,2,"1,100",651,1,46,"1,798"
Canton,-,3,653,417,0,21,"1,091"
Canton,-,4,870,680,1,41,"1,592"
Canton,-,5,935,674,1,56,"1,666"
Canton,-,6,832,524,0,34,"1,390"
Canton,-,7,909,583,0,44,"1,536"
Carlisle,,,"2,047",746,0,86,"2,879"
Carver,-,1,689,945,1,28,"1,663"
Carver,-,2,646,909,3,29,"1,587"
Carver,-,3,811,979,2,26,"1,818"
Charlemont,,,358,164,0,10,532
Charlton,-,1,613,761,0,36,"1,410"
Charlton,-,2,555,917,0,37,"1,509"
Charlton,-,3,587,788,0,18,"1,393"
Charlton,-,4,600,788,0,18,"1,406"
Charlton,-,4A,10,28,0,0,38
Chatham,-,1,"1,131",862,0,36,"2,029"
Chatham,-,2,"1,098",906,1,40,"2,045"
Chelmsford,-,1,701,537,1,35,"1,274"
Chelmsford,-,2,872,531,0,27,"1,430"
Chelmsford,-,3A,375,233,0,27,635
Chelmsford,-,3B,435,246,0,16,697
Chelmsford,-,4,"1,008",654,0,50,"1,712"
Chelmsford,-,5A,794,550,2,33,"1,379"
Chelmsford,-,5B,234,166,0,6,406
Chelmsford,-,6,897,552,0,44,"1,493"
Chelmsford,-,7,788,513,1,34,"1,336"
Chelmsford,-,8,910,520,1,43,"1,474"
Chelmsford,-,9,960,636,1,52,"1,649"
Chelmsford,-,10,716,516,0,20,"1,252"
Chelmsford,-,11,"1,026",612,1,50,"1,689"
Chelsea,1,1,193,65,0,27,285
Chelsea,1,2,120,27,0,18,165
Chelsea,1,3,169,46,0,15,230
Chelsea,1,4,152,31,0,10,193
Chelsea,2,1,537,212,0,43,792
Chelsea,2,2,234,42,0,12,288
Chelsea,2,3,116,31,0,24,171
Chelsea,2,4,263,42,0,11,316
Chelsea,3,1,234,66,0,10,310
Chelsea,3,2,292,73,0,12,377
Chelsea,3,3,216,69,0,11,296
Chelsea,3,4,212,59,0,16,287
Chelsea,4,1,288,76,0,13,377
Chelsea,4,2,255,129,0,24,408
Chelsea,4,3,261,154,0,26,441
Chelsea,4,4,249,100,0,16,365
Cheshire,,,737,616,0,18,"1,371"
Chester,,,204,338,0,9,551
Chesterfield,,,411,234,0,14,659
Chicopee,1,A,522,461,1,24,"1,008"
Chicopee,1,B,664,549,0,25,"1,238"
Chicopee,2,A,327,184,0,3,514
Chicopee,2,B,504,473,0,33,"1,010"
Chicopee,3,A,353,362,1,9,725
Chicopee,3,A1,86,28,0,4,118
Chicopee,3,B,348,262,1,11,622
Chicopee,4,A,442,320,1,22,785
Chicopee,4,B,426,276,0,15,717
