City/Town,Ward,Pct,"Jake Auchincloss","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Norfolk,-,4,981,30,441,"1,452"
"N. Attleborough",-,1,617,12,247,876
"N. Attleborough",-,2,899,16,383,"1,298"
"N. Attleborough",-,3,825,14,516,"1,355"
"N. Attleborough",-,4,763,24,259,"1,046"
"N. Attleborough",-,5,807,16,338,"1,161"
"N. Attleborough",-,6,976,24,432,"1,432"
"N. Attleborough",-,7,"1,066",17,549,"1,632"
"N. Attleborough",-,8,902,33,446,"1,381"
"N. Attleborough",-,9,815,25,399,"1,239"
Norton,-,1,"1,003",62,594,"1,659"
Norton,-,2,"1,013",61,527,"1,601"
Norton,-,3,980,64,495,"1,539"
Norton,-,4,989,55,593,"1,637"
Norton,-,5,610,37,339,986
Plainville,-,1,812,26,416,"1,254"
Plainville,-,2,972,37,401,"1,410"
Plainville,-,3,988,47,483,"1,518"
Raynham,-,2A,326,0,282,608
Raynham,-,3,"1,011",0,671,"1,682"
Raynham,-,4,836,1,583,"1,420"
Rehoboth,-,1,792,10,574,"1,376"
Rehoboth,-,2,773,1,543,"1,317"
Rehoboth,-,3,788,4,605,"1,397"
Rehoboth,-,4,773,1,565,"1,339"
Seekonk,-,1,970,81,464,"1,515"
Seekonk,-,2,"1,221",76,543,"1,840"
Seekonk,-,3,918,76,411,"1,405"
Seekonk,-,4,991,62,423,"1,476"
Sharon,-,1,"1,366",32,330,"1,728"
Sharon,-,2,"1,170",30,329,"1,529"
Sharon,-,3,"1,311",31,349,"1,691"
Sharon,-,4,"1,260",35,306,"1,601"
Sharon,-,5,"1,171",40,380,"1,591"
Sherborn,,,"1,666",28,526,"2,220"
Somerset,-,1,"1,122",7,524,"1,653"
Somerset,-,2,"1,020",3,574,"1,597"
Somerset,-,3,"1,071",3,516,"1,590"
Somerset,-,4,965,14,498,"1,477"
Somerset,-,5,917,0,507,"1,424"
Swansea,-,1,796,70,497,"1,363"
Swansea,-,2,886,71,404,"1,361"
Swansea,-,3,905,70,405,"1,380"
Swansea,-,4,897,50,472,"1,419"
Swansea,-,5,832,64,533,"1,429"
Taunton,1,A,599,25,225,849
Taunton,1,A1,38,0,3,41
