City/Town,Ward,Pct,"Seth W. Moulton","Bob May","Mark T. Tashjian","All Others",Blanks,"Total Votes Cast"
Marblehead,-,6,"1,272",470,30,0,47,"1,819"
Merrimac,-,1,896,586,44,1,35,"1,562"
Merrimac,-,2,955,689,43,0,41,"1,728"
Middleton,-,1,822,877,20,0,27,"1,746"
Middleton,-,2,550,579,14,1,26,"1,170"
Middleton,-,3,595,850,14,1,24,"1,484"
Nahant,,,"1,309",586,23,0,57,"1,975"
Newbury,-,1,"1,261",655,37,0,38,"1,991"
Newbury,-,2,"1,150",734,55,0,36,"1,975"
Newburyport,1,1,"1,050",279,26,2,32,"1,389"
Newburyport,2,1,"1,252",309,35,0,50,"1,646"
Newburyport,3,1,"1,320",349,25,6,44,"1,744"
Newburyport,4,1,"1,264",384,29,2,35,"1,714"
Newburyport,5,1,934,452,25,0,36,"1,447"
Newburyport,6,1,"1,050",465,24,1,47,"1,587"
Newburyport,1,P,231,141,9,0,12,393
"N. Andover",-,1,797,441,25,1,29,"1,293"
"N. Andover",-,2,950,544,42,0,25,"1,561"
"N. Andover",-,3,872,521,30,1,30,"1,454"
"N. Andover",-,4,"1,252",683,55,3,46,"2,039"
"N. Andover",-,5,534,300,16,1,16,867
"N. Andover",-,6,"1,089",781,43,1,30,"1,944"
"N. Andover",-,7,"1,063",579,28,2,36,"1,708"
"N. Andover",-,8,942,749,38,2,29,"1,760"
"N. Reading",-,1,975,797,26,0,43,"1,841"
"N. Reading",-,2,"1,042",719,34,1,63,"1,859"
"N. Reading",-,3,941,769,29,0,46,"1,785"
"N. Reading",-,4,"1,010",759,31,0,53,"1,853"
Peabody,1,1,706,514,14,1,24,"1,259"
Peabody,1,2,716,628,17,0,20,"1,381"
Peabody,1,3,674,687,17,1,23,"1,402"
Peabody,2,1,469,230,7,1,19,726
Peabody,2,2,433,232,10,0,16,691
Peabody,2,3,511,400,17,1,13,942
Peabody,3,1,344,177,8,0,8,537
Peabody,3,2,519,329,11,2,19,880
Peabody,3,3,571,428,15,1,22,"1,037"
Peabody,4,1,630,455,20,2,17,"1,124"
Peabody,4,2,390,312,13,0,10,725
Peabody,4,3,268,204,5,0,6,483
Peabody,4,3A,946,318,14,0,26,"1,304"
Peabody,5,1,779,663,14,2,40,"1,498"
Peabody,5,2,469,533,9,1,14,"1,026"
Peabody,5,3,555,488,13,1,13,"1,070"
Peabody,6,1,779,827,12,0,29,"1,647"
Peabody,6,2,626,752,9,0,35,"1,422"
Peabody,6,3,704,847,12,1,27,"1,591"
Reading,-,1,"1,079",608,26,0,42,"1,755"
Reading,-,2,939,466,25,0,25,"1,455"
Reading,-,3,"1,028",557,23,0,52,"1,660"
Reading,-,4,"1,063",456,17,0,36,"1,572"
Reading,-,5,"1,042",433,24,0,33,"1,532"
Reading,-,6,"1,072",512,14,0,38,"1,636"
Reading,-,7,"1,103",481,17,0,43,"1,644"
Reading,-,8,906,545,20,0,36,"1,507"
Rockport,-,1,799,243,20,0,19,"1,081"
Rockport,-,2,"1,068",313,19,0,24,"1,424"
Rockport,-,3,"1,293",434,28,2,33,"1,790"
Rowley,,,"1,607","1,461",74,3,58,"3,203"
Salem,1,1,"1,193",304,27,0,63,"1,587"
Salem,1,2,382,69,11,0,13,475
Salem,2,1,"1,149",221,19,0,43,"1,432"
Salem,2,2,"1,258",185,33,0,51,"1,527"
Salem,3,1,794,187,18,0,46,"1,045"
Salem,3,2,817,299,12,0,42,"1,170"
Salem,4,1,740,317,22,0,38,"1,117"
Salem,4,2,813,383,21,0,31,"1,248"
Salem,5,1,"1,009",204,25,0,33,"1,271"
Salem,5,2,828,162,15,0,34,"1,039"
Salem,6,1,915,245,24,1,38,"1,223"
Salem,6,2,"1,044",264,24,2,33,"1,367"
Salem,7,1,615,204,27,1,22,869
Salem,7,2,942,325,21,0,44,"1,332"
Salisbury,-,1,763,539,34,0,38,"1,374"
Salisbury,-,2,728,578,37,0,29,"1,372"
Salisbury,-,3,607,639,34,0,30,"1,310"
Saugus,-,1,532,464,24,0,25,"1,045"
Saugus,-,2,508,406,22,0,24,960
Saugus,-,3,501,457,20,0,20,998
Saugus,-,4,520,438,12,0,35,"1,005"
Saugus,-,5,515,610,21,0,43,"1,189"
Saugus,-,6,509,445,21,0,26,"1,001"
Saugus,-,7,501,606,13,0,32,"1,152"
Saugus,-,8,512,476,13,0,39,"1,040"
Saugus,-,9,541,571,14,0,34,"1,160"
Saugus,-,10,468,378,12,0,28,886
Swampscott,-,1,726,289,14,1,36,"1,066"
Swampscott,-,2,702,337,15,1,45,"1,100"
Swampscott,-,3,911,215,17,1,31,"1,175"
Swampscott,-,4,940,287,24,1,42,"1,294"
Swampscott,-,5,866,322,16,1,43,"1,248"
Swampscott,-,6,842,288,25,1,54,"1,210"
Tewksbury,-,1,781,628,33,2,32,"1,476"
Tewksbury,-,2,919,758,51,2,32,"1,762"
Tewksbury,-,3,770,731,32,1,37,"1,571"
Tewksbury,-,4,878,651,21,0,27,"1,577"
Tewksbury,-,5,789,652,40,2,42,"1,525"
Tewksbury,-,5A,167,75,1,0,2,245
Tewksbury,-,6,795,772,31,2,31,"1,631"
Tewksbury,-,7,"1,007",867,27,0,36,"1,937"
Tewksbury,-,8,904,731,33,2,37,"1,707"
Topsfield,-,1,979,717,22,0,36,"1,754"
Topsfield,-,2,935,610,31,1,31,"1,608"
Wakefield,-,1,856,731,25,0,33,"1,645"
Wakefield,-,2,950,541,26,0,53,"1,570"
Wakefield,-,3,"1,063",698,39,1,43,"1,844"
Wakefield,-,4,964,506,30,0,39,"1,539"
Wakefield,-,5,"1,167",596,30,1,38,"1,832"
Wakefield,-,6,"1,296",608,35,0,55,"1,994"
Wakefield,-,7,"1,097",683,23,2,50,"1,855"
Wenham,-,1,494,221,6,1,18,740
Wenham,-,1A,807,370,20,0,38,"1,235"
"W. Newbury",,,"1,647",825,66,0,48,"2,586"
Wilmington,-,1,"1,040",730,19,0,30,"1,819"
Wilmington,-,2,932,739,39,1,53,"1,764"
Wilmington,-,3,889,714,40,1,37,"1,681"
Wilmington,-,4,956,761,22,1,39,"1,779"
Wilmington,-,5,914,652,35,0,39,"1,640"
Wilmington,-,6,971,827,22,1,43,"1,864"
TOTALS,,,"198,119","110,770","5,995",197,"7,951","323,032"
