City/Town,Ward,Pct,"James P. McGovern","Jeffrey A. Sossa-Paquette","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Amherst,-,1A,659,50,1,11,721
Amherst,-,1B,367,31,0,6,404
Amherst,-,2A,429,38,0,14,481
Amherst,-,2B,"1,202",116,0,39,"1,357"
Amherst,-,3A,386,53,0,15,454
Amherst,-,3B,"1,115",84,4,26,"1,229"
Amherst,-,4A,594,36,0,8,638
Amherst,-,4B,362,14,1,11,388
Amherst,-,5A,428,29,0,16,473
Amherst,-,5B,"1,844",127,2,42,"2,015"
Ashfield,,,796,165,0,15,976
Ashland,-,1,750,326,0,38,"1,114"
Ashland,-,2,"1,085",414,0,51,"1,550"
Ashland,-,3,731,284,0,36,"1,051"
Ashland,-,4,771,320,0,43,"1,134"
Ashland,-,5,895,326,0,42,"1,263"
Ashland,-,6,925,379,0,31,"1,335"
Athol,-,1,698,625,2,46,"1,371"
Athol,-,2,583,572,0,34,"1,189"
Athol,-,3,623,473,0,32,"1,128"
Auburn,-,1,886,575,0,32,"1,493"
Auburn,-,2,809,605,0,23,"1,437"
Auburn,-,3,922,636,0,33,"1,591"
Auburn,-,4,828,488,0,32,"1,348"
Auburn,-,5,769,524,1,38,"1,332"
Barre,-,1,611,522,1,24,"1,158"
Barre,-,2,488,539,0,24,"1,051"
Bernardston,,,662,293,0,30,985
Boylston,,,"1,526","1,051",0,56,"2,633"
Buckland,,,699,208,0,11,918
Chesterfield,,,428,218,0,13,659
Colrain,,,491,226,0,16,733
Conway,,,835,221,0,23,"1,079"
Deerfield,,,"1,883",623,0,82,"2,588"
Douglas,-,1,552,722,0,42,"1,316"
Douglas,-,2,658,743,0,30,"1,431"
Douglas,-,3,552,631,0,30,"1,213"
Erving,,,392,241,1,28,662
Gill,,,546,212,0,20,778
Goshen,,,325,179,0,15,519
Grafton,-,1,953,591,0,30,"1,574"
Grafton,-,2,"1,070",579,1,45,"1,695"
Grafton,-,3,973,605,1,46,"1,625"
Grafton,-,4,859,475,0,36,"1,370"
Grafton,-,5,"1,171",633,0,48,"1,852"
Greenfield,-,1,562,271,1,25,859
Greenfield,-,2,756,254,0,22,"1,032"
Greenfield,-,3,646,213,0,20,879
Greenfield,-,4,680,183,1,27,891
Greenfield,-,5,695,138,1,16,850
Greenfield,-,6,666,121,4,20,811
Greenfield,-,7,446,168,1,14,629
Greenfield,-,8,490,115,0,14,619
Greenfield,-,9,350,125,0,12,487
Hadley,,,"1,866",640,1,61,"2,568"
Hardwick,,,553,540,1,24,"1,118"
Hatfield,,,"1,240",490,0,41,"1,771"
Heath,,,247,112,0,4,363
Holden,-,1,866,673,0,32,"1,571"
Holden,-,2,871,580,0,53,"1,504"
Holden,-,3,929,615,0,46,"1,590"
Holden,-,4,928,594,1,44,"1,567"
Holden,-,5,956,602,0,35,"1,593"
Holden,-,6,934,611,0,44,"1,589"
Holliston,-,1,"1,284",606,1,61,"1,952"
Holliston,-,2,"1,245",483,1,47,"1,776"
Holliston,-,3,"1,084",460,4,45,"1,593"
Holliston,-,4,"1,292",528,1,68,"1,889"
Hopkinton,-,1,882,349,1,21,"1,253"
Hopkinton,-,2,"1,059",506,1,44,"1,610"
Hopkinton,-,3,973,547,0,60,"1,580"
Hopkinton,-,4,"1,149",542,1,42,"1,734"
Hopkinton,-,5,"1,140",557,0,39,"1,736"
Hubbardston,,,"1,001","1,160",1,48,"2,210"
Leicester,-,1,558,558,0,27,"1,143"
Leicester,-,2,586,490,0,17,"1,093"
Leicester,-,3,539,580,0,19,"1,138"
Leicester,-,4,544,516,0,35,"1,095"
Leominster,1,A,687,532,1,57,"1,277"
Leominster,1,B,700,419,5,68,"1,192"
Leominster,1,C,495,318,1,40,854
Leominster,2,A,342,185,2,24,553
Leominster,2,B,481,359,0,35,875
Leominster,2,C,268,202,0,21,491
Leominster,3,A,559,344,0,40,943
Leominster,3,B,730,513,0,66,"1,309"
Leominster,3,C,561,448,1,55,"1,065"
Leominster,4,A,645,558,0,84,"1,287"
Leominster,4,B,626,514,1,60,"1,201"
Leominster,4,C,470,303,0,40,813
Leominster,5,A,506,290,0,37,833
Leominster,5,B,617,404,0,39,"1,060"
Leominster,5,C,407,267,0,24,698
Leverett,,,944,125,2,12,"1,083"
Leyden,,,277,113,0,5,395
Medway,-,1,837,574,1,40,"1,452"
Medway,-,2,966,549,3,37,"1,555"
Medway,-,3,"1,004",582,0,69,"1,655"
Medway,-,4,923,578,0,46,"1,547"
Millbury,-,1,730,623,0,32,"1,385"
Millbury,-,2,884,726,0,23,"1,633"
Millbury,-,3,716,565,0,38,"1,319"
Millbury,-,4,752,547,0,37,"1,336"
Montague,-,1,713,117,0,10,840
Montague,-,2,364,164,0,15,543
Montague,-,3,420,171,0,10,601
Montague,-,4,404,134,1,14,553
Montague,-,5,312,61,0,19,392
Montague,-,6,370,121,0,9,500
"New Salem",,,367,184,0,11,562
Northampton,1,A,817,97,0,15,929
Northampton,1,B,"1,004",88,0,16,"1,108"
Northampton,2,A,787,25,1,15,828
Northampton,2,B,600,33,0,18,651
Northampton,3,A,781,78,1,23,883
Northampton,3,B,932,61,0,16,"1,009"
Northampton,4,A,676,32,0,26,734
Northampton,4,B,"1,007",89,1,25,"1,122"
Northampton,5,A,789,84,2,29,904
Northampton,5,B,"1,005",87,0,20,"1,112"
Northampton,6,A,972,226,0,34,"1,232"
Northampton,6,B,"1,012",175,1,33,"1,221"
Northampton,7,A,941,117,0,24,"1,082"
Northampton,7,B,956,120,1,28,"1,105"
Northborough,-,1,"1,131",543,0,36,"1,710"
Northborough,-,2,"1,150",503,0,41,"1,694"
Northborough,-,3,"1,194",564,0,42,"1,800"
Northborough,-,4,"1,174",649,2,59,"1,884"
Northbridge,-,1,750,556,0,29,"1,335"
Northbridge,-,2,573,499,0,27,"1,099"
Northbridge,-,3,559,502,0,20,"1,081"
Northbridge,-,4,716,732,1,41,"1,490"
Northbridge,-,5,674,644,0,40,"1,358"
Northfield,,,980,455,2,26,"1,463"
Oakham,,,429,480,0,25,934
Orange,-,1,702,602,0,44,"1,348"
Orange,-,2,764,547,0,44,"1,355"
Paxton,,,"1,219",945,0,50,"2,214"
Pelham,,,648,60,0,30,738
Petersham,,,450,280,0,14,744
Phillipston,,,339,453,0,17,809
Princeton,,,"1,204",710,2,44,"1,960"
Royalston,,,362,256,0,15,633
Rutland,-,1,713,695,0,34,"1,442"
Rutland,-,2,619,605,0,29,"1,253"
Rutland,-,3,829,630,0,35,"1,494"
Shelburne,,,707,182,1,131,"1,021"
Shrewsbury,-,1,"1,109",633,3,44,"1,789"
Shrewsbury,-,2,893,492,0,53,"1,438"
Shrewsbury,-,3,703,435,1,33,"1,172"
Shrewsbury,-,4,979,570,1,39,"1,589"
Shrewsbury,-,5,936,452,2,30,"1,420"
Shrewsbury,-,6,949,509,0,30,"1,488"
Shrewsbury,-,7,"1,116",614,2,63,"1,795"
Shrewsbury,-,8,"1,184",663,1,58,"1,906"
Shrewsbury,-,9,696,351,0,14,"1,061"
Shrewsbury,-,10,944,467,2,44,"1,457"
Shutesbury,,,925,129,0,9,"1,063"
Southborough,-,1,"1,078",503,1,57,"1,639"
Southborough,-,2,"1,037",548,29,23,"1,637"
Southborough,-,3,"1,065",481,0,49,"1,595"
Sterling,-,1,"1,074",924,0,53,"2,051"
Sterling,-,2,"1,120",935,1,74,"2,130"
Sunderland,,,"1,087",265,0,32,"1,384"
Sutton,-,1,785,766,3,39,"1,593"
Sutton,-,2,709,758,1,39,"1,507"
Sutton,-,3,770,699,1,29,"1,499"
Templeton,-,A,524,647,0,32,"1,203"
Templeton,-,B,462,529,1,24,"1,016"
Templeton,-,C,481,447,0,16,944
Upton,-,1,814,475,0,34,"1,323"
Upton,-,2,805,571,1,34,"1,411"
Upton,-,3,694,482,0,37,"1,213"
Uxbridge,-,1,723,760,1,30,"1,514"
Uxbridge,-,1A,61,80,0,3,144
Uxbridge,-,2,693,647,0,40,"1,380"
Uxbridge,-,3,749,750,1,36,"1,536"
Uxbridge,-,4,813,734,1,53,"1,601"
Warwick,,,280,112,0,11,403
Webster,-,1,320,257,2,7,586
Webster,-,3,514,467,0,19,"1,000"
Webster,-,4,786,890,2,34,"1,712"
Wendell,,,399,77,0,8,484
"W. Boylston",-,1,970,617,29,6,"1,622"
"W. Boylston",-,2,"1,098",784,43,1,"1,926"
Westborough,-,1,698,204,0,24,926
Westborough,-,2,664,276,0,16,956
Westborough,-,3,788,307,0,23,"1,118"
Westborough,-,4,728,292,0,26,"1,046"
Westborough,-,5,"1,204",545,2,34,"1,785"
Westborough,-,6,"1,314",516,1,38,"1,869"
Westhampton,,,637,311,0,26,974
Westminster,,,184,185,0,6,375
Whately,,,637,246,0,17,900
Williamsburg,,,"1,177",230,0,46,"1,453"
Worcester,1,1,531,155,0,13,699
Worcester,1,2,"1,082",497,0,25,"1,604"
Worcester,1,3,620,235,0,15,870
Worcester,1,4,"1,116",308,2,24,"1,450"
Worcester,1,5,611,327,1,22,961
Worcester,1,6,977,458,2,29,"1,466"
Worcester,2,1,900,379,1,26,"1,306"
Worcester,2,2,726,323,0,14,"1,063"
Worcester,2,3,758,347,3,31,"1,139"
Worcester,2,4,570,137,4,19,730
Worcester,2,5,369,104,0,13,486
Worcester,2,6,625,233,0,20,878
Worcester,3,1,256,83,0,7,346
Worcester,3,2,225,40,0,8,273
Worcester,3,3,560,290,3,14,867
Worcester,3,4,280,67,1,6,354
Worcester,3,5,530,191,2,12,735
Worcester,3,6,566,187,3,12,768
Worcester,4,1,213,52,1,7,273
Worcester,4,2,186,59,1,6,252
Worcester,4,2A,132,70,0,5,207
Worcester,4,3,287,61,0,3,351
Worcester,4,4,385,176,1,12,574
Worcester,4,5,609,227,0,27,863
Worcester,4,6,498,268,0,14,780
Worcester,5,1,312,86,0,11,409
Worcester,5,2,534,270,1,20,825
Worcester,5,3,750,421,3,24,"1,198"
Worcester,5,4,667,326,2,19,"1,014"
Worcester,5,5,597,332,1,27,957
Worcester,5,6,487,236,0,12,735
Worcester,6,1,193,51,0,1,245
Worcester,6,2,319,109,0,10,438
Worcester,6,3,266,97,0,6,369
Worcester,6,4,56,28,1,1,86
Worcester,6,5,373,166,3,11,553
Worcester,6,6,537,276,0,14,827
Worcester,7,1,659,210,8,17,894
Worcester,7,2,524,238,4,18,784
Worcester,7,3,367,131,0,17,515
Worcester,7,4,576,230,1,25,832
Worcester,7,5,398,247,0,12,657
Worcester,7,5A,148,57,0,4,209
Worcester,7,6,579,276,1,24,880
Worcester,8,1,252,75,1,11,339
