City/Town,Ward,Pct,"Stephen F. Lynch","Robert G. Burke","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Abington,-,1,712,472,0,25,"1,209"
Abington,-,2,685,514,0,34,"1,233"
Abington,-,3,751,589,0,32,"1,372"
Abington,-,4,803,568,0,33,"1,404"
Abington,-,5,813,573,4,28,"1,418"
Avon,,,"1,009",609,1,46,"1,665"
Boston,1,15,0,0,0,0,0
Boston,3,1,669,215,2,65,951
Boston,3,2,703,236,4,49,992
Boston,3,3,441,137,2,30,610
Boston,3,4,441,152,2,52,647
Boston,3,5,704,143,5,40,892
Boston,3,6,405,118,3,29,555
Boston,3,9,467,129,1,33,630
Boston,3,10,740,158,2,50,950
Boston,3,11,595,166,1,55,817
Boston,3,12,658,166,3,157,984
Boston,3,13,422,137,0,40,599
Boston,3,13A,0,0,0,0,0
Boston,3,17,518,95,5,45,663
Boston,5,3,852,203,4,88,"1,147"
Boston,5,4,486,62,2,26,576
Boston,5,5,631,157,4,58,850
Boston,5,6,683,190,4,61,938
Boston,5,7,854,198,0,81,"1,133"
Boston,5,8,771,200,1,51,"1,023"
Boston,5,11,333,58,4,16,411
Boston,6,1,806,150,5,65,"1,026"
Boston,6,2,425,120,0,37,582
Boston,6,3,588,147,0,57,792
Boston,6,4,445,102,0,34,581
Boston,6,5,582,191,2,51,826
Boston,6,6,573,232,6,68,879
Boston,6,7,544,223,2,53,822
Boston,6,8,681,217,0,69,967
Boston,6,9,652,248,4,64,968
Boston,6,10,492,150,0,35,677
Boston,6,11,604,154,2,48,808
Boston,6,12,803,359,1,60,"1,223"
Boston,7,1,470,185,3,46,704
Boston,7,2,641,207,5,54,907
Boston,7,3,683,217,0,51,951
Boston,7,4,506,175,0,44,725
Boston,7,5,493,125,1,55,674
Boston,7,6,444,92,2,38,576
Boston,7,7,212,48,0,23,283
Boston,7,8,481,122,1,25,629
Boston,7,9,340,74,1,36,451
Boston,7,10,321,44,3,22,390
Boston,8,6A,0,0,0,0,0
Boston,10,9A,0,0,0,0,0
Boston,11,9,570,23,4,52,649
Boston,11,10,681,26,5,63,775
Boston,13,3,349,46,0,31,426
Boston,13,7,444,115,0,50,609
Boston,13,8,404,90,1,23,518
Boston,13,9,491,79,2,35,607
Boston,13,10,719,171,6,94,990
Boston,16,2,309,100,4,30,443
Boston,16,5,462,115,2,43,622
Boston,16,7,494,144,2,51,691
Boston,16,8,783,211,3,95,"1,092"
Boston,16,9,587,221,3,84,895
Boston,16,10,456,180,4,41,681
Boston,16,11,354,106,1,34,495
Boston,16,12,568,201,1,67,837
Boston,17,13,523,87,2,63,675
Boston,19,1,725,31,10,61,827
Boston,19,2,839,136,6,114,"1,095"
Boston,19,3,484,44,5,37,570
Boston,19,4,"1,018",27,10,94,"1,149"
Boston,19,5,718,43,6,62,829
Boston,19,6,"1,079",46,13,87,"1,225"
Boston,19,8,654,44,10,71,779
Boston,19,9,473,22,4,47,546
Boston,20,1,758,127,1,80,966
Boston,20,2,726,122,8,78,934
Boston,20,4,726,60,5,98,889
Boston,20,5,679,224,4,80,987
Boston,20,6,844,215,5,92,"1,156"
Boston,20,7,529,99,4,38,670
Boston,20,8,600,115,4,59,778
Boston,20,9,629,115,1,66,811
Boston,20,10,869,276,1,87,"1,233"
Boston,20,11,428,107,3,46,584
Boston,20,12,532,161,3,60,756
Boston,20,13,468,134,2,55,659
Boston,20,14,461,152,4,51,668
Boston,20,15,719,275,3,81,"1,078"
Boston,20,16,756,313,2,82,"1,153"
Boston,20,17,902,310,4,94,"1,310"
Boston,20,18,495,126,4,53,678
Boston,20,19,502,144,0,60,706
Boston,20,20,803,189,2,60,"1,054"
Boston,20,21,64,13,1,6,84
Braintree,-,1A,776,499,3,37,"1,315"
Braintree,-,1B,624,484,1,49,"1,158"
Braintree,-,2A,858,449,1,31,"1,339"
Braintree,-,2B,787,477,1,27,"1,292"
Braintree,-,3A,674,363,0,30,"1,067"
Braintree,-,3B,719,386,2,48,"1,155"
Braintree,-,4A,714,418,1,36,"1,169"
Braintree,-,4B,682,340,2,29,"1,053"
Braintree,-,5A,750,456,1,42,"1,249"
Braintree,-,5B,827,473,2,47,"1,349"
Braintree,-,6A,895,552,3,37,"1,487"
Braintree,-,6B,900,481,0,45,"1,426"
Brockton,1,A,478,83,0,19,580
Brockton,1,B,686,228,0,28,942
Brockton,1,C,537,193,2,23,755
Brockton,1,D,840,350,0,46,"1,236"
Brockton,2,A,322,43,0,14,379
Brockton,2,B,389,66,1,27,483
Brockton,2,C,254,41,7,21,323
Brockton,2,D,488,140,3,28,659
Brockton,3,A,500,129,1,37,667
Brockton,3,B,407,74,0,24,505
Brockton,3,C,742,327,0,34,"1,103"
Brockton,3,D,749,328,0,34,"1,111"
Brockton,4,A,236,45,3,15,299
Brockton,4,B,511,124,3,30,668
Brockton,4,C,619,254,0,25,898
Brockton,4,D,627,228,0,33,888
Brockton,5,A,354,66,3,19,442
Brockton,5,B,663,202,4,26,895
Brockton,5,C,475,106,1,18,600
Brockton,5,D,684,285,3,44,"1,016"
Brockton,6,A,486,150,0,18,654
Brockton,6,B,687,278,2,25,992
Brockton,6,C,603,184,0,25,812
Brockton,6,D,786,363,0,41,"1,190"
Brockton,7,A,405,76,2,20,503
Brockton,7,B,575,121,0,53,749
Brockton,7,C,591,96,1,39,727
Brockton,7,D,602,181,2,36,821
Canton,-,1,874,407,1,35,"1,317"
Canton,-,2,"1,216",517,1,64,"1,798"
Canton,-,3,712,349,0,30,"1,091"
Canton,-,4,977,560,2,53,"1,592"
Canton,-,5,"1,070",538,0,58,"1,666"
Canton,-,6,922,421,2,45,"1,390"
Canton,-,7,"1,018",466,0,52,"1,536"
Dedham,-,1,"1,218",358,1,82,"1,659"
Dedham,-,2,"1,204",449,4,76,"1,733"
Dedham,-,3,853,303,0,34,"1,190"
Dedham,-,4,"1,038",398,2,56,"1,494"
Dedham,-,5,"1,157",521,1,51,"1,730"
Dedham,-,6,"1,108",441,2,54,"1,605"
Dedham,-,7,"1,192",568,1,75,"1,836"
"E. Bridgewater",-,1,755,717,0,52,"1,524"
"E. Bridgewater",-,2,767,721,0,45,"1,533"
"E. Bridgewater",-,3,842,775,0,75,"1,692"
"E. Bridgewater",-,4,753,696,1,38,"1,488"
Easton,-,1,"1,091",629,0,62,"1,782"
Easton,-,2,"1,000",555,3,53,"1,611"
Easton,-,3,410,243,1,25,679
Easton,-,4A,470,305,0,25,800
Easton,-,4B,504,376,0,30,910
Easton,-,5,917,504,1,49,"1,471"
Easton,-,6,854,666,0,43,"1,563"
Easton,-,7,860,542,0,52,"1,454"
Hingham,-,1,"1,171",530,2,49,"1,752"
Hingham,-,2,"1,162",547,0,64,"1,773"
Hingham,-,3,"1,098",539,1,50,"1,688"
Hingham,-,4,"1,171",584,3,63,"1,821"
Hingham,-,5,"1,035",685,1,62,"1,783"
Hingham,-,6,"1,054",535,0,57,"1,646"
Hingham,-,7,640,372,1,34,"1,047"
Hingham,-,7A,787,227,0,29,"1,043"
Holbrook,-,1,621,290,1,32,944
Holbrook,-,2,642,425,0,21,"1,088"
Holbrook,-,3,599,335,1,34,969
Holbrook,-,4,555,328,2,20,905
Hull,-,1,"1,250",502,1,69,"1,822"
Hull,-,2,999,538,2,51,"1,590"
Hull,-,3,"1,282",599,0,69,"1,950"
Milton,-,3,"1,033",316,1,62,"1,412"
Milton,-,4,572,181,3,39,795
Milton,-,6,884,440,4,60,"1,388"
Milton,-,7,867,350,2,45,"1,264"
Milton,-,8,982,410,4,49,"1,445"
Milton,-,9,908,493,3,55,"1,459"
Norwood,-,1,980,393,0,38,"1,411"
Norwood,-,2,872,374,0,38,"1,284"
Norwood,-,3,967,412,0,52,"1,431"
Norwood,-,4,"1,092",495,1,48,"1,636"
Norwood,-,5,603,208,1,30,842
Norwood,-,6,654,310,1,29,994
Norwood,-,7,859,422,1,47,"1,329"
Norwood,-,8,991,463,2,34,"1,490"
Norwood,-,9,915,508,1,42,"1,466"
Quincy,1,1,604,234,0,36,874
Quincy,1,2,509,207,2,58,776
Quincy,1,3,732,191,2,45,970
Quincy,1,4,"1,042",501,1,62,"1,606"
