City/Town,Ward,Pct,"Bill Keating","Jesse G. Brown","All Others",Blanks,"Total Votes Cast"
Chatham,-,1,"1,226",769,0,34,"2,029"
Chatham,-,2,"1,169",821,1,54,"2,045"
Chilmark,,,640,104,0,14,758
Cohasset,-,1,876,481,0,55,"1,412"
Cohasset,-,2,880,507,0,65,"1,452"
Cohasset,-,3,935,445,1,63,"1,444"
Dartmouth,-,1,706,804,1,47,"1,558"
Dartmouth,-,2,590,469,0,25,"1,084"
Dartmouth,-,3,97,81,0,6,184
Dartmouth,-,4,746,609,2,35,"1,392"
Dartmouth,-,5,901,604,3,32,"1,540"
Dartmouth,-,6,663,552,0,37,"1,252"
Dartmouth,-,7,885,690,0,44,"1,619"
Dartmouth,-,8,"1,308",705,1,61,"2,075"
Dartmouth,-,9,"1,280",764,1,57,"2,102"
Dennis,-,1,"1,188",804,0,34,"2,026"
Dennis,-,2,"1,267",797,1,34,"2,099"
Dennis,-,3,744,423,1,35,"1,203"
Dennis,-,4,"1,044",703,0,40,"1,787"
Dennis,-,5,918,564,0,17,"1,499"
Duxbury,-,1,963,631,1,46,"1,641"
Duxbury,-,2,839,595,0,28,"1,462"
Duxbury,-,3,857,533,0,38,"1,428"
Duxbury,-,4,753,503,0,24,"1,280"
Duxbury,-,5,796,525,0,25,"1,346"
Duxbury,-,6,721,508,0,33,"1,262"
Eastham,,,"2,350",967,0,69,"3,386"
Edgartown,,,"1,551",596,1,49,"2,197"
Fairhaven,-,1,781,384,0,38,"1,203"
Fairhaven,-,2,693,425,1,27,"1,146"
Fairhaven,-,3,451,374,2,33,860
Fairhaven,-,4,676,457,0,37,"1,170"
Fairhaven,-,5,677,574,0,30,"1,281"
Fairhaven,-,6,617,535,3,17,"1,172"
Falmouth,-,1,"1,665",436,1,44,"2,146"
Falmouth,-,2,"1,296",526,2,60,"1,884"
Falmouth,-,3,"1,185",645,3,36,"1,869"
Falmouth,-,4,"1,157",780,1,37,"1,975"
Falmouth,-,5,"1,439",720,2,42,"2,203"
Falmouth,-,6,"1,346",658,1,47,"2,052"
Falmouth,-,7,"1,105",730,1,40,"1,876"
Falmouth,-,8,"1,103",721,0,48,"1,872"
Falmouth,-,9,"1,028",611,1,28,"1,668"
Gosnold,,,35,17,0,3,55
Halifax,-,1,849,910,3,46,"1,808"
Halifax,-,2,817,829,0,35,"1,681"
Halifax,-,2A,27,45,0,3,75
Hanover,-,1,969,940,2,44,"1,955"
Hanover,-,2,914,844,0,48,"1,806"
Hanover,-,3,896,764,1,48,"1,709"
Hanover,-,4,"1,026",861,0,48,"1,935"
Hanson,-,1,794,879,0,43,"1,716"
Hanson,-,2,889,917,0,56,"1,862"
Hanson,-,3,694,731,0,44,"1,469"
Harwich,-,1,"1,330",776,0,61,"2,167"
Harwich,-,2,"1,146",704,0,24,"1,874"
Harwich,-,3,"1,101",700,0,24,"1,825"
Harwich,-,4,969,602,2,38,"1,611"
Kingston,-,1,812,639,1,30,"1,482"
Kingston,-,2,869,806,2,41,"1,718"
Kingston,-,3,819,794,1,24,"1,638"
Kingston,-,4,791,654,1,30,"1,476"
Marion,,,"1,746",996,2,69,"2,813"
Marshfield,-,1,"1,063",836,0,41,"1,940"
Marshfield,-,2,919,696,0,29,"1,644"
Marshfield,-,2A,153,64,0,2,219
Marshfield,-,3,"1,086",769,0,47,"1,902"
Marshfield,-,4,864,710,0,29,"1,603"
Marshfield,-,5,926,687,0,33,"1,646"
Marshfield,-,6,"1,237",965,0,46,"2,248"
Marshfield,-,7,"1,097",827,0,39,"1,963"
Mashpee,-,1,"1,074",581,0,52,"1,707"
Mashpee,-,2,759,598,0,41,"1,398"
Mashpee,-,3,729,577,0,38,"1,344"
Mashpee,-,4,854,473,0,49,"1,376"
Mashpee,-,5,"1,196",952,1,66,"2,215"
Mattapoisett,-,1,"1,073",769,1,52,"1,895"
Mattapoisett,-,2,"1,098",732,1,59,"1,890"
Middleborough,-,1,992,"1,004",1,68,"2,065"
Middleborough,-,2,558,546,1,26,"1,131"
Middleborough,-,3,649,767,0,35,"1,451"
Middleborough,-,4,471,449,1,26,947
Middleborough,-,5,548,704,0,28,"1,280"
Middleborough,-,5A,96,154,0,12,262
Middleborough,-,6,603,728,0,48,"1,379"
Middleborough,-,7,434,503,1,28,966
Middleborough,-,7A,127,226,1,10,364
Nantucket,,,"3,432","1,399",0,124,"4,955"
"New Bedford",1,A,427,284,0,32,743
"New Bedford",1,A1,52,40,2,2,96
"New Bedford",1,B,473,372,1,28,874
"New Bedford",1,B1,62,23,0,4,89
"New Bedford",1,C,343,273,0,25,641
"New Bedford",1,C1,65,41,1,4,111
"New Bedford",1,D,552,476,0,30,"1,058"
"New Bedford",1,E,523,314,0,31,868
"New Bedford",1,F,526,398,2,23,949
"New Bedford",2,A,80,32,0,4,116
"New Bedford",2,B,130,88,0,9,227
"New Bedford",2,C,168,105,1,15,289
"New Bedford",2,D,395,206,0,19,620
"New Bedford",2,E,414,337,1,29,781
"New Bedford",2,F,289,184,1,12,486
"New Bedford",3,A,200,84,2,9,295
"New Bedford",3,B,184,69,0,14,267
"New Bedford",3,C,143,89,0,12,244
"New Bedford",3,D,283,145,0,20,448
"New Bedford",3,E,427,245,0,20,692
"New Bedford",3,F,386,220,0,31,637
"New Bedford",3,F1,177,75,0,6,258
"New Bedford",4,A,116,25,0,10,151
"New Bedford",4,A1,139,23,1,9,172
"New Bedford",4,B,393,129,0,27,549
"New Bedford",4,C,445,99,0,15,559
"New Bedford",4,D,360,144,1,10,515
"New Bedford",4,E,309,144,0,17,470
"New Bedford",4,F,388,138,1,26,553
"New Bedford",5,A,267,122,1,16,406
"New Bedford",5,B,567,191,1,28,787
"New Bedford",5,C,410,233,0,25,668
"New Bedford",5,D,650,229,0,30,909
"New Bedford",5,E,670,354,0,34,"1,058"
"New Bedford",5,F,617,284,4,40,945
"New Bedford",6,A,472,298,0,34,804
"New Bedford",6,B,373,196,0,19,588
"New Bedford",6,C,174,83,0,15,272
"New Bedford",6,D,154,68,0,2,224
"New Bedford",6,E,169,91,1,13,274
"New Bedford",6,F,322,127,0,12,461
Norwell,-,1,963,724,1,63,"1,751"
Norwell,-,2,"1,062",869,1,68,"2,000"
Norwell,-,3,"1,069",763,2,41,"1,875"
"Oak Bluffs",,,"1,744",515,2,59,"2,320"
Orleans,-,1,"1,399",547,0,51,"1,997"
Orleans,-,2,"1,271",720,1,47,"2,039"
Pembroke,-,1,980,843,2,37,"1,862"
Pembroke,-,2,786,762,1,48,"1,597"
Pembroke,-,3,883,829,1,26,"1,739"
Pembroke,-,3A,7,5,0,0,12
Pembroke,-,4,873,796,0,40,"1,709"
Pembroke,-,5,857,703,0,47,"1,607"
Plymouth,-,1,649,411,0,17,"1,077"
Plymouth,-,2,815,541,0,19,"1,375"
Plymouth,-,3,903,524,0,24,"1,451"
Plymouth,-,4,808,619,1,30,"1,458"
Plymouth,-,5,854,608,0,18,"1,480"
Plymouth,-,6,"1,038",729,1,28,"1,796"
Plymouth,-,7,901,632,0,24,"1,557"
Plymouth,-,8,961,833,0,39,"1,833"
Plymouth,-,9,702,673,0,23,"1,398"
Plymouth,-,10,854,744,1,32,"1,631"
Plymouth,-,11,943,785,1,37,"1,766"
Plymouth,-,12,668,625,0,22,"1,315"
Plymouth,-,13,926,738,0,21,"1,685"
Plymouth,-,14,828,872,0,32,"1,732"
Plymouth,-,15,"1,601",979,0,54,"2,634"
Plymouth,-,16,"1,248",844,0,35,"2,127"
Plymouth,-,17,974,790,0,42,"1,806"
Plymouth,-,18,544,575,1,25,"1,145"
Plympton,,,737,728,0,28,"1,493"
Provincetown,,,"2,073",138,1,25,"2,237"
Raynham,-,1,764,679,0,68,"1,511"
Raynham,-,2,455,448,0,26,929
Raynham,-,4A,18,28,0,1,47
Rochester,,,"1,273","1,556",1,59,"2,889"
Rockland,-,1,755,511,0,22,"1,288"
Rockland,-,2,717,549,2,43,"1,311"
Rockland,-,3,549,370,0,15,934
Rockland,-,4,567,439,0,20,"1,026"
Rockland,-,5,596,522,1,25,"1,144"
Rockland,-,6,685,533,3,36,"1,257"
Sandwich,-,1,"1,204",800,2,53,"2,059"
Sandwich,-,2,"1,096",791,0,46,"1,933"
Sandwich,-,3,944,737,2,29,"1,712"
Sandwich,-,4,946,818,0,46,"1,810"
Sandwich,-,5,835,721,0,30,"1,586"
Sandwich,-,6,768,777,1,32,"1,578"
Scituate,-,1,"1,058",655,1,51,"1,765"
Scituate,-,2,"1,081",621,0,48,"1,750"
Scituate,-,3,"1,081",606,0,38,"1,725"
Scituate,-,4,"1,064",677,0,50,"1,791"
Scituate,-,5,"1,063",559,0,37,"1,659"
Scituate,-,6,"1,133",643,0,55,"1,831"
Tisbury,,,"1,598",391,0,52,"2,041"
Truro,,,"1,186",284,1,19,"1,490"
Wareham,-,1,821,608,4,33,"1,466"
Wareham,-,2,941,659,1,30,"1,631"
Wareham,-,3,884,644,1,30,"1,559"
Wareham,-,4,789,632,0,38,"1,459"
Wareham,-,5,803,746,3,22,"1,574"
Wareham,-,6,681,610,1,30,"1,322"
Wellfleet,,,"1,590",403,0,39,"2,032"
"W. Tisbury",,,"1,474",268,0,31,"1,773"
Westport,-,A,679,653,0,38,"1,370"
Westport,-,B,"1,041",769,0,57,"1,867"
Westport,-,C,643,657,0,31,"1,331"
Westport,-,D,674,616,0,41,"1,331"
Westport,-,E,"1,013",746,0,65,"1,824"
Yarmouth,-,1,"1,128",675,1,33,"1,837"
Yarmouth,-,2,"1,015",633,0,39,"1,687"
Yarmouth,-,3,676,446,1,22,"1,145"
Yarmouth,-,4,897,532,3,27,"1,459"
Yarmouth,-,5,725,566,0,19,"1,310"
Yarmouth,-,6,848,481,1,26,"1,356"
Yarmouth,-,7,"1,155",738,0,48,"1,941"
Yarmouth,-,8,643,415,0,27,"1,085"
Yarmouth,-,8A,119,75,0,0,194
TOTALS,,,"197,823","136,347",150,"8,135","342,455"
