City/Town,Ward,Pct,"Lori Loureiro Trahan","Dean Tran","All Others",Blanks,"Total Votes Cast"
Lowell,1,3,712,346,1,33,"1,092"
Lowell,1,4,646,288,1,53,988
Lowell,2,1,297,124,2,52,475
Lowell,2,2,407,179,1,14,601
Lowell,2,3,546,252,1,15,814
Lowell,2,4,432,222,1,14,669
Lowell,3,1,404,135,0,25,564
Lowell,3,2,"1,186",525,0,54,"1,765"
Lowell,3,3,853,418,3,40,"1,314"
Lowell,3,4,486,245,1,50,782
Lowell,4,1,341,54,1,22,418
Lowell,4,2,608,123,2,27,760
Lowell,4,3,189,31,0,27,247
Lowell,4,3A,118,22,0,4,144
Lowell,4,4,312,168,0,15,495
Lowell,4,4A,2,0,0,0,2
Lowell,5,1,444,171,1,20,636
Lowell,5,1A,92,22,0,2,116
Lowell,5,2,407,162,3,18,590
Lowell,5,3,257,87,1,14,359
Lowell,5,4,515,243,1,18,777
Lowell,6,1,389,147,0,16,552
Lowell,6,2,238,86,0,20,344
Lowell,6,3,178,54,0,20,252
Lowell,6,3A,33,25,0,10,68
Lowell,6,4,266,114,1,13,394
Lowell,6,4A,89,42,0,7,138
Lowell,7,1,277,117,2,22,418
Lowell,7,2,248,85,6,22,361
Lowell,7,3,345,68,1,29,443
Lowell,7,4,175,74,2,17,268
Lowell,8,1,369,170,1,25,565
Lowell,8,2,363,136,1,13,513
Lowell,8,3,731,317,1,38,"1,087"
Lowell,8,4,583,235,3,25,846
Lowell,8,4A,23,4,0,3,30
Lunenburg,-,A,707,580,0,20,"1,307"
Lunenburg,-,B,655,511,1,27,"1,194"
Lunenburg,-,B1,36,27,0,1,64
Lunenburg,-,C,642,611,1,23,"1,277"
Lunenburg,-,C1,5,5,0,0,10
Lunenburg,-,D,784,646,1,25,"1,456"
Marlborough,1,1,565,265,0,31,861
Marlborough,1,1A,21,5,0,0,26
Marlborough,1,2,903,444,0,50,"1,397"
Marlborough,2,1,700,404,0,37,"1,141"
Marlborough,2,2,556,256,1,24,837
Marlborough,2,2A,5,4,0,0,9
Marlborough,3,1,377,212,0,18,607
Marlborough,3,2,806,344,0,46,"1,196"
Marlborough,4,1,323,179,1,13,516
Marlborough,4,2,803,426,3,51,"1,283"
Marlborough,5,1,391,188,1,20,600
Marlborough,5,2,694,304,4,30,"1,032"
Marlborough,6,1,414,218,1,28,661
Marlborough,6,2,802,476,1,35,"1,314"
Marlborough,7,1,532,304,0,34,870
Marlborough,7,2,547,328,1,36,912
Marlborough,7,2A,19,16,0,1,36
Methuen,-,1,342,186,1,28,557
Methuen,-,2,419,196,0,36,651
Methuen,-,3,587,426,5,55,"1,073"
Methuen,-,4,524,335,1,37,897
Methuen,-,5,583,427,3,66,"1,079"
Methuen,-,6,486,442,1,53,982
Methuen,-,6A,64,45,0,5,114
Methuen,-,7,747,571,2,55,"1,375"
Methuen,-,8,695,626,0,67,"1,388"
Methuen,-,9,662,633,1,68,"1,364"
Methuen,-,10,595,508,1,72,"1,176"
Methuen,-,11,779,789,2,93,"1,663"
Methuen,-,12,598,522,1,64,"1,185"
Methuen,-,13,397,325,1,43,766
Methuen,-,13A,243,154,0,18,415
Methuen,-,14,600,328,0,42,970
Methuen,-,15,456,241,0,23,720
Pepperell,-,1,656,588,1,31,"1,276"
Pepperell,-,2,862,700,0,47,"1,609"
Pepperell,-,3,737,666,1,25,"1,429"
Pepperell,-,4,672,425,2,26,"1,125"
Shirley,,,"1,527","1,107",4,58,"2,696"
Stow,-,1,"1,376",571,1,36,"1,984"
Stow,-,2,"1,387",475,0,48,"1,910"
Townsend,-,1,592,702,2,28,"1,324"
Townsend,-,2,642,650,0,38,"1,330"
Townsend,-,3,651,656,0,35,"1,342"
Tyngsborough,-,1,716,581,0,38,"1,335"
Tyngsborough,-,2,659,542,0,34,"1,235"
Tyngsborough,-,3,659,466,0,33,"1,158"
Tyngsborough,-,4,900,670,0,40,"1,610"
Westford,-,1,970,490,2,28,"1,490"
Westford,-,2,973,477,1,25,"1,476"
Westford,-,3,"1,148",561,1,30,"1,740"
Westford,-,4,"1,090",467,1,35,"1,593"
Westford,-,5,"1,082",516,0,37,"1,635"
Westford,-,6,"1,050",560,0,27,"1,637"
Westford,-,7,"1,224",509,2,24,"1,759"
Westminster,-,1,638,648,0,28,"1,314"
Westminster,-,2,499,506,1,23,"1,029"
Westminster,-,3,641,560,0,26,"1,227"
Winchendon,-,1,419,562,1,17,999
Winchendon,-,2,544,649,2,35,"1,230"
Winchendon,-,3,541,649,0,24,"1,214"
TOTALS,,,"154,496","88,585",220,"8,088","251,389"
