City/Town,Ward,Pct,"Richard E. Neal","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,459,2,87,548
Adams,-,2,528,7,119,654
Adams,-,3,536,5,119,660
Adams,-,4,483,3,88,574
Adams,-,5,621,3,131,755
Agawam,-,1,882,43,328,"1,253"
Agawam,-,2,"1,186",46,517,"1,749"
Agawam,-,3,"1,084",42,332,"1,458"
Agawam,-,4,890,28,324,"1,242"
Agawam,-,5,"1,256",23,481,"1,760"
Agawam,-,6,963,68,380,"1,411"
Agawam,-,7,"1,072",39,430,"1,541"
Agawam,-,8,"1,159",52,435,"1,646"
Alford,-,1,220,2,39,261
Ashfield,-,1,867,4,180,"1,051"
Becket,-,1,602,20,183,805
Bernardston,-,1,848,16,188,"1,052"
Blandford,-,1,392,3,209,604
Brimfield,-,1,"1,237",68,507,"1,812"
Brookfield,-,1,"1,034",48,449,"1,531"
Buckland,-,1,789,9,178,976
Charlemont,-,1,454,0,139,593
Charlton,-,1,932,36,440,"1,408"
Charlton,-,2,978,44,513,"1,535"
Charlton,-,3,"1,014",55,427,"1,496"
Charlton,-,4,932,42,428,"1,402"
Cheshire,-,1,"1,152",33,327,"1,512"
Chester,-,1,397,4,174,575
Chesterfield,-,1,508,1,148,657
Chicopee,1,A,842,47,206,"1,095"
Chicopee,1,B,"1,110",46,250,"1,406"
Chicopee,2,A,611,17,89,717
Chicopee,2,B,917,37,217,"1,171"
Chicopee,3,A,723,24,170,917
Chicopee,3,B,613,29,112,754
Chicopee,4,A,748,27,164,939
Chicopee,4,B,721,21,176,918
Chicopee,5,A,822,27,176,"1,025"
Chicopee,5,B,797,38,153,988
Chicopee,6,AN,244,12,45,301
Chicopee,6,AS,511,22,136,669
Chicopee,6,BE,852,56,254,"1,162"
Chicopee,6,BW,184,8,51,243
Chicopee,7,A,586,23,109,718
Chicopee,7,B,675,27,118,820
Chicopee,8,A,871,41,226,"1,138"
Chicopee,8,B,773,30,183,986
Chicopee,9,A,825,34,197,"1,056"
Chicopee,9,B,"1,116",50,256,"1,422"
Clarksburg,-,1,572,3,140,715
Colrain,-,1,603,0,149,752
Conway,-,1,928,4,184,"1,116"
Cummington,-,1,388,6,91,485
Dalton,-,1,"1,168",15,294,"1,477"
Dalton,-,2,"1,181",17,261,"1,459"
Dudley,-,1,"1,207",19,473,"1,699"
Dudley,-,2,923,17,422,"1,362"
Dudley,-,3,862,15,376,"1,253"
"E. Brookfield",-,1,713,6,314,"1,033"
"E. Longmeadow",-,1,"1,364",66,459,"1,889"
"E. Longmeadow",-,2,"1,291",55,418,"1,764"
"E. Longmeadow",-,3,"1,392",68,450,"1,910"
