City/Town,Ward,Pct,"James P. McGovern","Tracy Lyn Lovvorn","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Amherst,-,1,790,59,0,26,875
Amherst,-,2,"1,163",116,2,24,"1,305"
Amherst,-,3,603,67,1,25,696
Amherst,-,4,584,58,0,19,661
Amherst,-,5,914,55,0,25,994
Amherst,-,6,"1,335",115,1,27,"1,478"
Amherst,-,7,"1,295",102,0,25,"1,422"
Amherst,-,8,"1,523",115,1,29,"1,668"
Amherst,-,9,"1,097",71,4,39,"1,211"
Amherst,-,10,739,56,3,29,827
Athol,-,1,797,581,0,36,"1,414"
Athol,-,2,671,570,2,22,"1,265"
Athol,-,3,754,444,1,37,"1,236"
Auburn,-,1,"1,013",580,0,42,"1,635"
Auburn,-,2,"1,001",577,1,28,"1,607"
Auburn,-,3,"1,021",583,1,30,"1,635"
Auburn,-,4,915,513,3,20,"1,451"
Auburn,-,5,918,470,0,28,"1,416"
Barre,-,1,691,501,1,13,"1,206"
Barre,-,2,533,508,1,27,"1,069"
Belchertown,-,A,"1,164",553,1,50,"1,768"
Belchertown,-,B,"1,038",624,1,60,"1,723"
Belchertown,-,C,"1,108",694,0,53,"1,855"
Belchertown,-,D,"1,284",454,1,29,"1,768"
Bellingham,-,4A,85,74,2,6,167
Bellingham,-,5,736,577,7,65,"1,385"
Blackstone,-,1,573,466,1,45,"1,085"
Blackstone,-,2,708,535,0,45,"1,288"
Blackstone,-,3,585,591,0,48,"1,224"
Boylston,-,1,"1,496",930,0,67,"2,493"
Deerfield,-,1,"2,019",576,0,58,"2,653"
Douglas,-,1,626,726,0,44,"1,396"
Douglas,-,2,678,652,0,43,"1,373"
Douglas,-,3,554,622,0,26,"1,202"
Erving,-,1,442,194,1,14,651
Gill,-,1,595,185,1,16,797
Grafton,-,1,983,642,0,40,"1,665"
Grafton,-,2,"1,043",652,0,49,"1,744"
Grafton,-,3,994,699,2,49,"1,744"
Grafton,-,4,850,549,1,32,"1,432"
Grafton,-,5,"1,156",670,0,65,"1,891"
Greenfield,-,1,589,200,0,20,809
Greenfield,-,2,765,248,0,45,"1,058"
Greenfield,-,3,673,175,0,26,874
Greenfield,-,4,740,190,0,24,954
Greenfield,-,5,728,135,0,29,892
Greenfield,-,6,734,118,0,30,882
Greenfield,-,7,472,182,0,17,671
Greenfield,-,8,531,119,0,13,663
Greenfield,-,9,445,153,0,15,613
Hadley,-,1,"2,112",604,2,63,"2,781"
Hardwick,-,1,623,488,1,29,"1,141"
Hatfield,-,1,"1,355",412,0,62,"1,829"
Holden,-,1,"1,089",741,1,37,"1,868"
Holden,-,2,"1,192",722,2,46,"1,962"
Holden,-,3,"1,106",629,2,33,"1,770"
Holden,-,4,"1,269",791,2,44,"2,106"
Holden,-,5,"1,258",746,0,39,"2,043"
Hubbardston,-,1,"1,135","1,100",0,56,"2,291"
