City/Town,Ward,Pct,"Katherine M. Clark","John Hugo","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,-,1,696,114,1,28,839
Arlington,-,2,"1,024",183,0,36,"1,243"
Arlington,-,3,"1,069",128,3,27,"1,227"
Arlington,-,4,960,132,3,25,"1,120"
Arlington,-,5,915,163,0,38,"1,116"
Arlington,-,6,941,147,0,29,"1,117"
Arlington,-,7,867,137,0,33,"1,037"
Arlington,-,8,"1,074",162,0,35,"1,271"
Arlington,-,9,875,168,1,53,"1,097"
Arlington,-,10,"1,041",149,0,37,"1,227"
Arlington,-,11,974,246,0,40,"1,260"
Arlington,-,12,"1,128",205,0,34,"1,367"
Arlington,-,13,816,317,1,41,"1,175"
Arlington,-,14,917,163,0,28,"1,108"
Arlington,-,15,977,224,0,26,"1,227"
Arlington,-,16,912,190,0,37,"1,139"
Arlington,-,17,854,145,0,34,"1,033"
Arlington,-,18,924,284,2,51,"1,261"
Arlington,-,19,969,191,0,42,"1,202"
Arlington,-,20,930,180,0,31,"1,141"
Arlington,-,21,959,151,0,44,"1,154"
Ashland,-,1,"1,030",418,0,59,"1,507"
Ashland,-,2,"1,091",506,0,64,"1,661"
Ashland,-,3,"1,028",458,0,46,"1,532"
Ashland,-,4,"1,015",412,0,68,"1,495"
Ashland,-,5,"1,128",417,0,79,"1,624"
Belmont,-,1,"1,270",308,2,75,"1,655"
Belmont,-,2,"1,188",479,0,67,"1,734"
Belmont,-,3,"1,205",323,1,49,"1,578"
Belmont,-,4,"1,065",276,0,55,"1,396"
Belmont,-,5,"1,170",322,1,59,"1,552"
Belmont,-,6,"1,319",313,1,47,"1,680"
Belmont,-,7,"1,279",274,1,54,"1,608"
Belmont,-,8,"1,233",476,1,78,"1,788"
Cambridge,3,2A,593,37,0,30,660
Cambridge,4,2,"1,582",93,6,51,"1,732"
Cambridge,4,3,499,38,0,8,545
Cambridge,6,1,"1,596",76,5,59,"1,736"
Cambridge,6,2,"1,423",73,0,45,"1,541"
Cambridge,6,3,"1,556",124,1,35,"1,716"
Cambridge,7,1,"1,561",65,1,30,"1,657"
Cambridge,7,2,811,61,1,18,891
Cambridge,7,3,456,25,1,11,493
Cambridge,8,1,"1,067",61,0,25,"1,153"
Cambridge,8,2,"1,121",69,0,24,"1,214"
Cambridge,8,3,287,18,0,8,313
Cambridge,9,1,"1,846",127,1,43,"2,017"
Cambridge,9,2,"1,792",187,1,48,"2,028"
Cambridge,9,3,"1,461",161,1,34,"1,657"
Cambridge,10,1,"1,778",99,3,36,"1,916"
Cambridge,10,2,"1,783",93,2,44,"1,922"
Framingham,-,1,"1,346",540,6,71,"1,963"
Framingham,-,2,"1,654",603,2,75,"2,334"
Framingham,-,3,"1,236",363,2,48,"1,649"
Framingham,-,4,"1,421",516,1,77,"2,015"
Framingham,-,5,"1,280",496,1,70,"1,847"
Framingham,-,6,"1,293",494,4,81,"1,872"
Framingham,-,7,"1,217",411,2,55,"1,685"
Framingham,-,8,"1,241",368,4,49,"1,662"
Framingham,-,9,892,257,0,34,"1,183"
Framingham,-,10,663,171,0,27,861
Framingham,-,11,"1,410",536,3,88,"2,037"
Framingham,-,12,671,215,1,33,920
Framingham,-,13,875,248,1,27,"1,151"
Framingham,-,14,554,144,1,20,719
Framingham,-,15,692,162,2,24,880
Framingham,-,16,332,82,1,5,420
Framingham,-,17,374,41,1,10,426
Framingham,-,18,590,159,0,17,766
Holliston,-,1,"1,346",676,6,74,"2,102"
Holliston,-,2,"1,338",540,0,82,"1,960"
Holliston,-,3,"1,229",502,0,62,"1,793"
Holliston,-,4,"1,123",547,3,67,"1,740"
Lexington,-,1,"1,214",315,0,72,"1,601"
Lexington,-,2,"1,620",314,1,74,"2,009"
Lexington,-,3,"1,229",233,0,35,"1,497"
Lexington,-,4,"1,498",336,1,83,"1,918"
Lexington,-,5,"1,412",431,0,51,"1,894"
Lexington,-,6,"1,387",337,2,60,"1,786"
Lexington,-,7,"1,383",399,0,63,"1,845"
Lexington,-,8,"1,341",345,1,76,"1,763"
Lexington,-,9,"1,352",367,0,62,"1,781"
Lincoln,-,1,"1,793",352,0,59,"2,204"
Lincoln,-,2,"1,053",268,1,30,"1,352"
Malden,1,1,688,123,1,32,844
Malden,1,2,846,240,3,52,"1,141"
Malden,2,1,714,183,0,40,937
Malden,2,2,782,258,3,44,"1,087"
Malden,3,1,"1,049",237,3,44,"1,333"
Malden,3,2,"1,152",323,1,45,"1,521"
Malden,4,1,726,149,2,34,911
Malden,4,2,614,123,2,41,780
Malden,5,1,845,186,0,37,"1,068"
Malden,5,2,"1,144",360,1,59,"1,564"
Malden,6,1,945,288,2,42,"1,277"
Malden,6,2,867,261,1,45,"1,174"
Malden,7,1,739,119,1,38,897
Malden,7,2,735,185,1,49,970
Malden,8,1,855,275,0,47,"1,177"
Malden,8,2,803,256,0,32,"1,091"
Medford,1,1,"1,116",307,0,58,"1,481"
Medford,1,2,"1,153",342,3,62,"1,560"
Medford,2,1,"1,109",429,6,68,"1,612"
Medford,2,2,"1,235",520,1,74,"1,830"
Medford,3,1,"1,260",462,2,97,"1,821"
Medford,3,2,"1,329",555,1,73,"1,958"
Medford,4,1,840,119,2,16,977
Medford,4,2,"1,444",295,3,75,"1,817"
Medford,5,1,"1,389",252,3,61,"1,705"
Medford,5,2,"1,080",163,2,39,"1,284"
Medford,6,1,"1,689",272,2,70,"2,033"
Medford,6,2,"1,323",367,1,69,"1,760"
Medford,7,1,774,175,0,35,984
Medford,7,2,"1,151",271,1,62,"1,485"
Medford,8,1,"1,333",382,1,64,"1,780"
Medford,8,2,"1,132",305,0,67,"1,504"
Melrose,1,1,826,251,1,30,"1,108"
Melrose,1,2,807,226,0,29,"1,062"
Melrose,2,1,798,340,1,37,"1,176"
Melrose,2,2,724,261,1,36,"1,022"
Melrose,3,1,795,218,2,17,"1,032"
Melrose,3,2,703,238,1,26,968
Melrose,4,1,699,246,1,24,970
Melrose,4,2,732,423,0,31,"1,186"
Melrose,5,1,845,216,1,21,"1,083"
Melrose,5,2,719,219,1,23,962
Melrose,6,1,711,209,0,15,935
Melrose,6,2,761,306,0,33,"1,100"
Melrose,7,1,735,236,1,33,"1,005"
Melrose,7,2,765,297,0,26,"1,088"
Natick,-,1,814,217,0,33,"1,064"
Natick,-,2,"1,300",465,0,76,"1,841"
Natick,-,3,"1,269",451,0,86,"1,806"
Natick,-,4,"1,190",385,1,56,"1,632"
Natick,-,5,"1,191",485,0,87,"1,763"
Natick,-,6,"1,199",432,0,56,"1,687"
Natick,-,7,"1,359",407,1,58,"1,825"
Natick,-,8,"1,305",441,0,78,"1,824"
Natick,-,9,"1,300",369,0,86,"1,755"
Natick,-,10,"1,497",548,1,106,"2,152"
Revere,1,1,592,176,0,89,857
Revere,1,2,526,190,1,53,770
Revere,1,3,502,150,1,65,718
Revere,2,1,423,121,0,22,566
Revere,2,2,501,120,1,33,655
Revere,2,3,209,33,0,15,257
Revere,2,3A,77,26,0,8,111
Revere,3,1,489,204,2,75,770
Revere,3,2,480,187,0,62,729
Revere,3,3,468,181,0,60,709
Revere,4,1,484,237,2,74,797
Revere,4,2,415,220,0,71,706
Revere,4,3,547,256,1,77,881
Revere,5,1,442,250,0,52,744
Revere,5,1A,374,138,1,42,555
Revere,5,2,257,143,0,30,430
Revere,5,2A,221,55,0,25,301
Revere,5,3,528,230,1,53,812
Revere,6,1,508,387,0,89,984
Revere,6,2,539,381,1,108,"1,029"
Revere,6,3,461,160,0,39,660
Sherborn,-,1,"1,667",654,0,91,"2,412"
