City/Town,Ward,Pct,"Bill Keating","Peter D. Tedeschi","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acushnet,-,1,678,541,0,50,"1,269"
Acushnet,-,2,732,736,1,55,"1,524"
Acushnet,-,3,760,684,0,60,"1,504"
Aquinnah,-,1,235,25,0,7,267
Barnstable,-,1,"1,295",843,0,31,"2,169"
Barnstable,-,2,"1,078",804,0,26,"1,908"
Barnstable,-,3,834,493,0,22,"1,349"
Barnstable,-,4,992,766,2,18,"1,778"
Barnstable,-,5,"1,010",993,0,27,"2,030"
Barnstable,-,6,"1,055",819,1,27,"1,902"
Barnstable,-,7,"1,251",912,0,22,"2,185"
Barnstable,-,8,775,427,0,17,"1,219"
Barnstable,-,9,514,252,0,14,780
Barnstable,-,10,876,774,0,28,"1,678"
Barnstable,-,11,"1,109",931,1,25,"2,066"
Barnstable,-,12,"1,027",861,0,19,"1,907"
Barnstable,-,13,796,494,2,19,"1,311"
Bourne,-,1,724,583,3,17,"1,327"
Bourne,-,2,833,764,0,25,"1,622"
Bourne,-,3,471,390,0,18,879
Bourne,-,4,978,609,0,26,"1,613"
Bourne,-,5,904,584,0,23,"1,511"
Bourne,-,6,660,431,0,14,"1,105"
Bourne,-,7,741,549,0,25,"1,315"
Brewster,-,1,"1,334",698,0,21,"2,053"
Brewster,-,2,"1,308",667,1,23,"1,999"
Brewster,-,3,"1,223",704,0,24,"1,951"
Carver,-,1,777,825,0,47,"1,649"
Carver,-,2,774,773,0,37,"1,584"
Carver,-,3,916,886,0,34,"1,836"
Chatham,-,1,"2,348","1,716",4,46,"4,114"
Chilmark,-,1,616,106,0,11,733
Dartmouth,-,1,797,776,0,39,"1,612"
Dartmouth,-,2,582,415,0,26,"1,023"
Dartmouth,-,3,141,23,0,4,168
Dartmouth,-,4,917,527,1,41,"1,486"
Dartmouth,-,5,"1,025",608,0,59,"1,692"
Dartmouth,-,6,730,440,2,33,"1,205"
Dartmouth,-,7,933,614,0,63,"1,610"
Dartmouth,-,8,"1,321",660,1,60,"2,042"
Dartmouth,-,9,"1,315",760,0,53,"2,128"
Dennis,-,1,"1,028",806,0,19,"1,853"
Dennis,-,2,"1,069",763,2,21,"1,855"
Dennis,-,3,893,521,0,17,"1,431"
Dennis,-,4,973,689,0,13,"1,675"
Dennis,-,5,998,537,0,26,"1,561"
Duxbury,-,1,797,773,2,25,"1,597"
Duxbury,-,2,693,776,1,22,"1,492"
Duxbury,-,3,735,617,0,28,"1,380"
Duxbury,-,4,739,613,0,28,"1,380"
