City/Town,Ward,Pct,"Ayanna S. Pressley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Somerville,3,2,"1,520",41,159,"1,720"
Somerville,3,3,"1,840",39,180,"2,059"
Somerville,4,1,838,25,194,"1,057"
Somerville,4,2,"1,137",32,128,"1,297"
Somerville,4,3,"1,367",24,164,"1,555"
Somerville,5,1,"1,570",41,196,"1,807"
Somerville,5,2,"1,822",31,203,"2,056"
Somerville,5,3,"1,911",37,197,"2,145"
Somerville,6,1,"2,093",39,155,"2,287"
Somerville,6,2,"1,895",34,190,"2,119"
Somerville,6,3,"1,009",35,99,"1,143"
Somerville,7,1,"1,862",36,164,"2,062"
Somerville,7,2,"1,421",16,128,"1,565"
Somerville,7,3,"1,421",44,214,"1,679"
TOTALS,,,"216,559","3,852","28,966","249,377"
