City/Town,Ward,Pct,"Stephen F. Lynch","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Abington,-,1,"1,027",7,309,"1,343"
Abington,-,2,"1,033",2,326,"1,361"
Abington,-,3,"1,085",7,354,"1,446"
Abington,-,4,"1,260",13,393,"1,666"
Abington,-,5,"1,237",5,354,"1,596"
Avon,-,1,"1,516",0,434,"1,950"
Boston,3,1,"1,562",38,347,"1,947"
Boston,3,2,793,20,158,971
Boston,3,3,936,19,158,"1,113"
Boston,3,4,"1,066",23,192,"1,281"
Boston,3,5,"1,647",30,295,"1,972"
Boston,3,6,"2,188",58,427,"2,673"
Boston,5,3,921,23,205,"1,149"
Boston,5,4,"1,227",25,158,"1,410"
Boston,5,5,388,16,87,491
Boston,5,11,645,14,137,796
Boston,6,1,"2,803",75,427,"3,305"
Boston,6,2,706,15,94,815
Boston,6,3,979,19,142,"1,140"
Boston,6,4,989,24,128,"1,141"
Boston,6,5,929,16,135,"1,080"
Boston,6,6,837,8,105,950
Boston,6,7,939,15,123,"1,077"
Boston,6,8,826,21,117,964
Boston,6,9,754,17,129,900
Boston,7,1,769,7,107,883
Boston,7,2,976,25,109,"1,110"
Boston,7,3,"1,098",17,144,"1,259"
Boston,7,4,824,17,124,965
Boston,7,5,816,9,95,920
Boston,7,6,681,18,85,784
Boston,7,7,427,7,60,494
Boston,7,8,610,15,67,692
Boston,7,9,563,21,90,674
Boston,11,9,655,19,98,772
Boston,11,10,814,18,120,952
Boston,13,3,566,8,64,638
Boston,13,7,722,21,122,865
Boston,13,10,954,18,196,"1,168"
Boston,16,2,427,19,80,526
Boston,16,5,698,9,91,798
Boston,16,7,700,22,101,823
Boston,16,9,876,12,116,"1,004"
Boston,16,10,653,18,109,780
Boston,16,12,747,8,108,863
Boston,19,1,874,26,133,"1,033"
Boston,19,2,938,35,212,"1,185"
Boston,19,3,720,12,118,850
Boston,19,4,"1,035",33,145,"1,213"
Boston,19,5,806,20,133,959
Boston,19,6,"1,121",20,187,"1,328"
Boston,19,8,510,26,129,665
Boston,19,9,555,22,77,654
Boston,20,1,840,15,164,"1,019"
Boston,20,2,863,34,148,"1,045"
Boston,20,4,756,34,167,957
Boston,20,5,821,18,182,"1,021"
Boston,20,6,973,12,234,"1,219"
Boston,20,7,661,10,129,800
Boston,20,8,713,7,130,850
Boston,20,9,738,15,142,895
Boston,20,10,"1,069",23,220,"1,312"
Boston,20,11,515,13,98,626
Boston,20,12,575,14,155,744
Boston,20,13,599,10,135,744
Boston,20,14,580,12,134,726
Boston,20,15,996,22,173,"1,191"
Boston,20,16,"1,023",22,216,"1,261"
Boston,20,17,"1,144",28,275,"1,447"
Boston,20,18,582,11,125,718
Boston,20,19,582,10,147,739
Boston,20,20,"1,012",26,195,"1,233"
Braintree,-,1A,"1,068",14,317,"1,399"
Braintree,-,1B,983,22,309,"1,314"
Braintree,-,2A,"1,216",25,338,"1,579"
Braintree,-,2B,"1,141",17,333,"1,491"
Braintree,-,3A,970,16,222,"1,208"
Braintree,-,3B,"1,053",22,255,"1,330"
Braintree,-,4A,970,23,237,"1,230"
Braintree,-,4B,982,24,229,"1,235"
Braintree,-,5A,"1,075",20,321,"1,416"
Braintree,-,5B,"1,255",23,321,"1,599"
Braintree,-,6A,"1,271",25,363,"1,659"
Braintree,-,6B,"1,254",21,312,"1,587"
Bridgewater,-,1,"1,549",26,597,"2,172"
Bridgewater,-,2,"1,290",13,519,"1,822"
Bridgewater,-,3,"1,554",18,624,"2,196"
Bridgewater,-,4,689,11,244,944
Bridgewater,-,5,445,3,143,591
Bridgewater,-,6,"1,021",7,247,"1,275"
Bridgewater,-,7,"1,201",13,402,"1,616"
Brockton,1,A,683,1,65,749
Brockton,1,B,951,6,183,"1,140"
Brockton,1,C,829,0,145,974
Brockton,1,D,"1,198",0,291,"1,489"
Brockton,2,A,515,0,61,576
Brockton,2,B,509,0,56,565
Brockton,2,C,469,0,56,525
Brockton,2,D,734,2,96,832
Brockton,3,A,749,2,112,863
Brockton,3,B,648,3,87,738
Brockton,3,C,"1,089",0,238,"1,327"
Brockton,3,D,"1,034",3,243,"1,280"
Brockton,4,A,446,0,57,503
Brockton,4,B,849,6,110,965
Brockton,4,C,883,6,173,"1,062"
Brockton,4,D,862,8,189,"1,059"
Brockton,5,A,656,5,82,743
Brockton,5,B,946,7,168,"1,121"
Brockton,5,C,856,3,113,972
Brockton,5,D,979,5,184,"1,168"
Brockton,6,A,702,6,91,799
Brockton,6,B,"1,057",1,211,"1,269"
Brockton,6,C,901,10,141,"1,052"
Brockton,6,D,"1,000",5,241,"1,246"
Brockton,7,A,619,1,74,694
Brockton,7,B,922,2,116,"1,040"
Brockton,7,C,776,4,115,895
Brockton,7,D,879,1,164,"1,044"
Canton,-,1,"1,332",16,318,"1,666"
Canton,-,2,"1,524",17,439,"1,980"
Canton,-,3,"1,331",15,375,"1,721"
Canton,-,4,"1,607",9,534,"2,150"
Canton,-,5,"1,489",7,402,"1,898"
Canton,-,6,"1,315",14,334,"1,663"
Cohasset,-,1,"1,533",25,559,"2,117"
Cohasset,-,2,"1,776",18,555,"2,349"
Dedham,-,1,"1,327",18,440,"1,785"
Dedham,-,2,"1,423",22,363,"1,808"
Dedham,-,3,"1,260",17,241,"1,518"
Dedham,-,4,"1,358",18,368,"1,744"
Dedham,-,5,"1,459",18,379,"1,856"
Dedham,-,6,"1,491",26,377,"1,894"
Dedham,-,7,"1,403",18,413,"1,834"
"E. Bridgewater",-,1,"1,111",0,493,"1,604"
"E. Bridgewater",-,2,"1,152",10,425,"1,587"
"E. Bridgewater",-,3,"1,284",6,513,"1,803"
"E. Bridgewater",-,4,"1,076",14,427,"1,517"
Hingham,-,1,"1,458",33,416,"1,907"
Hingham,-,2,"1,654",37,456,"2,147"
Hingham,-,3,"1,580",55,455,"2,090"
Hingham,-,4,"1,480",36,491,"2,007"
Hingham,-,5,"1,047",31,379,"1,457"
Hingham,-,5A,778,5,224,"1,007"
Hingham,-,6,"1,474",43,465,"1,982"
Holbrook,-,1,867,11,221,"1,099"
Holbrook,-,2,918,18,269,"1,205"
Holbrook,-,3,865,14,250,"1,129"
Holbrook,-,4,863,18,201,"1,082"
Hull,-,1,"1,499",22,337,"1,858"
Hull,-,2,"1,219",11,365,"1,595"
Hull,-,3,"1,608",14,407,"2,029"
Milton,-,2,"1,194",23,292,"1,509"
Milton,-,3,"1,220",21,339,"1,580"
Milton,-,4,"1,186",22,227,"1,435"
Milton,-,6,"1,179",15,349,"1,543"
Milton,-,7,"1,110",18,251,"1,379"
Milton,-,8,"1,169",20,309,"1,498"
Milton,-,9,"1,107",15,380,"1,502"
Norwood,-,1,"1,312",24,305,"1,641"
Norwood,-,2,"1,186",11,261,"1,458"
Norwood,-,3,"1,216",18,304,"1,538"
Norwood,-,4,"1,319",21,378,"1,718"
Norwood,-,5,957,18,180,"1,155"
Norwood,-,6,859,11,210,"1,080"
Norwood,-,7,"1,053",22,261,"1,336"
Norwood,-,8,"1,289",26,292,"1,607"
Norwood,-,9,"1,266",24,332,"1,622"
Quincy,1,1,896,22,168,"1,086"
Quincy,1,2,643,13,172,828
Quincy,1,3,998,31,178,"1,207"
Quincy,1,4,"1,242",28,288,"1,558"
Quincy,1,5,"1,325",38,268,"1,631"
