City/Town,Ward,Pct,"Michael J. Barrett","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bedford,-,1,"1,710",35,493,"2,238"
Bedford,-,2,"1,080",16,359,"1,455"
Bedford,-,2A,307,4,125,436
Bedford,-,3,"1,655",39,536,"2,230"
Bedford,-,4,"1,573",30,470,"2,073"
Carlisle,-,1,"2,616",37,808,"3,461"
Chelmsford,-,1,"1,190",17,556,"1,763"
Chelmsford,-,2,"1,367",11,557,"1,935"
Chelmsford,-,3A,627,6,273,906
Chelmsford,-,3B,706,3,240,949
Chelmsford,-,4,"1,473",19,666,"2,158"
Chelmsford,-,5A,"1,140",15,565,"1,720"
Chelmsford,-,5B,347,3,182,532
Chelmsford,-,6,"1,355",19,591,"1,965"
Chelmsford,-,7,"1,256",28,575,"1,859"
Chelmsford,-,8,"1,319",7,548,"1,874"
Chelmsford,-,9,"1,436",16,703,"2,155"
Chelmsford,-,10,"1,209",27,524,"1,760"
Chelmsford,-,11,"1,437",18,674,"2,129"
Concord,-,1,"1,640",13,433,"2,086"
Concord,-,2,"1,976",15,487,"2,478"
Concord,-,3,"1,927",15,537,"2,479"
Concord,-,4,"2,105",9,535,"2,649"
Concord,-,5,"1,897",11,426,"2,334"
Lexington,-,3,"1,375",5,366,"1,746"
Lexington,-,8,"1,579",13,427,"2,019"
Lexington,-,9,"1,711",11,478,"2,200"
Lincoln,-,1,"1,979",10,475,"2,464"
Lincoln,-,2,"1,218",12,353,"1,583"
Waltham,1,1,"1,421",0,628,"2,049"
Waltham,1,2,"1,293",0,695,"1,988"
Waltham,1,2A,11,0,5,16
Waltham,2,1,"1,364",0,562,"1,926"
Waltham,2,2,"1,108",0,280,"1,388"
Waltham,3,1,"1,316",0,771,"2,087"
Waltham,3,2,"1,375",0,570,"1,945"
Waltham,3,2A,23,0,13,36
Waltham,4,1,"1,401",0,606,"2,007"
Waltham,4,1A,28,0,5,33
Waltham,4,2,266,0,98,364
Waltham,5,1,"1,060",0,472,"1,532"
Waltham,5,2,753,0,229,982
Waltham,5,2A,137,0,33,170
Waltham,6,1,"1,153",0,354,"1,507"
Waltham,6,2,698,0,265,963
Waltham,6,2A,148,0,62,210
Waltham,7,1,"1,285",0,513,"1,798"
Waltham,7,2,462,0,152,614
Waltham,8,1,"1,129",0,337,"1,466"
Waltham,8,2,"1,125",0,374,"1,499"
Waltham,8,2A,13,0,4,17
Waltham,9,1,"1,016",0,256,"1,272"
Waltham,9,2,837,0,249,"1,086"
Weston,-,1,"1,310",0,561,"1,871"
Weston,-,2,"1,130",29,489,"1,648"
Weston,-,3,"1,014",2,458,"1,474"
Weston,-,4,"1,100",1,539,"1,640"
TOTALS,,,"65,186",496,"23,542","89,224"
