City/Town,Ward,Pct,"Michael D. Brady","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,944",15,624,"2,583"
Brockton,1,A,903,2,133,"1,038"
Brockton,1,B,"1,218",3,274,"1,495"
Brockton,1,C,"1,086",3,229,"1,318"
Brockton,1,D,"1,476",5,406,"1,887"
Brockton,2,A,643,0,135,778
Brockton,2,B,820,0,146,966
Brockton,2,C,549,0,133,682
Brockton,2,D,944,0,188,"1,132"
Brockton,3,A,986,4,237,"1,227"
Brockton,3,B,755,1,180,936
Brockton,3,C,"1,352",1,335,"1,688"
Brockton,3,D,"1,321",4,340,"1,665"
Brockton,4,A,607,1,92,700
Brockton,4,B,986,2,212,"1,200"
Brockton,4,C,"1,181",2,323,"1,506"
Brockton,4,D,"1,102",0,309,"1,411"
Brockton,5,A,801,1,140,942
Brockton,5,B,"1,205",2,246,"1,453"
Brockton,5,C,"1,002",2,176,"1,180"
Brockton,5,D,"1,332",7,280,"1,619"
Brockton,6,A,979,6,205,"1,190"
Brockton,6,B,"1,223",9,320,"1,552"
Brockton,6,C,"1,134",0,248,"1,382"
Brockton,6,D,"1,428",0,388,"1,816"
Brockton,7,A,821,2,136,959
Brockton,7,B,"1,123",1,202,"1,326"
Brockton,7,C,914,2,189,"1,105"
Brockton,7,D,"1,070",3,258,"1,331"
"E. Bridgewater",-,1,"1,409",33,719,"2,161"
"E. Bridgewater",-,2,"1,494",23,686,"2,203"
"E. Bridgewater",-,3,"1,463",23,754,"2,240"
"E. Bridgewater",-,4,"1,377",14,665,"2,056"
Halifax,-,1,"1,682",0,849,"2,531"
Halifax,-,2,"1,537",0,779,"2,316"
Halifax,-,2A,55,0,38,93
Hanson,-,1,"1,531",17,719,"2,267"
Hanson,-,2,"1,674",27,747,"2,448"
Hanson,-,3,"1,429",23,704,"2,156"
Randolph,-,1,"1,247",31,299,"1,577"
Randolph,-,2,"1,003",33,230,"1,266"
Randolph,-,3,899,22,226,"1,147"
Randolph,-,7,929,20,277,"1,226"
Randolph,-,8,955,31,247,"1,233"
Whitman,-,1,"1,680",28,668,"2,376"
Whitman,-,2,"1,446",26,580,"2,052"
Whitman,-,3,"1,536",35,596,"2,167"
Whitman,-,4,"1,515",23,590,"2,128"
TOTALS,,,"55,766",487,"17,457","73,710"
