City/Town,Ward,Pct,"Brendan Peter Crighton","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,1,1,"1,538",55,616,"2,209"
Lynn,1,2,"1,131",43,471,"1,645"
Lynn,1,2A,259,7,89,355
Lynn,1,3,"1,284",43,403,"1,730"
Lynn,1,4,"1,080",50,252,"1,382"
Lynn,2,1,"1,366",40,447,"1,853"
Lynn,2,2,858,37,209,"1,104"
Lynn,2,3,619,24,138,781
Lynn,2,4,575,27,132,734
Lynn,3,1,975,45,274,"1,294"
Lynn,3,2,719,38,131,888
Lynn,3,3,975,41,236,"1,252"
Lynn,3,4,982,39,236,"1,257"
Lynn,4,1,451,23,110,584
Lynn,4,2,503,18,103,624
Lynn,4,3,628,33,178,839
Lynn,4,3A,141,14,26,181
Lynn,4,4,852,34,217,"1,103"
Lynn,5,1,992,38,256,"1,286"
Lynn,5,2,534,26,109,669
Lynn,5,3,469,19,107,595
Lynn,5,4,918,28,281,"1,227"
Lynn,6,1,659,29,144,832
Lynn,6,2,506,27,132,665
Lynn,6,3,545,27,144,716
Lynn,6,4,799,40,241,"1,080"
Lynn,7,1,"1,144",49,362,"1,555"
Lynn,7,2,"1,204",51,275,"1,530"
Lynn,7,3,765,32,164,961
Lynn,7,4,871,44,201,"1,116"
Lynnfield,-,1,"1,246",0,745,"1,991"
Lynnfield,-,2,"1,369",0,692,"2,061"
Lynnfield,-,3,"1,279",0,732,"2,011"
Lynnfield,-,4,"1,283",0,821,"2,104"
Marblehead,-,1,"1,661",7,694,"2,362"
Marblehead,-,2,"1,681",3,654,"2,338"
Marblehead,-,3,"1,544",13,605,"2,162"
Marblehead,-,4,"1,573",3,755,"2,331"
Marblehead,-,5,"1,600",7,616,"2,223"
Marblehead,-,6,"1,653",19,672,"2,344"
Nahant,-,1,"1,715",41,596,"2,352"
Saugus,-,1,835,5,565,"1,405"
Saugus,-,2,883,2,523,"1,408"
Saugus,-,3,893,3,588,"1,484"
Saugus,-,4,907,0,657,"1,564"
Saugus,-,5,934,3,771,"1,708"
Saugus,-,6,840,5,623,"1,468"
Saugus,-,7,827,0,782,"1,609"
Saugus,-,8,873,0,644,"1,517"
Saugus,-,9,941,1,740,"1,682"
Saugus,-,10,764,2,563,"1,329"
Swampscott,-,1,"1,089",34,363,"1,486"
Swampscott,-,2,"1,022",24,367,"1,413"
Swampscott,-,3,"1,156",13,326,"1,495"
Swampscott,-,4,"1,192",23,422,"1,637"
Swampscott,-,5,"1,196",25,437,"1,658"
Swampscott,-,6,"1,132",23,421,"1,576"
TOTALS,,,"56,430","1,277","23,058","80,765"
