City/Town,Ward,Pct,"William J. Driscoll, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Braintree,-,1A,"1,244",31,581,"1,856"
Braintree,-,1B,"1,048",35,579,"1,662"
Braintree,-,2A,"1,281",28,482,"1,791"
Braintree,-,2B,"1,144",33,535,"1,712"
Braintree,-,3A,"1,022",29,427,"1,478"
Braintree,-,4A,"1,109",25,465,"1,599"
Braintree,-,5A,"1,146",31,511,"1,688"
Braintree,-,5B,"1,230",20,544,"1,794"
Braintree,-,6B,"1,348",18,538,"1,904"
Bridgewater,-,1,"1,246",15,704,"1,965"
Bridgewater,-,2,"1,205",8,703,"1,916"
Bridgewater,-,3,"1,475",0,851,"2,326"
Bridgewater,-,4,652,8,402,"1,062"
Bridgewater,-,5,155,1,72,228
Bridgewater,-,6,"1,025",4,446,"1,475"
Bridgewater,-,7,"1,306",13,621,"1,940"
Bridgewater,-,8,"1,152",6,501,"1,659"
Bridgewater,-,9,"1,375",8,703,"2,086"
Easton,-,1,"1,574",16,786,"2,376"
Easton,-,2,"1,522",21,726,"2,269"
Easton,-,3,622,9,312,943
Easton,-,4A,690,7,382,"1,079"
Easton,-,4B,807,14,415,"1,236"
Easton,-,5,"1,408",27,623,"2,058"
Easton,-,6,"1,459",15,752,"2,226"
Easton,-,7,"1,494",17,638,"2,149"
Milton,-,1,"1,345",16,287,"1,648"
Milton,-,2,"1,325",20,469,"1,814"
Milton,-,3,"1,369",16,428,"1,813"
Milton,-,4,813,5,234,"1,052"
Milton,-,4A,515,8,137,660
Milton,-,5,"1,007",19,393,"1,419"
Milton,-,6,"1,341",12,460,"1,813"
Milton,-,7,"1,234",15,428,"1,677"
Milton,-,8,"1,450",17,430,"1,897"
Milton,-,9,"1,381",16,511,"1,908"
Milton,-,10,986,6,259,"1,251"
Randolph,-,4,"1,137",34,278,"1,449"
Randolph,-,5,"1,099",27,261,"1,387"
Randolph,-,6,722,27,133,882
Randolph,-,9,"1,025",16,254,"1,295"
Randolph,-,10,"1,135",31,278,"1,444"
Randolph,-,11,989,27,314,"1,330"
Randolph,-,12,993,25,252,"1,270"
Stoughton,-,1,"1,314",22,453,"1,789"
Stoughton,-,2,"1,149",20,460,"1,629"
Stoughton,-,2A,172,1,56,229
Stoughton,-,3,"1,485",27,561,"2,073"
Stoughton,-,4,"1,459",33,675,"2,167"
Stoughton,-,4A,128,0,53,181
Stoughton,-,5,"1,020",24,441,"1,485"
Stoughton,-,5A,82,1,52,135
Stoughton,-,6,"1,364",16,573,"1,953"
Stoughton,-,7,"1,298",23,415,"1,736"
Stoughton,-,7A,80,2,19,101
Stoughton,-,8,953,21,331,"1,305"
Stoughton,-,8A,63,3,22,88
"W. Bridgewater",-,1,"1,483",17,821,"2,321"
"W. Bridgewater",-,2,"1,490",24,798,"2,312"
TOTALS,,,"63,145","1,010","25,835","89,990"
