City/Town,Ward,Pct,"Michael J. Rodrigues","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,A,"1,128",38,495,"1,661"
"Fall River",1,B,768,31,328,"1,127"
"Fall River",1,C,870,34,335,"1,239"
"Fall River",2,A,627,28,234,889
"Fall River",2,B,584,19,213,816
"Fall River",2,C,677,22,282,981
"Fall River",3,A,836,20,293,"1,149"
"Fall River",3,B,785,24,283,"1,092"
"Fall River",3,C,999,40,352,"1,391"
"Fall River",4,A,594,22,183,799
"Fall River",4,B,543,12,157,712
"Fall River",4,C,640,18,214,872
"Fall River",5,A,508,21,137,666
"Fall River",5,B,439,10,127,576
"Fall River",5,C,585,21,179,785
"Fall River",6,A,904,32,410,"1,346"
"Fall River",6,B,817,24,269,"1,110"
"Fall River",6,C,792,23,290,"1,105"
"Fall River",7,A,918,27,353,"1,298"
"Fall River",7,B,632,24,228,884
"Fall River",7,C,762,21,255,"1,038"
"Fall River",8,A,737,27,273,"1,037"
"Fall River",8,B,"1,045",38,439,"1,522"
"Fall River",8,C,"1,178",32,420,"1,630"
"Fall River",9,A,"1,356",40,618,"2,014"
"Fall River",9,B,"1,014",37,429,"1,480"
"Fall River",9,C,"1,132",31,424,"1,587"
Freetown,-,1,"1,194",20,620,"1,834"
Freetown,-,2,"1,197",20,677,"1,894"
Freetown,-,3,"1,125",15,719,"1,859"
Lakeville,-,1,"1,584",63,898,"2,545"
Lakeville,-,2,"1,724",35,"1,039","2,798"
Lakeville,-,3,"1,555",54,903,"2,512"
Rochester,-,1,"2,589",30,"1,414","4,033"
Somerset,-,1,"1,622",6,702,"2,330"
Somerset,-,2,"1,608",13,677,"2,298"
Somerset,-,3,"1,587",5,665,"2,257"
Somerset,-,4,"1,480",7,623,"2,110"
Somerset,-,5,"1,451",10,675,"2,136"
Swansea,-,1,"1,278",63,695,"2,036"
Swansea,-,2,"1,379",54,578,"2,011"
Swansea,-,3,"1,395",64,616,"2,075"
Swansea,-,4,"1,429",50,607,"2,086"
Swansea,-,5,"1,366",64,750,"2,180"
Westport,-,A,"1,500",18,502,"2,020"
Westport,-,B,"1,667",9,700,"2,376"
Westport,-,C,"1,488",7,517,"2,012"
Westport,-,D,"1,505",11,520,"2,036"
Westport,-,E,"1,784",12,669,"2,465"
TOTALS,,,"55,377","1,346","23,986","80,709"
