City/Town,Ward,Pct,"Michael F. Rush","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,10,9A,0,0,0,0
Boston,18,9,866,21,246,"1,133"
Boston,18,10,"1,258",21,354,"1,633"
Boston,18,11,673,19,157,849
Boston,18,12,868,10,245,"1,123"
Boston,18,16,892,29,306,"1,227"
Boston,18,17,849,31,220,"1,100"
Boston,18,19,"1,402",30,369,"1,801"
Boston,18,20,"1,120",34,352,"1,506"
Boston,18,22,994,28,341,"1,363"
Boston,18,23,672,23,126,821
Boston,19,2,929,17,355,"1,301"
Boston,19,3,487,5,158,650
Boston,19,5,749,10,243,"1,002"
Boston,19,8,643,7,263,913
Boston,19,9,528,8,163,699
Boston,19,10,"1,034",24,292,"1,350"
Boston,19,11,754,22,161,937
Boston,19,13,631,18,148,797
Boston,20,1,911,12,343,"1,266"
Boston,20,2,964,24,267,"1,255"
Boston,20,3,864,28,284,"1,176"
Boston,20,4,777,14,250,"1,041"
Boston,20,5,"1,012",26,322,"1,360"
Boston,20,6,"1,037",19,354,"1,410"
Boston,20,7,655,15,189,859
Boston,20,8,752,11,208,971
Boston,20,9,847,22,222,"1,091"
Boston,20,10,"1,176",26,366,"1,568"
Boston,20,11,560,9,164,733
Boston,20,12,700,17,210,927
Boston,20,13,661,17,159,837
Boston,20,14,605,13,196,814
Boston,20,15,"1,030",19,352,"1,401"
Boston,20,16,"1,202",34,361,"1,597"
Boston,20,17,"1,175",30,439,"1,644"
Boston,20,18,627,13,203,843
Boston,20,19,669,7,201,877
Boston,20,20,"1,097",19,301,"1,417"
Boston,20,21,85,7,39,131
Dedham,-,1,"1,407",14,696,"2,117"
Dedham,-,2,"1,601",23,695,"2,319"
Dedham,-,3,"1,361",23,467,"1,851"
Dedham,-,4,"1,432",12,617,"2,061"
Dedham,-,5,"1,568",21,680,"2,269"
Dedham,-,6,"1,484",32,639,"2,155"
Dedham,-,7,"1,563",19,825,"2,407"
Norwood,-,1,"1,353",27,528,"1,908"
Norwood,-,2,"1,301",16,481,"1,798"
Norwood,-,3,"1,355",31,560,"1,946"
Norwood,-,4,"1,409",26,673,"2,108"
Norwood,-,5,950,26,333,"1,309"
Norwood,-,6,989,28,451,"1,468"
Norwood,-,7,"1,321",32,528,"1,881"
Norwood,-,8,"1,436",24,536,"1,996"
Norwood,-,9,"1,331",22,577,"1,930"
Walpole,-,1,"1,366",18,482,"1,866"
Walpole,-,2,"1,388",11,712,"2,111"
Walpole,-,2A,30,0,10,40
Walpole,-,3,"1,630",17,762,"2,409"
Walpole,-,4,"1,165",12,467,"1,644"
Walpole,-,5,"1,130",15,541,"1,686"
Walpole,-,5A,28,0,19,47
Walpole,-,6,"1,441",22,613,"2,076"
Walpole,-,7,"1,379",7,670,"2,056"
Walpole,-,8,"1,318",8,741,"2,067"
Westwood,-,1,"1,418",16,638,"2,072"
Westwood,-,2,"1,417",14,697,"2,128"
Westwood,-,3,"1,335",10,570,"1,915"
Westwood,-,4,"1,234",11,661,"1,906"
Westwood,-,5,"1,457",13,715,"2,185"
TOTALS,,,"72,352","1,289","27,513","101,154"
