City/Town,Ward,Pct,"William N. Brownsberger","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Belmont,-,1,"1,391",5,397,"1,793"
Belmont,-,2,"1,557",13,570,"2,140"
Belmont,-,3,"1,390",15,373,"1,778"
Belmont,-,4,"1,218",10,322,"1,550"
Belmont,-,5,"1,412",13,365,"1,790"
Belmont,-,6,"1,685",10,444,"2,139"
Belmont,-,7,"1,431",9,375,"1,815"
Belmont,-,8,"1,205",10,434,"1,649"
Boston,4,10,226,6,46,278
Boston,4,12,207,5,53,265
Boston,5,2,729,7,166,902
Boston,5,10,547,17,126,690
Boston,5,12,583,11,100,694
Boston,5,15,637,15,169,821
Boston,21,1,932,16,167,"1,115"
Boston,21,2,261,3,35,299
Boston,21,3,521,7,113,641
Boston,21,4,464,9,104,577
Boston,21,5,787,19,127,933
Boston,21,6,578,7,118,703
Boston,21,7,673,18,154,845
Boston,21,8,958,16,129,"1,103"
Boston,21,9,"1,139",26,192,"1,357"
Boston,21,10,762,17,166,945
Boston,21,11,925,19,159,"1,103"
Boston,21,12,737,18,210,965
Boston,21,13,936,23,393,"1,352"
Boston,21,14,573,4,111,688
Boston,21,15,713,10,115,838
Boston,21,16,862,17,234,"1,113"
Boston,22,1,995,34,231,"1,260"
Boston,22,2,"1,139",26,301,"1,466"
Boston,22,3,"1,010",26,265,"1,301"
Boston,22,4,760,22,190,972
Boston,22,5,757,12,186,955
Boston,22,6,589,15,140,744
Boston,22,7,878,16,226,"1,120"
Boston,22,8,587,18,182,787
Boston,22,9,653,23,251,927
Boston,22,10,866,14,210,"1,090"
Boston,22,11,584,12,167,763
Boston,22,12,623,21,185,829
Boston,22,13,540,11,127,678
Cambridge,8,2,"1,288",11,266,"1,565"
Cambridge,9,1,"2,022",8,440,"2,470"
Cambridge,9,2,"1,655",9,339,"2,003"
Cambridge,9,3,"1,526",5,379,"1,910"
Watertown,-,1,999,3,314,"1,316"
Watertown,-,2,"1,190",0,305,"1,495"
Watertown,-,3,"1,258",0,313,"1,571"
Watertown,-,4,"1,456",0,371,"1,827"
Watertown,-,5,"1,028",3,269,"1,300"
Watertown,-,6,"1,114",10,225,"1,349"
Watertown,-,7,"1,350",0,390,"1,740"
Watertown,-,8,"1,278",0,322,"1,600"
Watertown,-,9,995,0,297,"1,292"
Watertown,-,10,"1,296",10,359,"1,665"
Watertown,-,11,"1,210",1,414,"1,625"
Watertown,-,12,"1,130",0,378,"1,508"
TOTALS,,,"56,815",685,"14,509","72,009"
