City/Town,Ward,Pct,"John F. Keenan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Abington,-,1,"1,433",10,558,"2,001"
Abington,-,2,"1,240",13,521,"1,774"
Abington,-,3,"1,327",11,571,"1,909"
Abington,-,4,"1,457",18,527,"2,002"
Abington,-,5,"1,439",15,535,"1,989"
Braintree,-,3B,"1,112",33,450,"1,595"
Braintree,-,4B,"1,097",17,377,"1,491"
Braintree,-,6A,"1,313",19,681,"2,013"
Hanover,-,1,"1,714",32,921,"2,667"
Hanover,-,2,"1,601",21,779,"2,401"
Hanover,-,3,"1,491",18,726,"2,235"
Hanover,-,4,"1,673",44,798,"2,515"
Holbrook,-,1,"1,103",16,351,"1,470"
Holbrook,-,2,"1,083",19,458,"1,560"
Holbrook,-,3,"1,092",23,398,"1,513"
Holbrook,-,4,"1,071",25,365,"1,461"
Quincy,1,1,935,25,278,"1,238"
Quincy,1,2,810,14,295,"1,119"
Quincy,1,3,"1,051",24,261,"1,336"
Quincy,1,4,"1,499",40,489,"2,028"
Quincy,1,5,"1,526",41,509,"2,076"
Quincy,2,1,886,27,205,"1,118"
Quincy,2,2,961,28,210,"1,199"
Quincy,2,3,677,21,170,868
Quincy,2,4,945,25,248,"1,218"
Quincy,2,5,"1,039",20,271,"1,330"
Quincy,3,1,"1,414",29,338,"1,781"
Quincy,3,2,"1,105",18,266,"1,389"
Quincy,3,3,921,24,241,"1,186"
Quincy,3,4,"1,317",32,357,"1,706"
Quincy,3,5,929,18,215,"1,162"
Quincy,4,1,"1,110",25,276,"1,411"
Quincy,4,2,"1,251",24,375,"1,650"
Quincy,4,3,"1,406",39,441,"1,886"
Quincy,4,4,897,17,212,"1,126"
Quincy,4,5,967,32,193,"1,192"
Quincy,5,1,550,22,123,695
Quincy,5,1A,358,12,101,471
Quincy,5,2,957,22,275,"1,254"
Quincy,5,3,"1,448",26,355,"1,829"
Quincy,5,4,891,19,287,"1,197"
Quincy,5,5,"1,200",24,386,"1,610"
Quincy,6,1,"1,046",19,285,"1,350"
Quincy,6,2,"1,008",26,213,"1,247"
Quincy,6,3,"1,199",20,404,"1,623"
Quincy,6,4,880,15,260,"1,155"
Quincy,6,5,"1,647",40,488,"2,175"
Rockland,-,1,"1,290",34,443,"1,767"
Rockland,-,2,"1,269",33,531,"1,833"
Rockland,-,3,"1,022",31,321,"1,374"
Rockland,-,4,"1,041",59,339,"1,439"
Rockland,-,5,"1,137",28,466,"1,631"
Rockland,-,6,"1,256",38,439,"1,733"
TOTALS,,,"61,091","1,325","20,582","82,998"
