City/Town,Ward,Pct,"John J. Cronin","Nicholas A. Pirro, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashby,-,1,980,938,0,85,"2,003"
Clinton,-,1,"1,223",757,5,123,"2,108"
Clinton,-,2,955,553,6,90,"1,604"
Clinton,-,3,"1,141",772,4,90,"2,007"
Clinton,-,4,"1,017",709,9,112,"1,847"
Fitchburg,1,A,668,370,1,57,"1,096"
Fitchburg,1,B,824,425,0,43,"1,292"
Fitchburg,2,A,628,353,3,39,"1,023"
Fitchburg,2,B,841,478,3,50,"1,372"
Fitchburg,3,A,"1,186",794,6,105,"2,091"
Fitchburg,3,B,838,575,5,71,"1,489"
Fitchburg,4,A,542,302,0,53,897
Fitchburg,4,B,660,302,1,65,"1,028"
Fitchburg,5,A,"1,102",801,4,69,"1,976"
Fitchburg,5,B,511,290,4,38,843
Fitchburg,6,A,"1,018",681,2,65,"1,766"
Fitchburg,6,B,637,337,0,50,"1,024"
Groton,-,1,"1,641",790,0,167,"2,598"
Groton,-,2,"1,445",786,2,137,"2,370"
Groton,-,3,"1,483",739,2,132,"2,356"
Lancaster,-,1,946,830,1,120,"1,897"
Lancaster,-,2,"1,270",983,0,125,"2,378"
Leominster,1,A,904,737,2,76,"1,719"
Leominster,1,B,914,633,0,94,"1,641"
Leominster,1,C,723,488,1,77,"1,289"
Leominster,2,A,581,401,0,72,"1,054"
Leominster,2,B,663,554,1,80,"1,298"
Leominster,2,C,447,406,0,53,906
Leominster,3,A,741,548,1,64,"1,354"
Leominster,3,B,954,672,0,98,"1,724"
Leominster,3,C,799,692,0,85,"1,576"
Leominster,4,A,880,795,0,85,"1,760"
Leominster,4,B,817,723,0,81,"1,621"
Leominster,4,C,703,531,1,80,"1,315"
Leominster,5,A,672,509,0,69,"1,250"
Leominster,5,B,861,576,0,68,"1,505"
Leominster,5,C,600,400,0,39,"1,039"
Lunenburg,-,A,936,831,1,45,"1,813"
Lunenburg,-,B,899,783,4,58,"1,744"
Lunenburg,-,B1,43,35,0,3,81
Lunenburg,-,C,817,843,0,65,"1,725"
Lunenburg,-,C1,8,5,0,0,13
Lunenburg,-,D,"1,012",884,0,69,"1,965"
Shirley,-,1,"1,995","1,528",8,173,"3,704"
Townsend,-,1,816,970,0,84,"1,870"
Townsend,-,2,863,895,0,107,"1,865"
Townsend,-,3,901,882,0,72,"1,855"
Westford,-,1,"1,106",685,2,135,"1,928"
Westford,-,2,"1,219",664,5,121,"2,009"
Westford,-,3,"1,415",750,2,139,"2,306"
Westford,-,4,"1,297",616,2,106,"2,021"
Westford,-,5,"1,284",657,3,135,"2,079"
Westford,-,6,"1,319",801,3,147,"2,270"
Westford,-,7,"1,490",700,6,128,"2,324"
TOTALS,,,"50,235","34,759",100,"4,594","89,688"
