City/Town,Ward,Pct,"Dylan A. Fernandes","Mathew J. Muratore","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bourne,-,1,808,"1,024",10,143,"1,985"
Bourne,-,2,845,990,0,127,"1,962"
Bourne,-,3,469,509,2,67,"1,047"
Bourne,-,4,"1,115",854,1,150,"2,120"
Bourne,-,5,926,700,3,85,"1,714"
Bourne,-,5A,164,156,0,30,350
Bourne,-,6,842,548,1,73,"1,464"
Bourne,-,7,811,709,2,108,"1,630"
Falmouth,-,1,"1,966",492,2,117,"2,577"
Falmouth,-,2,"1,537",695,4,132,"2,368"
Falmouth,-,3,"1,451",810,0,134,"2,395"
Falmouth,-,4,"1,485",936,0,127,"2,548"
Falmouth,-,5,"1,659",914,2,154,"2,729"
Falmouth,-,6,"1,692",819,1,118,"2,630"
Falmouth,-,7,"1,385",908,2,121,"2,416"
Falmouth,-,8,"1,391",926,0,131,"2,448"
Falmouth,-,9,"1,228",798,1,114,"2,141"
Kingston,-,1,972,"1,071",3,117,"2,163"
Kingston,-,2,952,"1,232",1,128,"2,313"
Kingston,-,3,888,"1,249",1,122,"2,260"
Kingston,-,4,897,991,2,134,"2,024"
Mashpee,-,1,"1,221",722,0,115,"2,058"
Mashpee,-,2,973,789,1,104,"1,867"
Mashpee,-,3,961,822,0,111,"1,894"
Mashpee,-,4,"1,107",720,0,95,"1,922"
Mashpee,-,5,"1,393","1,183",1,180,"2,757"
Pembroke,-,1,"1,052","1,271",5,150,"2,478"
Pembroke,-,2,903,"1,145",8,141,"2,197"
Pembroke,-,3,974,"1,200",2,144,"2,320"
Pembroke,-,3A,13,4,0,1,18
Pembroke,-,4,980,"1,269",8,150,"2,407"
Pembroke,-,5,968,"1,090",3,123,"2,184"
Plymouth,-,1,779,775,3,78,"1,635"
Plymouth,-,2,872,984,1,89,"1,946"
Plymouth,-,3,"1,017",890,1,101,"2,009"
Plymouth,-,4,899,"1,034",2,83,"2,018"
Plymouth,-,5,888,"1,042",5,91,"2,026"
Plymouth,-,6,"1,071","1,225",0,87,"2,383"
Plymouth,-,7,960,"1,198",2,94,"2,254"
Plymouth,-,8,992,"1,371",0,101,"2,464"
Plymouth,-,9,792,"1,216",4,69,"2,081"
Plymouth,-,10,918,"1,352",2,94,"2,366"
Plymouth,-,11,925,"1,308",1,112,"2,346"
Plymouth,-,12,742,"1,200",0,59,"2,001"
Plymouth,-,13,976,"1,290",3,114,"2,383"
Plymouth,-,14,886,"1,494",6,71,"2,457"
Plymouth,-,15,"1,784","1,531",2,148,"3,465"
Plymouth,-,16,"1,179","1,245",2,104,"2,530"
Plymouth,-,17,"1,341","1,443",1,111,"2,896"
Plymouth,-,18,565,944,1,65,"1,575"
Plympton,-,1,756,"1,111",2,131,"2,000"
Sandwich,-,1,"1,335","1,012",0,169,"2,516"
Sandwich,-,2,"1,241",997,0,135,"2,373"
Sandwich,-,3,"1,123","1,013",1,122,"2,259"
Sandwich,-,4,"1,105","1,079",2,151,"2,337"
Sandwich,-,5,"1,010",987,0,144,"2,141"
Sandwich,-,6,953,"1,048",0,143,"2,144"
TOTALS,,,"59,137","56,335",107,"6,412","121,991"
