City/Town,Ward,Pct,"Michael J. Barrett","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bedford,-,1,"1,387",31,382,"1,800"
Bedford,-,2,785,19,266,"1,070"
Bedford,-,2A,236,3,101,340
Bedford,-,3,"1,358",29,410,"1,797"
Bedford,-,4,"1,219",22,398,"1,639"
Carlisle,,,"2,204",8,667,"2,879"
Chelmsford,-,1,833,8,433,"1,274"
Chelmsford,-,2,"1,011",8,411,"1,430"
Chelmsford,-,3A,442,1,192,635
Chelmsford,-,3B,511,3,183,697
Chelmsford,-,4,"1,142",11,559,"1,712"
Chelmsford,-,5A,891,15,473,"1,379"
Chelmsford,-,5B,277,0,129,406
Chelmsford,-,6,"1,025",6,462,"1,493"
Chelmsford,-,7,875,13,448,"1,336"
Chelmsford,-,8,"1,001",3,470,"1,474"
Chelmsford,-,9,"1,101",17,531,"1,649"
Chelmsford,-,10,857,12,383,"1,252"
Chelmsford,-,11,"1,100",10,579,"1,689"
Concord,-,1,"1,282",4,377,"1,663"
Concord,-,2,"1,569",3,387,"1,959"
Concord,-,3,"1,612",9,427,"2,048"
Concord,-,4,"1,663",5,464,"2,132"
Concord,-,5,"1,558",8,364,"1,930"
Lexington,-,3,"1,127",8,233,"1,368"
Lexington,-,8,"1,251",24,315,"1,590"
Lexington,-,9,"1,364",21,337,"1,722"
Lincoln,-,1,"1,726",8,374,"2,108"
Lincoln,-,2,959,13,275,"1,247"
Waltham,1,1,"1,065",21,446,"1,532"
Waltham,1,2,"1,063",23,482,"1,568"
Waltham,1,2A,8,2,5,15
Waltham,2,1,"1,058",24,370,"1,452"
Waltham,2,2,790,14,173,977
Waltham,3,1,"1,039",15,539,"1,593"
Waltham,3,2,"1,113",14,359,"1,486"
Waltham,3,2A,21,0,9,30
Waltham,4,1,"1,117",24,397,"1,538"
Waltham,4,1A,21,1,4,26
Waltham,4,2,192,5,67,264
Waltham,5,1,795,23,307,"1,125"
Waltham,5,2,564,10,127,701
Waltham,5,2A,98,0,26,124
Waltham,6,1,857,21,206,"1,084"
Waltham,6,2,486,6,156,648
Waltham,6,2A,113,1,32,146
Waltham,7,1,"1,035",15,389,"1,439"
Waltham,7,2,341,5,88,434
Waltham,8,1,841,10,192,"1,043"
Waltham,8,2,852,13,235,"1,100"
Waltham,8,2A,11,0,0,11
Waltham,9,1,665,15,122,802
Waltham,9,2,599,19,153,771
Weston,-,1,"1,058",24,370,"1,452"
Weston,-,2,889,14,369,"1,272"
Weston,-,3,805,11,350,"1,166"
Weston,-,4,866,20,400,"1,286"
TOTALS,,,"50,728",672,"17,403","68,803"
