City/Town,Ward,Pct,"Michael F. Rush","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,10,9A,0,0,0,0
Boston,18,9,644,15,163,822
Boston,18,10,"1,028",15,236,"1,279"
Boston,18,11,469,4,85,558
Boston,18,12,586,9,165,760
Boston,18,16,673,16,248,937
Boston,18,17,541,13,137,691
Boston,18,19,916,11,236,"1,163"
Boston,18,20,802,23,252,"1,077"
Boston,18,22,748,15,241,"1,004"
Boston,18,23,349,5,74,428
Boston,19,2,818,11,266,"1,095"
Boston,19,3,460,5,105,570
Boston,19,5,671,4,154,829
Boston,19,8,594,12,173,779
Boston,19,9,454,4,88,546
Boston,19,10,811,11,169,991
Boston,19,11,490,5,95,590
Boston,19,13,455,2,83,540
Boston,20,1,720,12,234,966
Boston,20,2,727,23,184,934
Boston,20,3,577,11,192,780
Boston,20,4,682,12,195,889
Boston,20,5,733,19,235,987
Boston,20,6,882,23,251,"1,156"
Boston,20,7,529,14,127,670
Boston,20,8,620,4,154,778
Boston,20,9,641,11,159,811
Boston,20,10,951,22,260,"1,233"
Boston,20,11,457,14,113,584
Boston,20,12,561,17,178,756
Boston,20,13,502,9,148,659
Boston,20,14,505,12,151,668
Boston,20,15,799,27,252,"1,078"
Boston,20,16,863,30,260,"1,153"
Boston,20,17,981,34,295,"1,310"
Boston,20,18,533,10,135,678
Boston,20,19,539,10,157,706
Boston,20,20,830,23,201,"1,054"
Boston,20,21,69,1,14,84
Dedham,-,1,"1,173",11,475,"1,659"
Dedham,-,2,"1,238",17,478,"1,733"
Dedham,-,3,895,18,277,"1,190"
Dedham,-,4,"1,067",13,414,"1,494"
Dedham,-,5,"1,184",24,522,"1,730"
Dedham,-,6,"1,125",23,457,"1,605"
Dedham,-,7,"1,232",22,582,"1,836"
Norwood,-,1,"1,023",21,367,"1,411"
Norwood,-,2,941,15,328,"1,284"
Norwood,-,3,"1,020",25,386,"1,431"
Norwood,-,4,"1,130",24,482,"1,636"
Norwood,-,5,631,13,198,842
Norwood,-,6,679,11,304,994
Norwood,-,7,932,32,365,"1,329"
Norwood,-,8,"1,076",28,386,"1,490"
Norwood,-,9,"1,026",33,407,"1,466"
Walpole,-,1,"1,024",18,367,"1,409"
Walpole,-,2,"1,033",10,579,"1,622"
Walpole,-,2A,20,0,8,28
Walpole,-,3,"1,226",14,587,"1,827"
Walpole,-,4,842,12,377,"1,231"
Walpole,-,5,796,14,416,"1,226"
Walpole,-,5A,36,1,37,74
Walpole,-,6,"1,061",22,476,"1,559"
Walpole,-,7,"1,002",12,558,"1,572"
Walpole,-,8,"1,001",15,562,"1,578"
Westwood,-,1,"1,162",15,459,"1,636"
Westwood,-,2,"1,085",32,502,"1,619"
Westwood,-,3,"1,039",14,467,"1,520"
Westwood,-,4,865,3,520,"1,388"
Westwood,-,5,"1,141",13,534,"1,688"
TOTALS,,,"54,915","1,043","19,742","75,700"
