City/Town,Ward,Pct,"Sal N. DiDomenico","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,2,1,842,16,251,"1,109"
Boston,2,2,814,11,212,"1,037"
Boston,2,3,949,27,256,"1,232"
Boston,2,4,850,7,219,"1,076"
Boston,2,5,909,11,210,"1,130"
Boston,2,6,741,11,199,951
Boston,2,7,501,5,121,627
Boston,2,8,334,10,120,464
Cambridge,1,1,533,4,91,628
Cambridge,1,2,239,4,59,302
Cambridge,1,2A,21,1,5,27
Cambridge,1,3,935,6,149,"1,090"
Cambridge,2,1,987,6,165,"1,158"
Cambridge,2,2,875,8,204,"1,087"
Cambridge,2,3,792,4,148,944
Cambridge,2,3A,81,0,16,97
Cambridge,3,1,691,6,145,842
Cambridge,3,2,949,6,171,"1,126"
Cambridge,3,3,609,2,116,727
Cambridge,3,3A,364,3,50,417
Cambridge,4,1,"1,178",3,255,"1,436"
Cambridge,4,2,965,3,168,"1,136"
Cambridge,4,2A,154,2,31,187
Cambridge,4,3,"1,073",3,208,"1,284"
Cambridge,5,1,977,1,212,"1,190"
Cambridge,5,2,142,0,22,164
Cambridge,5,3,994,4,173,"1,171"
Cambridge,6,1,950,1,143,"1,094"
Cambridge,6,1A,296,2,50,348
Cambridge,6,2,634,7,117,758
Cambridge,6,3,"1,259",8,243,"1,510"
Cambridge,7,2,725,7,163,895
Cambridge,7,2A,26,0,8,34
Cambridge,7,3,293,2,43,338
Cambridge,8,3,257,4,42,303
Chelsea,1,1,213,0,72,285
Chelsea,1,2,120,0,45,165
Chelsea,1,3,181,0,49,230
Chelsea,1,4,158,0,35,193
Chelsea,2,1,592,0,200,792
Chelsea,2,2,247,0,41,288
Chelsea,2,3,130,0,41,171
Chelsea,2,4,260,0,56,316
Chelsea,3,1,246,0,64,310
Chelsea,3,2,300,0,77,377
Chelsea,3,3,231,0,65,296
Chelsea,3,4,218,0,69,287
Chelsea,4,1,309,0,68,377
Chelsea,4,2,307,0,101,408
Chelsea,4,3,310,0,131,441
Chelsea,4,4,257,0,108,365
Everett,1,1,358,10,115,483
Everett,1,2,224,8,74,306
Everett,1,3,151,3,47,201
Everett,1,3A,101,4,36,141
Everett,2,1,377,11,113,501
Everett,2,2,181,9,45,235
Everett,2,2A,142,4,42,188
Everett,2,3,317,9,83,409
Everett,3,1,495,18,138,651
Everett,3,2,408,10,109,527
Everett,3,3,254,12,68,334
Everett,4,1,462,11,119,592
Everett,4,2,384,24,112,520
Everett,4,3,359,10,119,488
Everett,5,1,358,11,96,465
Everett,5,2,326,5,84,415
Everett,5,3,306,4,115,425
Everett,6,1,400,16,105,521
Everett,6,2,308,16,106,430
Everett,6,3,426,5,98,529
TOTALS,,,"33,355",395,"7,831","41,581"
