City/Town,Ward,Pct,"Jo Comerford","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1A,637,6,78,721
Amherst,-,1B,371,5,28,404
Amherst,-,2A,434,2,45,481
Amherst,-,2B,"1,220",9,128,"1,357"
Amherst,-,3A,393,3,58,454
Amherst,-,3B,"1,097",12,120,"1,229"
Amherst,-,4A,580,6,52,638
Amherst,-,4B,355,5,28,388
Amherst,-,5A,417,3,53,473
Amherst,-,5B,"1,825",10,180,"2,015"
Ashburnham,-,1,941,59,466,"1,466"
Ashburnham,-,2,939,54,388,"1,381"
Athol,-,1,939,45,387,"1,371"
Athol,-,2,783,51,355,"1,189"
Athol,-,3,813,29,286,"1,128"
Bernardston,,,735,8,242,985
Deerfield,,,"2,114",443,31,"2,588"
Erving,,,499,12,151,662
Gill,,,622,6,150,778
Greenfield,-,1,633,14,212,859
Greenfield,-,2,824,9,199,"1,032"
Greenfield,-,3,714,9,156,879
Greenfield,-,4,734,12,145,891
Greenfield,-,5,726,9,115,850
Greenfield,-,6,686,13,112,811
Greenfield,-,7,498,10,121,629
Greenfield,-,8,517,12,90,619
Greenfield,-,9,380,6,101,487
Hadley,,,"2,032",36,500,"2,568"
Hatfield,,,"1,365",8,398,"1,771"
Leverett,,,957,5,121,"1,083"
Leyden,,,316,0,79,395
Montague,-,1,738,9,93,840
Montague,-,2,433,6,104,543
Montague,-,3,474,9,118,601
Montague,-,4,445,9,99,553
Montague,-,5,338,2,52,392
Montague,-,6,411,1,88,500
"New Salem",,,416,8,138,562
Northampton,1,A,826,0,103,929
Northampton,1,B,"1,006",2,100,"1,108"
Northampton,2,A,775,5,48,828
Northampton,2,B,607,0,44,651
Northampton,3,A,781,7,95,883
Northampton,3,B,906,4,99,"1,009"
Northampton,4,A,669,1,64,734
Northampton,4,B,"1,017",3,102,"1,122"
Northampton,5,A,816,4,84,904
Northampton,5,B,"1,013",2,97,"1,112"
Northampton,6,A,"1,031",5,196,"1,232"
Northampton,6,B,"1,043",4,174,"1,221"
Northampton,7,A,938,1,143,"1,082"
Northampton,7,B,945,5,155,"1,105"
Northfield,,,"1,113",11,339,"1,463"
Orange,-,1,899,41,408,"1,348"
Orange,-,2,949,39,367,"1,355"
Pelham,,,648,1,89,738
Petersham,,,502,8,234,744
Royalston,,,449,7,177,633
Shutesbury,,,945,3,115,"1,063"
Sunderland,,,"1,152",3,229,"1,384"
Warwick,,,314,0,89,403
Wendell,,,409,2,73,484
Winchendon,-,1,638,45,316,999
Winchendon,-,2,749,61,420,"1,230"
Winchendon,-,3,741,61,412,"1,214"
TOTALS,,,"51,232","1,280","11,039","63,551"
