City/Town,Ward,Pct,"Nicholas P. Collins","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,15,0,0,0,0
Boston,3,7,738,4,164,906
Boston,3,8,494,5,157,656
Boston,3,13A,0,0,0,0
Boston,3,14,467,13,303,783
Boston,3,15,540,4,93,637
Boston,3,16,931,13,181,"1,125"
Boston,4,1,679,12,170,861
Boston,4,2,528,16,169,713
Boston,4,3,805,7,197,"1,009"
Boston,4,4,876,11,192,"1,079"
Boston,4,5,670,12,164,846
Boston,5,1,269,11,201,481
Boston,5,13,597,4,246,847
Boston,5,14,623,11,148,782
Boston,6,1,835,19,172,"1,026"
Boston,6,2,464,9,109,582
Boston,6,3,633,15,144,792
Boston,6,4,462,11,108,581
Boston,6,5,667,11,148,826
Boston,6,6,671,21,187,879
Boston,6,7,635,18,169,822
Boston,6,8,752,21,194,967
Boston,6,9,719,21,228,968
Boston,6,10,546,20,111,677
Boston,6,11,646,15,147,808
Boston,6,12,920,25,278,"1,223"
Boston,6,12A,0,0,0,0
Boston,7,1,545,14,145,704
Boston,7,2,701,21,185,907
Boston,7,3,746,24,181,951
Boston,7,4,558,18,149,725
Boston,7,5,545,14,115,674
Boston,7,6,454,18,104,576
Boston,7,7,228,3,52,283
Boston,7,8,509,17,103,629
Boston,7,9,344,12,95,451
Boston,7,10,322,11,57,390
Boston,8,1,624,14,181,819
Boston,8,2,587,4,125,716
Boston,8,6,109,3,34,146
Boston,8,6A,0,0,0,0
Boston,9,1,660,11,168,839
Boston,9,2,672,10,106,788
Boston,13,3,356,8,62,426
Boston,13,5,305,4,56,365
Boston,13,6,432,8,74,514
Boston,13,7,476,16,117,609
Boston,13,8,400,11,107,518
Boston,13,9,481,14,112,607
Boston,13,10,736,17,237,990
Boston,15,1,384,7,64,455
Boston,15,2,236,1,48,285
Boston,15,3,149,5,25,179
Boston,15,4,404,14,84,502
Boston,15,5,289,5,68,362
Boston,15,6,254,11,97,362
Boston,15,7,272,2,61,335
Boston,15,8,246,10,68,324
Boston,15,9,232,7,97,336
Boston,16,1,290,10,75,375
Boston,16,2,342,10,91,443
Boston,16,3,400,12,130,542
Boston,16,4,401,8,107,516
Boston,16,5,494,11,117,622
Boston,16,6,596,9,167,772
Boston,16,7,525,14,152,691
Boston,16,8,828,22,242,"1,092"
Boston,16,9,632,20,243,895
Boston,16,10,502,23,156,681
Boston,16,11,382,10,103,495
Boston,16,12,610,15,212,837
Boston,17,1,321,5,54,380
Boston,17,2,246,3,41,290
Boston,17,3,570,10,120,700
Boston,17,4,738,12,153,903
Boston,17,5,219,7,35,261
Boston,17,6,446,10,86,542
Boston,17,7,234,7,40,281
Boston,17,8,367,8,58,433
Boston,17,9,394,5,91,490
Boston,17,10,455,6,78,539
Boston,17,11,204,1,38,243
Boston,17,12,352,3,69,424
Boston,17,13,530,11,134,675
Boston,17,14,568,14,133,715
TOTALS,,,"41,069",929,"10,482","52,480"
