City/Town,Ward,Pct,"Cynthia Stone Creem","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brookline,-,1,926,9,195,"1,130"
Brookline,-,2,585,8,109,702
Brookline,-,3,"1,068",12,194,"1,274"
Brookline,-,4,796,13,183,992
Brookline,-,5,531,6,113,650
Brookline,-,5A,571,7,110,688
Brookline,-,6,"1,193",8,241,"1,442"
Brookline,-,7,991,12,199,"1,202"
Brookline,-,8,"1,082",8,183,"1,273"
Brookline,-,9,"1,129",4,211,"1,344"
Brookline,-,10,"1,121",5,199,"1,325"
Brookline,-,11,"1,160",6,221,"1,387"
Brookline,-,12,"1,224",14,250,"1,488"
Brookline,-,13,973,15,206,"1,194"
Brookline,-,13A,176,1,36,213
Brookline,-,14,930,15,278,"1,223"
Brookline,-,14A,239,2,85,326
Brookline,-,15,"1,135",6,390,"1,531"
Brookline,-,16,"1,062",7,300,"1,369"
Brookline,-,17,963,9,178,"1,150"
Newton,1,1,713,16,238,967
Newton,1,2,912,18,214,"1,144"
Newton,1,2A,48,1,7,56
Newton,1,3,942,10,204,"1,156"
Newton,1,4,809,13,289,"1,111"
Newton,2,1,837,18,239,"1,094"
Newton,2,2,663,9,193,865
Newton,2,3,"1,061",8,285,"1,354"
Newton,2,4,"1,162",17,298,"1,477"
Newton,3,1,956,15,295,"1,266"
Newton,3,1A,0,0,0,0
Newton,3,2,"1,035",17,268,"1,320"
Newton,3,3,920,16,333,"1,269"
Newton,3,4,928,28,304,"1,260"
Newton,4,1,882,10,243,"1,135"
Newton,4,2,843,20,233,"1,096"
Newton,4,3,633,8,166,807
Newton,4,4,759,24,285,"1,068"
Newton,5,1,873,23,222,"1,118"
Newton,5,2,"1,003",10,216,"1,229"
Newton,5,3,"1,128",10,297,"1,435"
Newton,5,4,"1,122",10,284,"1,416"
Newton,6,1,913,14,228,"1,155"
Newton,6,2,916,14,245,"1,175"
Newton,6,3,"1,105",11,243,"1,359"
Newton,6,4,"1,160",9,308,"1,477"
Newton,7,1,747,8,251,"1,006"
Newton,7,2,"1,109",16,268,"1,393"
Newton,7,3,300,8,79,387
Newton,7,4,495,4,150,649
Newton,8,1,875,20,326,"1,221"
Newton,8,2,823,19,272,"1,114"
Newton,8,3,922,17,280,"1,219"
Newton,8,4,814,20,267,"1,101"
Wellesley,-,A,"1,195",21,435,"1,651"
Wellesley,-,B,"1,338",7,436,"1,781"
Wellesley,-,C,"1,170",21,634,"1,825"
Wellesley,-,D,"1,251",6,426,"1,683"
Wellesley,-,E,"1,169",11,392,"1,572"
Wellesley,-,F,777,2,282,"1,061"
Wellesley,-,G,631,5,203,839
Wellesley,-,H,"1,228",12,494,"1,734"
TOTALS,,,"55,022",713,"15,213","70,948"
