City/Town,Ward,Pct,"Mark C. Montigny","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,877,10,361,"1,248"
Acushnet,-,2,820,17,432,"1,269"
Acushnet,-,2A,98,0,39,137
Acushnet,-,3,"1,013",13,478,"1,504"
Dartmouth,-,1,975,44,539,"1,558"
Dartmouth,-,2,777,12,295,"1,084"
Dartmouth,-,3,131,8,45,184
Dartmouth,-,4,964,22,406,"1,392"
Dartmouth,-,5,"1,089",22,429,"1,540"
Dartmouth,-,6,916,24,312,"1,252"
Dartmouth,-,7,"1,146",23,450,"1,619"
Dartmouth,-,8,"1,532",31,512,"2,075"
Dartmouth,-,9,"1,489",35,578,"2,102"
Fairhaven,-,1,873,19,311,"1,203"
Fairhaven,-,2,853,14,279,"1,146"
Fairhaven,-,3,616,29,215,860
Fairhaven,-,4,813,27,330,"1,170"
Fairhaven,-,5,852,36,393,"1,281"
Fairhaven,-,6,791,24,357,"1,172"
Mattapoisett,-,1,"1,283",34,578,"1,895"
Mattapoisett,-,2,"1,276",39,575,"1,890"
"New Bedford",1,A,551,16,176,743
"New Bedford",1,A1,74,2,20,96
"New Bedford",1,B,601,31,242,874
"New Bedford",1,B1,63,1,25,89
"New Bedford",1,C,452,26,163,641
"New Bedford",1,C1,87,0,24,111
"New Bedford",1,D,720,32,306,"1,058"
"New Bedford",1,E,672,11,185,868
"New Bedford",1,F,681,34,234,949
"New Bedford",2,A,92,8,16,116
"New Bedford",2,B,168,14,45,227
"New Bedford",2,C,221,10,58,289
"New Bedford",2,D,456,15,149,620
"New Bedford",2,E,557,24,200,781
"New Bedford",2,F,376,22,88,486
"New Bedford",3,A,238,11,46,295
"New Bedford",3,B,223,1,43,267
"New Bedford",3,C,179,3,62,244
"New Bedford",3,D,341,5,102,448
"New Bedford",3,E,508,25,159,692
"New Bedford",3,F,463,12,162,637
"New Bedford",3,F1,212,3,43,258
"New Bedford",4,A,123,3,25,151
"New Bedford",4,A1,149,2,21,172
"New Bedford",4,B,451,9,89,549
"New Bedford",4,C,476,5,78,559
"New Bedford",4,D,411,16,88,515
"New Bedford",4,E,366,11,93,470
"New Bedford",4,F,454,14,85,553
"New Bedford",5,A,327,8,71,406
"New Bedford",5,B,604,19,164,787
"New Bedford",5,C,489,15,164,668
"New Bedford",5,D,726,20,163,909
"New Bedford",5,E,760,19,279,"1,058"
"New Bedford",5,F,718,25,202,945
"New Bedford",6,A,591,16,197,804
"New Bedford",6,B,448,10,130,588
"New Bedford",6,C,216,8,48,272
"New Bedford",6,D,186,6,32,224
"New Bedford",6,E,217,8,49,274
"New Bedford",6,F,362,15,84,461
TOTALS,,,"35,193","1,018","12,524","48,735"
