City/Town,Ward,Pct,"Karen E. Spilka","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashland,-,1,852,0,262,"1,114"
Ashland,-,2,"1,270",0,280,"1,550"
Ashland,-,3,854,0,197,"1,051"
Ashland,-,4,880,0,254,"1,134"
Ashland,-,5,"1,004",0,259,"1,263"
Ashland,-,6,"1,085",0,250,"1,335"
Framingham,-,1,235,6,55,296
Framingham,-,2,162,5,22,189
Framingham,-,3,248,4,39,291
Framingham,-,4,319,17,65,401
Framingham,-,5,454,32,108,594
Framingham,-,6,757,17,172,946
Framingham,-,7,910,22,168,"1,100"
Framingham,-,8,494,14,100,608
Framingham,-,9A,611,15,127,753
Framingham,-,9B,34,0,9,43
Framingham,-,10,439,11,100,550
Framingham,-,11,559,10,117,686
Framingham,-,12,483,9,92,584
Framingham,-,13,291,9,45,345
Framingham,-,14,386,16,79,481
Framingham,-,15,419,8,88,515
Framingham,-,16,735,24,177,936
Framingham,-,17,820,28,196,"1,044"
Framingham,-,18,962,21,239,"1,222"
Framingham,-,19,928,21,260,"1,209"
Framingham,-,20,979,27,227,"1,233"
Framingham,-,21A,701,18,190,909
Framingham,-,21B,432,9,106,547
Framingham,-,21C,24,1,9,34
Framingham,-,22,"1,008",18,269,"1,295"
Framingham,-,23,857,25,234,"1,116"
Framingham,-,24,905,22,246,"1,173"
Framingham,-,25,940,20,223,"1,183"
Framingham,-,26,824,20,187,"1,031"
Framingham,-,27,812,14,199,"1,025"
Holliston,-,1,"1,496",41,415,"1,952"
Holliston,-,2,"1,385",29,362,"1,776"
Holliston,-,3,"1,244",25,324,"1,593"
Holliston,-,4,"1,480",51,358,"1,889"
Hopkinton,-,1,"1,015",12,226,"1,253"
Hopkinton,-,2,"1,240",16,354,"1,610"
Hopkinton,-,3,"1,172",17,391,"1,580"
Hopkinton,-,4,"1,346",15,373,"1,734"
Hopkinton,-,5,"1,332",22,382,"1,736"
Medway,-,1,"1,011",46,395,"1,452"
Medway,-,2,"1,137",54,364,"1,555"
Medway,-,3,"1,166",46,443,"1,655"
Medway,-,4,"1,090",38,419,"1,547"
Natick,-,1,737,5,167,909
Natick,-,2,"1,250",5,349,"1,604"
Natick,-,3,"1,209",12,370,"1,591"
Natick,-,4,"1,178",6,326,"1,510"
Natick,-,5,"1,232",4,429,"1,665"
Natick,-,6,"1,183",4,380,"1,567"
Natick,-,7,"1,531",11,372,"1,914"
Natick,-,8,"1,370",8,377,"1,755"
Natick,-,9,"1,401",3,365,"1,769"
Natick,-,10,"1,606",19,484,"2,109"
TOTALS,,,"52,484",952,"14,075","67,511"
