City/Town,Ward,Pct,"Jay D. Dipucchio","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,923,4,289,"1,216"
Bernardston,-,1,985,8,418,"1,411"
Buckland,-,1,840,2,301,"1,143"
Charlemont,-,1,565,0,179,744
Colrain,-,1,780,0,270,"1,050"
Conway,-,1,938,7,365,"1,310"
Deerfield,-,1,"2,425",7,876,"3,308"
Erving,-,1,743,5,230,978
Gill,-,1,756,4,256,"1,016"
Greenfield,-,1,794,13,319,"1,126"
Greenfield,-,2,981,8,346,"1,335"
Greenfield,-,3,853,5,338,"1,196"
Greenfield,-,4,840,10,302,"1,152"
Greenfield,-,5,841,3,343,"1,187"
Greenfield,-,6,777,4,271,"1,052"
Greenfield,-,7,655,5,257,917
Greenfield,-,8,642,17,262,921
Greenfield,-,9,475,6,211,692
Hawley,-,1,142,0,54,196
Heath,-,1,354,1,117,472
Leverett,-,1,"1,025",1,284,"1,310"
Leyden,-,1,367,1,128,496
Monroe,-,1,53,0,13,66
Montague,-,1,784,4,247,"1,035"
Montague,-,2,603,13,223,839
Montague,-,3,654,5,195,854
Montague,-,4,623,4,169,796
Montague,-,5,468,4,139,611
Montague,-,6,532,5,170,707
"New Salem",-,1,513,2,199,714
Northfield,-,1,"1,340",5,609,"1,954"
Orange,-,1,"1,394",23,542,"1,959"
Orange,-,2,"1,448",25,512,"1,985"
Rowe,-,1,182,0,83,265
Shelburne,-,1,906,7,323,"1,236"
Shutesbury,-,1,970,1,293,"1,264"
Sunderland,-,1,"1,424",3,468,"1,895"
Warwick,-,1,377,0,134,511
Wendell,-,1,447,2,156,605
Whately,-,1,831,3,260,"1,094"
TOTALS,,,"31,250",217,"11,151","42,618"
