City/Town,Ward,Pct,"Thomas C. Hoye, Jr","Melanie Patenaude Layden","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Taunton,6,B,"1,016",522,5,189,"1,732"
Taunton,7,A,"1,097",587,2,201,"1,887"
Taunton,7,B,"1,215",714,5,235,"2,169"
Taunton,8,A,"1,203",609,3,197,"2,012"
Taunton,8,B,"1,215",692,1,238,"2,146"
Westport,-,A,920,802,6,302,"2,030"
Westport,-,B,"1,104",896,0,393,"2,393"
Westport,-,C,827,781,13,296,"1,917"
Westport,-,D,891,662,0,274,"1,827"
Westport,-,E,"1,101",902,5,451,"2,459"
TOTALS,,,"139,001","102,030",638,"39,695","281,364"
