City/Town,Ward,Pct,"Stephanie K. Fattman","John B. Dolan, III","All Others",Blanks,"Total Votes Cast"
Leicester,-,4,848,593,3,138,"1,582"
Leominster,1,A,906,639,1,207,"1,753"
Leominster,1,B,809,675,1,174,"1,659"
Leominster,1,C,606,580,1,156,"1,343"
Leominster,2,A,448,513,1,137,"1,099"
Leominster,2,B,680,498,0,178,"1,356"
Leominster,2,C,374,345,1,115,835
Leominster,3,A,506,457,2,165,"1,130"
Leominster,3,B,890,698,1,196,"1,785"
Leominster,3,C,976,686,1,262,"1,925"
Leominster,4,A,959,585,0,211,"1,755"
Leominster,4,B,929,602,2,183,"1,716"
Leominster,4,C,582,535,0,167,"1,284"
Leominster,5,A,600,556,0,176,"1,332"
Leominster,5,B,714,682,0,179,"1,575"
Leominster,5,C,479,497,1,150,"1,127"
Lunenburg,-,A,940,681,0,202,"1,823"
Lunenburg,-,B,822,669,2,189,"1,682"
Lunenburg,-,C,"1,054",702,5,229,"1,990"
Lunenburg,-,D,888,667,0,174,"1,729"
Mendon,-,1,"2,194","1,442",4,354,"3,994"
Milford,-,1,492,502,2,153,"1,149"
Milford,-,2,761,752,2,205,"1,720"
Milford,-,3,875,717,2,240,"1,834"
Milford,-,4,584,562,2,175,"1,323"
Milford,-,5,"1,285",951,0,276,"2,512"
Milford,-,6,826,819,1,210,"1,856"
Milford,-,7,"1,124",862,0,251,"2,237"
Milford,-,8,887,913,0,245,"2,045"
Millbury,-,1,"1,171",662,1,181,"2,015"
Millbury,-,2,"1,382",675,0,202,"2,259"
Millbury,-,3,"1,150",650,1,184,"1,985"
Millbury,-,4,"1,102",670,0,182,"1,954"
Millville,-,1,"1,143",630,0,83,"1,856"
"New Braintree",-,1,402,233,0,41,676
"N. Brookfield",-,1,"1,573",879,1,278,"2,731"
Northborough,-,1,"1,162","1,080",1,206,"2,449"
Northborough,-,2,"1,054","1,036",5,269,"2,364"
Northborough,-,3,"1,134","1,055",1,238,"2,428"
Northborough,-,4,"1,214","1,079",3,209,"2,505"
Northbridge,-,1,"1,283",769,0,243,"2,295"
Northbridge,-,2,"1,343",768,0,233,"2,344"
Northbridge,-,3,"1,131",666,1,180,"1,978"
Northbridge,-,4,"1,581",839,0,267,"2,687"
Oakham,-,1,710,400,0,152,"1,262"
Oxford,-,1,"1,105",688,0,178,"1,971"
Oxford,-,2,"1,050",628,2,176,"1,856"
Oxford,-,3,"1,139",686,1,178,"2,004"
Oxford,-,4,"1,022",599,1,154,"1,776"
Paxton,-,1,"1,390","1,376",1,208,"2,975"
Petersham,-,1,421,405,0,54,880
Phillipston,-,1,701,360,0,42,"1,103"
Princeton,-,1,"1,261","1,085",2,243,"2,591"
Royalston,-,1,245,194,0,32,471
Royalston,-,2,189,112,0,15,316
Rutland,-,1,"1,128",660,2,190,"1,980"
Rutland,-,2,"1,151",654,2,200,"2,007"
Rutland,-,3,960,592,0,163,"1,715"
Shrewsbury,-,1,"1,332",897,1,259,"2,489"
Shrewsbury,-,2,"1,073",869,0,208,"2,150"
Shrewsbury,-,3,845,693,1,182,"1,721"
Shrewsbury,-,4,"1,128",852,0,181,"2,161"
Shrewsbury,-,5,837,793,1,181,"1,812"
Shrewsbury,-,6,"1,042",930,1,220,"2,193"
Shrewsbury,-,7,"1,357","1,034",1,239,"2,631"
Shrewsbury,-,8,"1,251",962,2,274,"2,489"
Shrewsbury,-,9,670,713,0,154,"1,537"
Shrewsbury,-,10,"1,043",871,1,222,"2,137"
Southborough,-,1,"1,009",990,1,294,"2,294"
Southborough,-,2,944,939,0,272,"2,155"
Southborough,-,3,"1,030",951,0,287,"2,268"
Southbridge,-,1,592,666,4,190,"1,452"
Southbridge,-,2,551,572,2,155,"1,280"
Southbridge,-,3,703,578,4,198,"1,483"
Southbridge,-,4,939,707,0,245,"1,891"
Southbridge,-,5,478,574,7,144,"1,203"
Spencer,-,1,833,534,0,181,"1,548"
Spencer,-,2,836,521,0,180,"1,537"
Spencer,-,3,948,503,0,194,"1,645"
Spencer,-,4,896,641,0,200,"1,737"
Sterling,-,1,"1,433",929,0,283,"2,645"
Sterling,-,2,"1,579",971,3,292,"2,845"
Sturbridge,-,1,"1,049",780,3,199,"2,031"
Sturbridge,-,2,"1,196",765,2,190,"2,153"
Sturbridge,-,3,995,702,6,206,"1,909"
Sutton,-,1,"1,458",697,1,134,"2,290"
Sutton,-,2,"1,261",578,1,153,"1,993"
Sutton,-,3,"1,261",653,0,155,"2,069"
Templeton,-,A,989,527,1,189,"1,706"
Templeton,-,B,810,464,3,183,"1,460"
Templeton,-,C,699,455,2,191,"1,347"
Upton,-,1,"1,419","1,056",0,276,"2,751"
Upton,-,2,"1,441",899,0,237,"2,577"
Uxbridge,-,1,"1,240",717,1,214,"2,172"
Uxbridge,-,2,"1,055",801,1,276,"2,133"
Uxbridge,-,3,"1,258",690,4,230,"2,182"
Uxbridge,-,4,"1,247",799,3,236,"2,285"
Warren,-,A,"1,054",664,0,224,"1,942"
Warren,-,B,370,247,0,69,686
Webster,-,1,775,589,3,151,"1,518"
Webster,-,2,502,490,3,119,"1,114"
Webster,-,3,883,507,1,122,"1,513"
Webster,-,4,"1,465",675,2,213,"2,355"
Webster,-,5,"1,012",648,1,185,"1,846"
"W. Boylston",-,1,"1,030",762,14,216,"2,022"
"W. Boylston",-,2,"1,499","1,045",8,272,"2,824"
"W. Brookfield",-,1,"1,232",837,1,263,"2,333"
Westborough,-,1,591,805,1,177,"1,574"
Westborough,-,2,670,843,1,174,"1,688"
Westborough,-,3,856,"1,049",2,188,"2,095"
Westborough,-,4,"1,244","1,271",1,239,"2,755"
Westborough,-,5,"1,176","1,164",1,245,"2,586"
Westminster,-,1,"1,523",881,0,297,"2,701"
Westminster,-,2,"1,502",871,2,257,"2,632"
Winchendon,-,1,759,345,0,145,"1,249"
Winchendon,-,1A,187,150,0,34,371
Winchendon,-,2,984,581,1,227,"1,793"
Winchendon,-,3,"1,013",541,1,220,"1,775"
Worcester,1,1,943,"1,236",3,164,"2,346"
Worcester,1,2,965,"1,295",1,170,"2,431"
Worcester,1,3,526,677,2,92,"1,297"
Worcester,1,4,760,"1,421",2,158,"2,341"
Worcester,1,5,883,"1,071",3,127,"2,084"
Worcester,2,1,844,"1,161",2,143,"2,150"
Worcester,2,2,774,"1,174",2,132,"2,082"
Worcester,2,3,779,"1,020",2,136,"1,937"
Worcester,2,4,406,"1,039",4,150,"1,599"
Worcester,2,5,238,497,2,77,814
Worcester,3,1,527,910,3,92,"1,532"
Worcester,3,2,129,312,2,32,475
Worcester,3,3,423,806,2,123,"1,354"
Worcester,3,4,276,668,2,82,"1,028"
Worcester,3,5,508,906,2,128,"1,544"
Worcester,4,1,254,616,5,103,978
Worcester,4,2,489,725,1,101,"1,316"
Worcester,4,3,285,824,2,105,"1,216"
Worcester,4,4,530,758,1,105,"1,394"
Worcester,4,5,594,956,5,130,"1,685"
Worcester,5,1,310,784,5,119,"1,218"
Worcester,5,2,622,974,2,136,"1,734"
Worcester,5,3,966,"1,020",3,127,"2,116"
Worcester,5,4,696,998,2,111,"1,807"
Worcester,5,5,771,875,5,129,"1,780"
Worcester,6,1,190,575,5,71,841
Worcester,6,2,341,736,2,101,"1,180"
Worcester,6,3,342,754,1,101,"1,198"
Worcester,6,4,201,333,0,44,578
Worcester,6,5,553,865,2,155,"1,575"
Worcester,7,1,508,"1,017",3,166,"1,694"
Worcester,7,2,396,695,3,100,"1,194"
Worcester,7,3,584,961,3,155,"1,703"
Worcester,7,4,631,860,3,106,"1,600"
Worcester,7,5,751,891,5,98,"1,745"
Worcester,8,1,251,519,1,83,854
Worcester,8,2,238,496,1,74,809
Worcester,8,3,113,437,1,56,607
Worcester,8,4,296,630,0,123,"1,049"
Worcester,8,5,335,611,1,80,"1,027"
Worcester,9,1,553,"1,099",1,118,"1,771"
Worcester,9,2,673,"1,257",5,145,"2,080"
Worcester,9,3,575,857,2,88,"1,522"
Worcester,9,4,757,"1,185",0,151,"2,093"
Worcester,9,5,838,"1,174",3,127,"2,142"
Worcester,10,1,252,570,4,118,944
Worcester,10,2,235,674,2,81,992
Worcester,10,3,197,558,1,121,877
Worcester,10,4,186,477,5,95,763
Worcester,10,5,247,571,3,79,900
TOTALS,,,"212,264","178,805",723,"43,129","434,921"
