City/Town,Ward,Pct,"Matthew J. Mcdonough","All Others",Blanks,"Total Votes Cast"
Pembroke,-,3,"1,629",45,694,"2,368"
Pembroke,-,4,"1,652",45,702,"2,399"
Pembroke,-,5,"1,550",24,701,"2,275"
Plymouth,-,1,"1,405",29,461,"1,895"
Plymouth,-,2,"1,839",34,678,"2,551"
Plymouth,-,3,"1,464",34,533,"2,031"
Plymouth,-,4,"1,502",37,632,"2,171"
Plymouth,-,5,"1,643",39,780,"2,462"
Plymouth,-,6,"1,671",31,676,"2,378"
Plymouth,-,7,"1,674",47,662,"2,383"
Plymouth,-,8,"1,723",52,803,"2,578"
Plymouth,-,9,"1,468",50,581,"2,099"
Plymouth,-,10,"1,140",27,454,"1,621"
Plymouth,-,11,"1,671",45,764,"2,480"
Plymouth,-,12,"1,959",46,839,"2,844"
Plymouth,-,13,"1,827",29,736,"2,592"
Plymouth,-,14,"1,655",56,805,"2,516"
Plymouth,-,15,"3,285",47,"1,611","4,943"
Plympton,-,1,"1,273",4,657,"1,934"
Rochester,-,1,"2,362",13,"1,483","3,858"
Rockland,-,1,"1,333",27,496,"1,856"
Rockland,-,2,"1,329",26,510,"1,865"
Rockland,-,3,967,36,349,"1,352"
Rockland,-,4,"1,113",29,389,"1,531"
Rockland,-,5,"1,158",32,455,"1,645"
Rockland,-,6,"1,267",27,499,"1,793"
Scituate,-,1,"1,701",10,655,"2,366"
Scituate,-,2,"1,599",12,644,"2,255"
Scituate,-,3,"1,665",15,611,"2,291"
Scituate,-,4,"1,617",8,681,"2,306"
Scituate,-,5,"1,620",8,566,"2,194"
Scituate,-,6,"1,618",17,618,"2,253"
Wareham,-,1,"1,301",20,597,"1,918"
Wareham,-,2,"1,561",24,680,"2,265"
Wareham,-,3,"1,542",27,707,"2,276"
Wareham,-,4,"1,468",31,632,"2,131"
Wareham,-,5,"1,482",32,663,"2,177"
Wareham,-,6,"1,411",37,572,"2,020"
"W. Bridgewater",-,1,"1,538",13,858,"2,409"
"W. Bridgewater",-,2,"1,422",7,827,"2,256"
Whitman,-,1,"1,741",14,684,"2,439"
Whitman,-,2,"1,452",40,639,"2,131"
Whitman,-,3,"1,452",41,583,"2,076"
Whitman,-,4,"1,435",10,588,"2,033"
TOTALS,,,"210,169","2,767","90,934","303,870"
