City/Town,Ward,Pct,"Daphne Devries","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,284,1,70,355
Chilmark,-,1,759,0,165,924
Edgartown,-,1,"2,330",6,790,"3,126"
Gosnold,-,1,54,0,28,82
"Oak Bluffs",-,1,"2,396",5,824,"3,225"
Tisbury,-,1,"2,217",4,637,"2,858"
"W. Tisbury",-,1,"1,820",5,478,"2,303"
TOTALS,,,"9,860",21,"2,992","12,873"
