City/Town,Ward,Pct,"Colleen Marie Brierley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Wellesley,-,C,"1,485",21,824,"2,330"
Wellesley,-,D,"1,752",13,703,"2,468"
Wellesley,-,E,"1,521",8,609,"2,138"
Wellesley,-,F,"1,006",9,394,"1,409"
Wellesley,-,G,832,2,298,"1,132"
Wellesley,-,H,"1,538",9,713,"2,260"
Westwood,-,1,"1,701",9,934,"2,644"
Westwood,-,2,"1,770",15,961,"2,746"
Westwood,-,3,"1,706",6,892,"2,604"
Westwood,-,4,"1,681",13,951,"2,645"
Weymouth,-,1,"1,278",20,457,"1,755"
Weymouth,-,2,"1,365",32,575,"1,972"
Weymouth,-,3,"1,354",25,573,"1,952"
Weymouth,-,4,"1,200",14,542,"1,756"
Weymouth,-,5,"1,099",13,344,"1,456"
Weymouth,-,6,"1,385",22,516,"1,923"
Weymouth,-,7,"1,317",18,401,"1,736"
Weymouth,-,8,"1,268",26,465,"1,759"
Weymouth,-,9,"1,385",23,559,"1,967"
Weymouth,-,10,"1,031",18,346,"1,395"
Weymouth,-,11,"1,300",21,481,"1,802"
Weymouth,-,12,"1,311",47,542,"1,900"
Weymouth,-,13,"1,118",13,350,"1,481"
Weymouth,-,14,"1,216",19,394,"1,629"
Weymouth,-,15,"1,476",26,535,"2,037"
Weymouth,-,16,"1,396",31,588,"2,015"
Weymouth,-,17,"1,122",25,391,"1,538"
Weymouth,-,18,"2,148",27,797,"2,972"
Wrentham,-,1,"1,782",54,813,"2,649"
Wrentham,-,2,"1,714",56,819,"2,589"
Wrentham,-,3,"1,836",45,738,"2,619"
TOTALS,,,"289,166","3,121","118,755","411,042"
