City/Town,Ward,Pct,"Pamela Casey O'Brien","All Others",Blanks,"Total Votes Cast"
Methuen,-,12,"1,427",42,"1,108","2,577"
Middleton,-,1,"1,662",8,"1,221","2,891"
Middleton,-,2,"1,701",46,"1,267","3,014"
Nahant,-,1,"1,615",38,880,"2,533"
Newbury,-,1,"1,529",25,966,"2,520"
Newbury,-,2,"1,510",29,982,"2,521"
Newburyport,1,1,"1,035",0,600,"1,635"
Newburyport,2,1,"1,438",0,688,"2,126"
Newburyport,3,1,"1,397",0,789,"2,186"
Newburyport,4,1,"1,526",0,855,"2,381"
Newburyport,5,1,"1,174",0,778,"1,952"
Newburyport,6,1,"1,269",0,825,"2,094"
Newburyport,1,P,315,0,208,523
"N. Andover",-,1,"1,316",42,711,"2,069"
"N. Andover",-,2,"1,460",40,798,"2,298"
"N. Andover",-,3,"1,356",28,767,"2,151"
"N. Andover",-,4,"1,613",32,"1,020","2,665"
"N. Andover",-,5,"1,011",22,530,"1,563"
"N. Andover",-,6,"1,451",45,985,"2,481"
"N. Andover",-,7,"1,530",40,847,"2,417"
"N. Andover",-,8,"1,499",48,931,"2,478"
Peabody,1,1,"1,080",22,632,"1,734"
Peabody,1,2,"1,106",18,752,"1,876"
Peabody,1,3,"1,316",39,751,"2,106"
Peabody,2,1,863,15,417,"1,295"
Peabody,2,2,835,20,378,"1,233"
Peabody,2,3,962,18,540,"1,520"
Peabody,3,1,696,19,346,"1,061"
Peabody,3,2,850,26,479,"1,355"
Peabody,3,3,989,27,541,"1,557"
Peabody,4,1,"1,076",29,556,"1,661"
Peabody,4,2,"1,004",38,555,"1,597"
Peabody,4,3,523,9,395,927
Peabody,4,3A,815,8,612,"1,435"
Peabody,5,1,"1,094",26,780,"1,900"
Peabody,5,2,865,26,624,"1,515"
Peabody,5,3,"1,064",31,663,"1,758"
Peabody,6,1,"1,036",48,850,"1,934"
Peabody,6,2,"1,114",32,770,"1,916"
Peabody,6,3,"1,017",28,836,"1,881"
Rockport,-,1,800,11,493,"1,304"
Rockport,-,2,"1,210",17,615,"1,842"
Rockport,-,3,"1,342",12,809,"2,163"
Rowley,-,1,"2,492",60,"1,685","4,237"
Salem,1,1,"1,393",2,607,"2,002"
Salem,1,2,656,1,237,894
Salem,2,1,"1,481",9,510,"2,000"
Salem,2,2,"1,543",12,585,"2,140"
Salem,3,1,"1,109",2,459,"1,570"
Salem,3,2,"1,132",12,464,"1,608"
Salem,4,1,"1,230",16,541,"1,787"
Salem,4,2,"1,280",12,578,"1,870"
Salem,5,1,"1,305",18,542,"1,865"
Salem,5,2,"1,171",20,410,"1,601"
Salem,6,1,"1,302",4,588,"1,894"
Salem,6,2,"1,335",11,440,"1,786"
Salem,7,1,965,5,402,"1,372"
Salem,7,2,"1,187",5,558,"1,750"
Salisbury,-,1,"1,190",7,819,"2,016"
Salisbury,-,2,"1,112",7,778,"1,897"
Salisbury,-,3,951,3,729,"1,683"
Saugus,-,1,950,7,555,"1,512"
Saugus,-,2,975,6,497,"1,478"
Saugus,-,3,977,6,530,"1,513"
Saugus,-,4,817,2,551,"1,370"
Saugus,-,5,"1,137",8,712,"1,857"
Saugus,-,6,"1,039",7,518,"1,564"
Saugus,-,7,"1,059",1,748,"1,808"
Saugus,-,8,950,4,578,"1,532"
Saugus,-,9,"1,096",5,722,"1,823"
Saugus,-,10,915,8,522,"1,445"
Swampscott,-,1,962,9,574,"1,545"
Swampscott,-,2,"1,136",6,595,"1,737"
Swampscott,-,3,978,8,411,"1,397"
Swampscott,-,4,"1,125",12,579,"1,716"
Swampscott,-,5,990,9,554,"1,553"
Swampscott,-,6,"1,088",8,626,"1,722"
Topsfield,-,1,"2,299",3,"2,185","4,487"
Wenham,-,1,"1,700",12,935,"2,647"
"W. Newbury",-,1,"1,993",6,"1,299","3,298"
TOTALS,,,"267,358","4,616","152,625","424,599"
