election_id,office,district,status,filepath
154338,Governor,Statewide,ok,Governor/Statewide_154338.csv
154333,Attorney General,Statewide,ok,Attorney_General/Statewide_154333.csv
154341,Secretary of the Commonwealth,Statewide,ok,Secretary_of_the_Commonwealth/Statewide_154341.csv
154344,Treasurer,Statewide,ok,Treasurer/Statewide_154344.csv
154334,Auditor,Statewide,ok,Auditor/Statewide_154334.csv
154363,U.S. House,1st Congressional,ok,U.S._House/1st_Congressional_154363.csv
154381,U.S. House,2nd Congressional,ok,U.S._House/2nd_Congressional_154381.csv
154347,U.S. House,3rd Congressional,ok,U.S._House/3rd_Congressional_154347.csv
154410,U.S. House,4th Congressional,ok,U.S._House/4th_Congressional_154410.csv
154393,U.S. House,5th Congressional,ok,U.S._House/5th_Congressional_154393.csv
154375,U.S. House,6th Congressional,ok,U.S._House/6th_Congressional_154375.csv
154446,U.S. House,7th Congressional,ok,U.S._House/7th_Congressional_154446.csv
154339,U.S. House,8th Congressional,ok,U.S._House/8th_Congressional_154339.csv
154356,U.S. House,9th Congressional,ok,U.S._House/9th_Congressional_154356.csv
154352,Governor's Council,1st,ok,Governors_Council/1st_154352.csv
154406,Governor's Council,2nd,ok,Governors_Council/2nd_154406.csv
154345,Governor's Council,3rd,ok,Governors_Council/3rd_154345.csv
154335,Governor's Council,4th,ok,Governors_Council/4th_154335.csv
154373,Governor's Council,5th,ok,Governors_Council/5th_154373.csv
154444,Governor's Council,6th,ok,Governors_Council/6th_154444.csv
154400,Governor's Council,7th,ok,Governors_Council/7th_154400.csv
154361,Governor's Council,8th,ok,Governors_Council/8th_154361.csv
154365,State Senate,"Berkshire, Hampden, Franklin & Hampshire",ok,State_Senate/Berkshire_Hampden_Franklin__Hampshire_154365.csv
154498,State Senate,First Plymouth & Norfolk,ok,State_Senate/First_Plymouth__Norfolk_154498.csv
154431,State Senate,"Hampden, Hampshire & Worcester",ok,State_Senate/Hampden_Hampshire__Worcester_154431.csv
154482,State Senate,Norfolk & Middlesex,ok,State_Senate/Norfolk__Middlesex_154482.csv
154473,State Senate,"Norfolk, Plymouth & Bristol",ok,State_Senate/Norfolk_Plymouth__Bristol_154473.csv
154433,State Senate,"Norfolk, Worcester & Middlesex",ok,State_Senate/Norfolk_Worcester__Middlesex_154433.csv
154419,State Senate,Second Plymouth & Norfolk,ok,State_Senate/Second_Plymouth__Norfolk_154419.csv
154436,State Senate,Third Bristol & Plymouth,ok,State_Senate/Third_Bristol__Plymouth_154436.csv
154442,State Senate,Worcester & Hampden,ok,State_Senate/Worcester__Hampden_154442.csv
154427,State Senate,Worcester & Hampshire,ok,State_Senate/Worcester__Hampshire_154427.csv
154413,State Senate,Bristol and Norfolk,ok,State_Senate/Bristol_and_Norfolk_154413.csv
154517,State Senate,1st Bristol and Plymouth,ok,State_Senate/1st_Bristol_and_Plymouth_154517.csv
154359,State Senate,2nd Bristol and Plymouth,ok,State_Senate/2nd_Bristol_and_Plymouth_154359.csv
154391,State Senate,Cape and Islands,ok,State_Senate/Cape_and_Islands_154391.csv
154530,State Senate,1st Essex,ok,State_Senate/1st_Essex_154530.csv
