City/Town,Ward,Pct,"T. George Davis","Anthony Durand Piland, Sr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Aquinnah,-,1,225,27,0,15,267
Chilmark,-,1,579,119,0,35,733
Edgartown,-,1,"1,731",542,6,135,"2,414"
Gosnold,-,1,35,12,0,10,57
"Oak Bluffs",-,1,"1,833",593,8,136,"2,570"
Tisbury,-,1,"1,280",511,10,517,"2,318"
"W. Tisbury",-,1,"1,514",330,3,73,"1,920"
TOTALS,,,"7,197","2,134",27,921,"10,279"
