City/Town,Ward,Pct,"Marc J. Santos","John De G. Jesus","All Others",Blanks,"Total Votes Cast"
"Fall River",9,A,928,333,1,252,"1,514"
"Fall River",9,B,592,231,2,169,994
"Fall River",9,C,622,237,0,151,"1,010"
Freetown,-,1,701,346,10,217,"1,274"
Freetown,-,2,786,311,8,258,"1,363"
Freetown,-,3,791,265,8,252,"1,316"
Mansfield,-,1,"1,140",286,0,432,"1,858"
Mansfield,-,2,"1,254",260,0,386,"1,900"
Mansfield,-,3,"1,346",292,0,441,"2,079"
Mansfield,-,4,"1,180",249,0,355,"1,784"
Mansfield,-,5,"1,137",232,1,293,"1,663"
Mansfield,-,6,"1,138",224,0,271,"1,633"
"New Bedford",1,A,726,153,2,106,987
"New Bedford",1,B,610,140,5,109,864
"New Bedford",1,C,601,154,5,114,874
"New Bedford",1,D,666,145,4,142,957
"New Bedford",1,E,629,107,1,86,823
"New Bedford",1,F,671,165,3,119,958
"New Bedford",2,A,144,30,1,12,187
"New Bedford",2,B,355,74,1,43,473
"New Bedford",2,C,270,56,3,50,379
"New Bedford",2,D,394,86,1,76,557
"New Bedford",2,E,561,117,5,75,758
"New Bedford",2,F,459,121,5,78,663
"New Bedford",3,A,257,45,1,27,330
"New Bedford",3,B,304,57,0,23,384
"New Bedford",3,C,294,55,0,49,398
"New Bedford",3,D,420,70,1,56,547
"New Bedford",3,E,667,141,3,87,898
"New Bedford",3,F,629,119,4,90,842
"New Bedford",4,A,329,36,0,36,401
"New Bedford",4,B,598,71,3,58,730
"New Bedford",4,C,581,76,3,75,735
"New Bedford",4,D,479,78,3,50,610
"New Bedford",4,E,443,94,5,55,597
"New Bedford",4,F,499,60,6,36,601
"New Bedford",5,A,362,68,1,47,478
"New Bedford",5,B,635,99,3,87,824
"New Bedford",5,C,490,106,4,99,699
"New Bedford",5,D,765,108,1,79,953
"New Bedford",5,E,831,162,5,126,"1,124"
"New Bedford",5,F,817,162,4,115,"1,098"
"New Bedford",6,A,584,134,3,95,816
"New Bedford",6,B,530,117,1,73,721
"New Bedford",6,C,238,39,1,23,301
"New Bedford",6,D,178,37,0,31,246
"New Bedford",6,E,304,68,0,30,402
"New Bedford",6,F,410,67,2,47,526
"N. Attleborough",-,1,725,172,3,152,"1,052"
"N. Attleborough",-,2,887,220,2,266,"1,375"
"N. Attleborough",-,3,875,277,2,331,"1,485"
"N. Attleborough",-,4,684,180,4,162,"1,030"
"N. Attleborough",-,5,786,197,2,193,"1,178"
"N. Attleborough",-,6,948,240,2,279,"1,469"
"N. Attleborough",-,7,"1,011",259,1,349,"1,620"
"N. Attleborough",-,8,922,229,4,312,"1,467"
"N. Attleborough",-,9,854,205,1,295,"1,355"
Norton,-,1,"1,035",331,12,350,"1,728"
Norton,-,2,938,563,3,196,"1,700"
Norton,-,3,"1,040",268,7,283,"1,598"
Norton,-,4,"1,164",276,7,373,"1,820"
Norton,-,5,605,188,4,230,"1,027"
Raynham,-,1,889,245,0,261,"1,395"
Raynham,-,1A,106,33,0,44,183
Raynham,-,2,770,209,0,305,"1,284"
Raynham,-,2A,147,55,0,66,268
Raynham,-,3,990,326,0,353,"1,669"
Raynham,-,4,873,253,9,283,"1,418"
Rehoboth,-,1,924,472,0,344,"1,740"
Rehoboth,-,2,950,397,0,358,"1,705"
Rehoboth,-,3,983,474,0,371,"1,828"
Seekonk,-,1,812,355,7,216,"1,390"
Seekonk,-,2,"1,054",377,18,299,"1,748"
Seekonk,-,3,964,335,11,229,"1,539"
Seekonk,-,4,877,296,10,247,"1,430"
Somerset,-,1,854,514,0,198,"1,566"
Somerset,-,2,892,539,0,198,"1,629"
Somerset,-,3,930,533,0,159,"1,622"
Somerset,-,4,784,467,0,169,"1,420"
Somerset,-,5,706,448,1,166,"1,321"
Swansea,-,1,715,461,10,210,"1,396"
Swansea,-,2,787,309,8,193,"1,297"
Swansea,-,3,765,309,2,169,"1,245"
Swansea,-,4,762,406,6,192,"1,366"
Swansea,-,5,715,383,8,248,"1,354"
Taunton,1,A,620,174,7,149,950
Taunton,1,B,811,252,9,262,"1,334"
Taunton,2,A,407,105,2,86,600
Taunton,2,B,551,148,5,117,821
Taunton,3,A,683,203,2,160,"1,048"
Taunton,3,B,851,225,7,242,"1,325"
Taunton,4,A,757,317,4,239,"1,317"
Taunton,4,B,780,236,3,210,"1,229"
Taunton,5,A,606,147,2,146,901
Taunton,5,B,609,130,7,123,869
Taunton,6,A,491,114,6,111,722
Taunton,6,B,724,207,5,184,"1,120"
Taunton,7,A,870,245,5,268,"1,388"
Taunton,7,B,846,278,5,332,"1,461"
Taunton,8,A,870,212,1,319,"1,402"
Taunton,8,B,963,274,12,314,"1,563"
Westport,-,A,795,292,0,233,"1,320"
Westport,-,B,"1,141",331,0,315,"1,787"
Westport,-,C,781,243,0,185,"1,209"
Westport,-,D,795,239,0,203,"1,237"
Westport,-,E,"1,082",271,0,355,"1,708"
TOTALS,,,"123,930","37,127",572,"31,480","193,109"
