City/Town,Ward,Pct,"Dennis P. McManus","Joanne E. Powell","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashburnham,-,1,"1,573","1,134",1,141,"2,849"
Athol,-,1,776,568,1,69,"1,414"
Athol,-,2,662,544,3,56,"1,265"
Athol,-,3,721,445,1,69,"1,236"
Auburn,-,1,913,628,1,93,"1,635"
Auburn,-,2,931,596,0,80,"1,607"
Auburn,-,3,943,602,0,90,"1,635"
Auburn,-,4,877,509,3,62,"1,451"
Auburn,-,5,821,530,1,64,"1,416"
Barre,-,1,701,447,1,57,"1,206"
Barre,-,2,528,473,1,67,"1,069"
Berlin,-,1,"1,087",579,0,94,"1,760"
Blackstone,-,1,547,467,0,71,"1,085"
Blackstone,-,2,684,532,0,72,"1,288"
Blackstone,-,3,584,565,0,75,"1,224"
Bolton,-,1,"1,783",982,1,186,"2,952"
Boylston,-,1,"1,452",882,0,159,"2,493"
Brookfield,-,1,692,766,2,71,"1,531"
Charlton,-,1,539,808,2,59,"1,408"
Charlton,-,2,536,948,1,50,"1,535"
Charlton,-,3,587,858,0,51,"1,496"
Charlton,-,4,535,817,1,49,"1,402"
Clinton,-,1,988,462,0,81,"1,531"
Clinton,-,2,902,413,1,47,"1,363"
Clinton,-,3,869,472,1,51,"1,393"
Clinton,-,4,835,423,2,54,"1,314"
Douglas,-,1,587,712,0,97,"1,396"
Douglas,-,2,617,658,0,98,"1,373"
Douglas,-,3,537,598,0,67,"1,202"
Dudley,-,1,816,826,0,57,"1,699"
Dudley,-,2,611,709,0,42,"1,362"
Dudley,-,3,570,637,0,46,"1,253"
"E. Brookfield",-,1,460,541,0,32,"1,033"
Fitchburg,1,A,484,242,1,28,755
Fitchburg,1,B,643,288,1,54,986
Fitchburg,2,A,477,172,0,25,674
Fitchburg,2,B,686,382,0,61,"1,129"
Fitchburg,3,A,885,589,1,103,"1,578"
Fitchburg,3,B,702,405,0,62,"1,169"
Fitchburg,4,A,293,170,0,45,508
Fitchburg,4,B,496,210,1,37,744
Fitchburg,5,A,779,597,0,95,"1,471"
Fitchburg,5,B,422,144,0,16,582
Fitchburg,6,A,758,447,0,78,"1,283"
Fitchburg,6,B,548,215,0,39,802
Gardner,1,A,522,330,0,50,902
Gardner,1,B,185,147,0,20,352
Gardner,2,A,433,283,0,42,758
Gardner,2,B,478,366,0,50,894
Gardner,3,A,386,205,0,24,615
Gardner,3,B,510,278,0,39,827
