City/Town,Ward,Pct,"Laura Gentile","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Agawam,-,1,873,24,356,"1,253"
Agawam,-,2,"1,172",21,556,"1,749"
Agawam,-,3,"1,064",12,382,"1,458"
Agawam,-,4,874,18,350,"1,242"
Agawam,-,5,"1,234",26,500,"1,760"
Agawam,-,6,949,20,442,"1,411"
Agawam,-,7,"1,034",11,496,"1,541"
Agawam,-,8,"1,164",30,452,"1,646"
Blandford,-,1,373,2,229,604
Brimfield,-,1,"1,206",38,568,"1,812"
Chester,-,1,364,1,210,575
Chicopee,1,A,851,26,218,"1,095"
Chicopee,1,B,"1,085",36,285,"1,406"
Chicopee,2,A,579,17,121,717
Chicopee,2,B,897,30,244,"1,171"
Chicopee,3,A,709,19,189,917
Chicopee,3,B,602,17,135,754
Chicopee,4,A,743,17,179,939
Chicopee,4,B,710,9,199,918
Chicopee,5,A,814,13,198,"1,025"
Chicopee,5,B,797,19,172,988
Chicopee,6,AN,228,10,63,301
Chicopee,6,AS,498,16,155,669
Chicopee,6,BE,857,33,272,"1,162"
Chicopee,6,BW,183,8,52,243
Chicopee,7,A,580,7,131,718
Chicopee,7,B,665,18,137,820
Chicopee,8,A,875,18,245,"1,138"
Chicopee,8,B,753,18,215,986
Chicopee,9,A,808,24,224,"1,056"
Chicopee,9,B,"1,093",36,293,"1,422"
"E. Longmeadow",-,1,"1,359",30,500,"1,889"
"E. Longmeadow",-,2,"1,280",31,453,"1,764"
"E. Longmeadow",-,3,"1,362",31,517,"1,910"
"E. Longmeadow",-,4,"1,326",32,656,"2,014"
Granville,-,1,519,0,267,786
Hampden,-,1,"1,737",3,788,"2,528"
Holland,-,1,777,20,354,"1,151"
Holyoke,1,A,432,0,70,502
Holyoke,1,B,506,1,76,583
Holyoke,2,A,438,0,87,525
Holyoke,2,B,382,0,64,446
Holyoke,3,A,760,3,161,924
Holyoke,3,B,925,0,284,"1,209"
Holyoke,4,A,374,0,73,447
Holyoke,4,B,639,1,123,763
Holyoke,5,A,"1,081",3,471,"1,555"
Holyoke,5,B,752,3,197,952
Holyoke,6,A,621,1,132,754
Holyoke,6,B,835,4,195,"1,034"
Holyoke,7,A,"1,097",0,396,"1,493"
Holyoke,7,B,"1,003",2,259,"1,264"
Longmeadow,-,A,"1,250",29,410,"1,689"
