City/Town,Ward,Pct,"Walter F. Timilty, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,429",0,521,"1,950"
Bellingham,-,1,938,58,395,"1,391"
Bellingham,-,2,"1,067",28,448,"1,543"
Bellingham,-,3,"1,012",18,444,"1,474"
Bellingham,-,4,824,66,386,"1,276"
Bellingham,-,4A,105,14,48,167
Bellingham,-,5,936,50,399,"1,385"
Braintree,-,1A,965,11,423,"1,399"
Braintree,-,1B,897,16,401,"1,314"
Braintree,-,2A,"1,090",15,474,"1,579"
Braintree,-,2B,"1,011",11,469,"1,491"
Braintree,-,3A,897,13,298,"1,208"
Braintree,-,3B,953,16,361,"1,330"
Braintree,-,4A,875,19,336,"1,230"
Braintree,-,4B,921,17,297,"1,235"
Braintree,-,5A,990,9,417,"1,416"
Braintree,-,5B,"1,124",13,462,"1,599"
Braintree,-,6A,"1,163",13,483,"1,659"
Braintree,-,6B,"1,150",15,422,"1,587"
Brookline,-,1,"1,269",5,281,"1,555"
Brookline,-,2,802,2,155,959
Brookline,-,3,"1,332",2,283,"1,617"
Brookline,-,4,"1,157",4,251,"1,412"
Brookline,-,5,"1,334",3,353,"1,690"
Brookline,-,6,"1,392",0,322,"1,714"
Brookline,-,7,"1,296",7,283,"1,586"
Brookline,-,8,"1,300",7,284,"1,591"
Brookline,-,9,"1,284",1,276,"1,561"
Brookline,-,10,"1,418",2,261,"1,681"
Brookline,-,11,"1,356",3,304,"1,663"
Brookline,-,12,"1,546",0,389,"1,935"
Brookline,-,13,"1,335",0,334,"1,669"
Brookline,-,14,"1,345",8,366,"1,719"
Brookline,-,15,"1,192",4,458,"1,654"
Brookline,-,16,"1,157",4,340,"1,501"
Canton,-,1,"1,233",7,426,"1,666"
Canton,-,2,"1,406",7,567,"1,980"
Canton,-,3,"1,265",16,440,"1,721"
Canton,-,4,"1,526",5,619,"2,150"
Canton,-,5,"1,379",1,518,"1,898"
Canton,-,6,"1,222",7,434,"1,663"
Cohasset,-,1,"1,427",7,683,"2,117"
Cohasset,-,2,"1,653",3,693,"2,349"
Dedham,-,1,"1,214",6,565,"1,785"
Dedham,-,2,"1,328",17,463,"1,808"
Dedham,-,3,"1,157",12,349,"1,518"
Dedham,-,4,"1,243",7,494,"1,744"
Dedham,-,5,"1,317",16,523,"1,856"
Dedham,-,6,"1,388",16,490,"1,894"
Dedham,-,7,"1,297",12,525,"1,834"
Dover,-,1,"2,067",36,"1,030","3,133"
Foxborough,-,1,"1,133",4,413,"1,550"
Foxborough,-,2,"1,255",4,557,"1,816"
Foxborough,-,3,"1,259",7,549,"1,815"
Foxborough,-,4,"1,215",5,535,"1,755"
Foxborough,-,5,"1,169",5,491,"1,665"
Franklin,-,1,"1,215",26,539,"1,780"
Franklin,-,2,"1,247",35,551,"1,833"
Franklin,-,3,"1,286",32,492,"1,810"
Franklin,-,4,"1,384",33,662,"2,079"
Franklin,-,5,"1,425",34,585,"2,044"
Franklin,-,6,"1,183",19,454,"1,656"
Franklin,-,7,"1,368",19,610,"1,997"
Franklin,-,8,"1,324",34,610,"1,968"
Holbrook,-,1,818,11,270,"1,099"
Holbrook,-,2,845,21,339,"1,205"
Holbrook,-,3,799,7,323,"1,129"
Holbrook,-,4,816,16,250,"1,082"
Medfield,-,1,"1,268",3,423,"1,694"
Medfield,-,2,"1,208",6,416,"1,630"
Medfield,-,3,"1,233",13,438,"1,684"
Medfield,-,4,"1,173",6,473,"1,652"
Medway,-,1,"1,009",26,472,"1,507"
Medway,-,2,"1,182",30,390,"1,602"
Medway,-,3,"1,151",29,464,"1,644"
Medway,-,4,"1,158",30,483,"1,671"
Millis,-,1,"1,036",7,374,"1,417"
Millis,-,2,"1,005",7,447,"1,459"
Millis,-,3,"1,029",4,438,"1,471"
Milton,-,1,"1,199",7,218,"1,424"
Milton,-,2,"1,118",21,370,"1,509"
Milton,-,3,"1,138",12,430,"1,580"
Milton,-,4,"1,111",18,306,"1,435"
Milton,-,5,853,8,344,"1,205"
Milton,-,6,"1,146",6,391,"1,543"
Milton,-,7,"1,067",6,306,"1,379"
Milton,-,8,"1,179",15,304,"1,498"
Milton,-,9,"1,056",10,436,"1,502"
Milton,-,10,797,8,207,"1,012"
Needham,-,A,"1,024",22,351,"1,397"
Needham,-,B,"1,225",20,441,"1,686"
Needham,-,C,"1,188",12,415,"1,615"
Needham,-,D,"1,182",18,397,"1,597"
Needham,-,E,"1,255",12,456,"1,723"
Needham,-,F,"1,180",16,417,"1,613"
Needham,-,G,"1,210",14,482,"1,706"
