City/Town,Ward,Pct,"Michael A. Sullivan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,433",6,327,"1,766"
Acton,-,2,"1,498",3,440,"1,941"
Acton,-,3,"1,499",8,411,"1,918"
Acton,-,4,"1,627",11,353,"1,991"
Acton,-,5,"1,513",1,389,"1,903"
Acton,-,6,"1,317",6,342,"1,665"
Arlington,-,1,688,4,147,839
Arlington,-,2,"1,004",0,239,"1,243"
Arlington,-,3,"1,059",1,167,"1,227"
Arlington,-,4,930,2,188,"1,120"
Arlington,-,5,920,5,191,"1,116"
Arlington,-,6,942,1,174,"1,117"
Arlington,-,7,865,2,170,"1,037"
Arlington,-,8,997,4,270,"1,271"
Arlington,-,9,888,5,204,"1,097"
Arlington,-,10,993,2,232,"1,227"
Arlington,-,11,998,3,259,"1,260"
Arlington,-,12,"1,098",0,269,"1,367"
Arlington,-,13,885,6,284,"1,175"
Arlington,-,14,891,1,216,"1,108"
Arlington,-,15,998,1,228,"1,227"
Arlington,-,16,912,0,227,"1,139"
Arlington,-,17,853,5,175,"1,033"
Arlington,-,18,940,5,316,"1,261"
Arlington,-,19,965,1,236,"1,202"
Arlington,-,20,932,3,206,"1,141"
Arlington,-,21,942,2,210,"1,154"
Ashby,-,1,"1,063",0,540,"1,603"
Ashland,-,1,"1,162",0,345,"1,507"
Ashland,-,2,"1,251",0,410,"1,661"
Ashland,-,3,"1,178",0,354,"1,532"
Ashland,-,4,"1,138",0,357,"1,495"
Ashland,-,5,"1,244",0,380,"1,624"
Ayer,-,1,"1,249",17,389,"1,655"
Ayer,-,2,"1,304",32,421,"1,757"
Bedford,-,1,"1,419",23,449,"1,891"
Bedford,-,2,"1,217",23,435,"1,675"
Bedford,-,3,"1,316",17,432,"1,765"
Bedford,-,4,"1,147",16,432,"1,595"
Belmont,-,1,"1,280",3,372,"1,655"
Belmont,-,2,"1,234",24,476,"1,734"
Belmont,-,3,"1,203",15,360,"1,578"
Belmont,-,4,"1,103",14,279,"1,396"
Belmont,-,5,"1,222",8,322,"1,552"
Belmont,-,6,"1,296",17,367,"1,680"
Belmont,-,7,"1,310",11,287,"1,608"
Belmont,-,8,"1,293",10,485,"1,788"
Billerica,-,1,"1,205",27,442,"1,674"
Billerica,-,2,"1,278",26,454,"1,758"
Billerica,-,3,"1,152",27,472,"1,651"
Billerica,-,4,951,27,436,"1,414"
Billerica,-,5,"1,203",34,568,"1,805"
Billerica,-,6,"1,019",22,469,"1,510"
Billerica,-,7,"1,090",35,460,"1,585"
Billerica,-,8,"1,214",22,562,"1,798"
Billerica,-,9,"1,095",29,495,"1,619"
Billerica,-,10,"1,157",34,534,"1,725"
Billerica,-,11,"1,039",34,462,"1,535"
Boxborough,-,1,"2,082",0,669,"2,751"
Burlington,-,1,"1,261",26,571,"1,858"
Burlington,-,2,842,16,296,"1,154"
Burlington,-,3,"1,098",22,515,"1,635"
Burlington,-,4,"1,054",21,439,"1,514"
Burlington,-,5,"1,265",23,566,"1,854"
Burlington,-,6,"1,195",17,542,"1,754"
Burlington,-,7,"1,228",18,477,"1,723"
Cambridge,1,1,"1,426",8,198,"1,632"
Cambridge,1,2,"1,116",6,168,"1,290"
Cambridge,1,3,"1,279",4,210,"1,493"
Cambridge,2,1,"1,051",3,150,"1,204"
Cambridge,2,2,396,2,53,451
Cambridge,2,3,655,8,115,778
Cambridge,3,1,"1,183",6,172,"1,361"
Cambridge,3,2,809,2,95,906
Cambridge,3,2A,566,0,94,660
Cambridge,3,3,"1,135",3,160,"1,298"
Cambridge,4,1,"1,413",6,192,"1,611"
Cambridge,4,2,"1,504",7,221,"1,732"
Cambridge,4,3,473,1,71,545
Cambridge,5,1,"1,348",5,199,"1,552"
Cambridge,5,2,"1,404",5,229,"1,638"
Cambridge,5,3,"1,048",2,184,"1,234"
Cambridge,6,1,"1,507",2,227,"1,736"
Cambridge,6,2,"1,313",5,223,"1,541"
Cambridge,6,3,"1,477",10,229,"1,716"
Cambridge,7,1,"1,437",6,214,"1,657"
Cambridge,7,2,761,8,122,891
Cambridge,7,3,439,3,51,493
Cambridge,8,1,997,12,144,"1,153"
Cambridge,8,2,"1,003",7,204,"1,214"
Cambridge,8,3,273,0,40,313
Cambridge,9,1,"1,664",2,351,"2,017"
Cambridge,9,2,"1,769",11,248,"2,028"
