City/Town,Ward,Pct,"Robert S. Creedon, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Wareham,-,1,"1,101",17,425,"1,543"
Wareham,-,2,"1,200",14,390,"1,604"
Wareham,-,3,"1,173",17,462,"1,652"
Wareham,-,4,"1,144",21,368,"1,533"
Wareham,-,5,"1,235",22,469,"1,726"
Wareham,-,6,"1,073",17,355,"1,445"
"W. Bridgewater",-,1,"1,177",3,608,"1,788"
"W. Bridgewater",-,2,"1,161",2,525,"1,688"
Whitman,-,1,"1,414",11,455,"1,880"
Whitman,-,2,"1,117",18,459,"1,594"
Whitman,-,3,"1,232",15,450,"1,697"
Whitman,-,4,"1,203",6,397,"1,606"
TOTALS,,,"161,797","1,759","63,657","227,213"
