City/Town,Ward,Pct,"Marc R. Pacheco","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Berkley,-,1,"1,083",50,484,"1,617"
Berkley,-,2,841,9,423,"1,273"
Bridgewater,-,1,"1,465",25,682,"2,172"
Bridgewater,-,2,"1,223",12,587,"1,822"
Bridgewater,-,3,"1,477",9,710,"2,196"
Bridgewater,-,4,665,7,272,944
Bridgewater,-,5,440,4,147,591
Bridgewater,-,6,994,8,273,"1,275"
Bridgewater,-,7,"1,166",5,445,"1,616"
Carver,-,1,"1,154",18,477,"1,649"
Carver,-,2,"1,121",22,441,"1,584"
Carver,-,3,"1,310",15,511,"1,836"
Dighton,-,1,"1,052",26,449,"1,527"
Dighton,-,2,"1,202",35,506,"1,743"
Marion,-,1,"2,028",19,765,"2,812"
Middleborough,-,1,"1,576",15,826,"2,417"
Middleborough,-,2,"1,117",7,396,"1,520"
Middleborough,-,3,"1,263",15,539,"1,817"
Middleborough,-,4,939,7,368,"1,314"
Middleborough,-,5,"1,259",11,584,"1,854"
Middleborough,-,6,"1,054",15,458,"1,527"
Raynham,-,1,"1,020",0,375,"1,395"
Raynham,-,1A,126,0,57,183
Raynham,-,2,863,2,419,"1,284"
Raynham,-,2A,164,0,104,268
Raynham,-,3,"1,179",0,490,"1,669"
Raynham,-,4,"1,011",3,404,"1,418"
Taunton,1,A,691,19,240,950
Taunton,1,B,893,43,398,"1,334"
Taunton,2,A,490,10,100,600
Taunton,2,B,625,17,179,821
Taunton,3,A,770,19,259,"1,048"
Taunton,3,B,935,28,362,"1,325"
Taunton,4,A,913,26,378,"1,317"
Taunton,4,B,889,23,317,"1,229"
Taunton,5,A,682,19,200,901
Taunton,5,B,673,16,180,869
Taunton,6,A,549,12,161,722
Taunton,6,B,829,29,262,"1,120"
Taunton,7,A,955,26,407,"1,388"
Taunton,7,B,927,33,501,"1,461"
Taunton,8,A,968,18,416,"1,402"
Taunton,8,B,"1,054",34,475,"1,563"
Wareham,-,1,"1,113",25,405,"1,543"
Wareham,-,2,"1,207",19,378,"1,604"
Wareham,-,3,"1,193",25,434,"1,652"
Wareham,-,4,"1,145",29,359,"1,533"
Wareham,-,5,"1,259",28,439,"1,726"
Wareham,-,6,"1,100",22,323,"1,445"
TOTALS,,,"48,652",859,"19,365","68,876"
