City/Town,Ward,Pct,"Patricia D. Jehlen","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,9,1,"1,724",4,289,"2,017"
Cambridge,9,2,"1,795",12,221,"2,028"
Cambridge,9,3,"1,456",6,195,"1,657"
Cambridge,10,1,"1,709",6,201,"1,916"
Cambridge,10,2,"1,696",6,220,"1,922"
Cambridge,10,3,"1,389",3,138,"1,530"
Cambridge,11,1,"1,296",4,134,"1,434"
Cambridge,11,2,"1,828",3,274,"2,105"
Cambridge,11,3,"1,484",5,193,"1,682"
Medford,1,1,"1,188",17,276,"1,481"
Medford,1,2,"1,246",29,285,"1,560"
Medford,2,1,"1,299",20,293,"1,612"
Medford,2,2,"1,343",31,456,"1,830"
Medford,3,1,"1,332",26,463,"1,821"
Medford,3,2,"1,408",29,521,"1,958"
Medford,4,1,854,11,112,977
Medford,4,2,"1,461",36,320,"1,817"
Medford,5,1,"1,419",27,259,"1,705"
Medford,5,2,"1,111",16,157,"1,284"
Medford,6,1,"1,686",29,318,"2,033"
Medford,6,2,"1,367",29,364,"1,760"
Medford,7,1,804,22,158,984
Medford,7,2,"1,217",18,250,"1,485"
Medford,8,1,"1,363",30,387,"1,780"
Medford,8,2,"1,201",18,285,"1,504"
Somerville,1,1,927,14,135,"1,076"
Somerville,1,2,"1,419",19,235,"1,673"
Somerville,1,3,948,27,128,"1,103"
Somerville,2,1,"1,498",9,151,"1,658"
Somerville,2,2,"1,791",16,154,"1,961"
Somerville,2,3,"1,667",18,205,"1,890"
Somerville,3,1,"1,539",17,128,"1,684"
Somerville,3,2,"1,518",24,178,"1,720"
Somerville,3,3,"1,828",23,208,"2,059"
Somerville,4,1,867,15,175,"1,057"
Somerville,4,2,"1,127",19,151,"1,297"
Somerville,4,3,"1,354",13,188,"1,555"
Somerville,5,1,"1,575",29,203,"1,807"
Somerville,5,2,"1,815",19,222,"2,056"
Somerville,5,3,"1,918",18,209,"2,145"
Somerville,6,1,"2,060",29,198,"2,287"
Somerville,6,2,"1,860",14,245,"2,119"
Somerville,6,3,"1,015",21,107,"1,143"
Somerville,7,1,"1,848",15,199,"2,062"
Somerville,7,2,"1,403",5,157,"1,565"
Somerville,7,3,"1,432",24,223,"1,679"
Winchester,-,4,"1,063",0,478,"1,541"
Winchester,-,5,"1,002",0,506,"1,508"
Winchester,-,6,913,0,466,"1,379"
Winchester,-,7,"1,036",0,499,"1,535"
TOTALS,,,"70,099",825,"12,517","83,441"
