City/Town,Ward,Pct,"Walter F. Timilty, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,461",0,489,"1,950"
Braintree,-,1A,977,11,411,"1,399"
Braintree,-,1B,899,19,396,"1,314"
Braintree,-,2A,"1,106",17,456,"1,579"
Braintree,-,2B,"1,012",13,466,"1,491"
Canton,-,1,"1,258",10,398,"1,666"
Canton,-,2,"1,450",8,522,"1,980"
Canton,-,3,"1,294",16,411,"1,721"
Canton,-,4,"1,547",10,593,"2,150"
Canton,-,5,"1,398",2,498,"1,898"
Canton,-,6,"1,249",9,405,"1,663"
"E. Bridgewater",-,4,998,0,519,"1,517"
Easton,-,3,"1,164",7,459,"1,630"
Easton,-,4,"1,309",8,642,"1,959"
Easton,-,5,"1,503",9,636,"2,148"
Easton,-,6,"1,274",15,593,"1,882"
Milton,-,1,"1,221",6,197,"1,424"
Milton,-,2,"1,152",25,332,"1,509"
Milton,-,3,"1,195",18,367,"1,580"
Milton,-,4,"1,141",16,278,"1,435"
Milton,-,5,882,11,312,"1,205"
Milton,-,6,"1,202",11,330,"1,543"
Milton,-,7,"1,091",7,281,"1,379"
Milton,-,8,"1,221",15,262,"1,498"
Milton,-,9,"1,107",12,383,"1,502"
Milton,-,10,816,7,189,"1,012"
Randolph,-,1,859,9,182,"1,050"
Randolph,-,2,732,9,117,858
Randolph,-,3,834,3,169,"1,006"
Randolph,-,4,876,6,199,"1,081"
Randolph,-,5,760,10,151,921
Randolph,-,6,771,9,126,906
Randolph,-,7,820,6,156,982
Randolph,-,8,912,8,126,"1,046"
Randolph,-,9,850,10,124,984
Randolph,-,10,886,9,137,"1,032"
Randolph,-,11,869,13,187,"1,069"
Randolph,-,12,943,15,166,"1,124"
Sharon,-,2,"1,282",20,383,"1,685"
Sharon,-,3,"1,400",30,436,"1,866"
Stoughton,-,1,"1,228",2,396,"1,626"
Stoughton,-,2,"1,020",0,385,"1,405"
Stoughton,-,3,"1,113",7,375,"1,495"
Stoughton,-,4,"1,212",2,550,"1,764"
Stoughton,-,5,907,3,336,"1,246"
Stoughton,-,6,"1,000",1,350,"1,351"
Stoughton,-,7,949,11,281,"1,241"
Stoughton,-,8,824,22,242,"1,088"
"W. Bridgewater",-,1,"1,119",4,665,"1,788"
"W. Bridgewater",-,2,"1,105",7,576,"1,688"
TOTALS,,,"54,198",498,"17,640","72,336"
