City/Town,Ward,Pct,"Cindy F. Friedman","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,1,701,2,136,839
Arlington,-,2,"1,011",1,231,"1,243"
Arlington,-,3,"1,077",3,147,"1,227"
Arlington,-,4,944,3,173,"1,120"
Arlington,-,5,938,6,172,"1,116"
Arlington,-,6,951,1,165,"1,117"
Arlington,-,7,869,2,166,"1,037"
Arlington,-,8,"1,049",7,215,"1,271"
Arlington,-,9,881,7,209,"1,097"
Arlington,-,10,"1,021",4,202,"1,227"
Arlington,-,11,995,0,265,"1,260"
Arlington,-,12,"1,135",3,229,"1,367"
Arlington,-,13,887,12,276,"1,175"
Arlington,-,14,913,3,192,"1,108"
Arlington,-,15,"1,004",2,221,"1,227"
Arlington,-,16,931,1,207,"1,139"
Arlington,-,17,874,5,154,"1,033"
Arlington,-,18,932,7,322,"1,261"
Arlington,-,19,966,2,234,"1,202"
Arlington,-,20,940,6,195,"1,141"
Arlington,-,21,966,2,186,"1,154"
Billerica,-,1,"1,207",30,437,"1,674"
Billerica,-,2,"1,262",28,468,"1,758"
Billerica,-,3,"1,140",34,477,"1,651"
Billerica,-,4,941,28,445,"1,414"
Billerica,-,5,"1,191",38,576,"1,805"
Billerica,-,6,"1,010",28,472,"1,510"
Billerica,-,7,"1,083",32,470,"1,585"
Billerica,-,8,"1,194",26,578,"1,798"
Billerica,-,9,"1,055",35,529,"1,619"
Billerica,-,10,"1,147",34,544,"1,725"
Billerica,-,11,"1,017",33,485,"1,535"
Burlington,-,1,"1,247",31,580,"1,858"
Burlington,-,2,836,17,301,"1,154"
Burlington,-,3,"1,106",24,505,"1,635"
Burlington,-,4,"1,053",26,435,"1,514"
Burlington,-,5,"1,267",27,560,"1,854"
Burlington,-,6,"1,167",20,567,"1,754"
Burlington,-,7,"1,212",24,487,"1,723"
Lexington,-,1,"1,230",0,371,"1,601"
Lexington,-,2,"1,604",3,402,"2,009"
Lexington,-,4,"1,492",6,420,"1,918"
Lexington,-,5,"1,443",2,449,"1,894"
Lexington,-,6,"1,393",7,386,"1,786"
Lexington,-,7,"1,423",6,416,"1,845"
Woburn,1,1,722,2,295,"1,019"
Woburn,1,2,829,1,410,"1,240"
Woburn,2,1,803,6,382,"1,191"
Woburn,2,2,641,0,219,860
Woburn,3,1,724,7,403,"1,134"
Woburn,3,2,978,6,537,"1,521"
Woburn,4,1,911,4,521,"1,436"
Woburn,4,2,751,7,335,"1,093"
Woburn,5,1,981,3,341,"1,325"
Woburn,5,2,905,4,432,"1,341"
Woburn,6,1,523,5,187,715
Woburn,6,2,796,4,419,"1,219"
Woburn,7,1,903,12,616,"1,531"
Woburn,7,2,821,7,481,"1,309"
TOTALS,,,"59,993",686,"21,235","81,914"
